age,mass,luminosity,temperature,gravity,radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
0.01,0.003,-4.914,920,3.631,0.139,25.96,21.46,18.78,14.88,14.65,14.33,12.09,11.84
0.01,0.004,-4.645,1064,3.739,0.141,24.93,20.54,17.94,14.12,13.85,13.51,11.46,11.45
0.01,0.005,-4.429,1193,3.82,0.144,23.89,19.67,17.18,13.52,13.22,12.92,10.99,11.18
0.01,0.006,-4.244,1316,3.883,0.147,22.89,18.9,16.49,13.03,12.68,12.41,10.62,10.95
0.01,0.007,-4.091,1426,3.937,0.149,22.08,18.29,15.74,12.64,12.27,11.99,10.33,10.77
0.01,0.008,-3.945,1536,3.978,0.152,21.33,17.78,15.37,12.25,11.87,11.56,10.07,10.58
0.01,0.009,-3.82,1635,4.013,0.155,20.76,17.38,15.16,11.92,11.54,11.19,9.84,10.4
0.01,0.01,-3.704,1731,4.042,0.158,20.29,17,14.79,11.63,11.26,10.87,9.65,10.23
0.01,0.012,-3.488,1915,4.081,0.165,19.46,16.27,14.01,11.1,10.75,10.33,9.32,9.87
0.01,0.015,-3.125,2188,4.046,0.192,17.94,15.02,12.71,10.25,9.87,9.47,8.68,9.07
0.01,0.02,-2.709,2442,3.945,0.249,16.07,13.72,11.47,9.3,8.91,8.54,7.88,8.11
0.01,0.03,-2.435,2622,3.971,0.296,14.67,12.74,10.63,8.68,8.28,7.93,7.35,7.5
0.01,0.04,-2.411,2734,4.145,0.28,14.16,12.46,10.49,8.67,8.25,7.92,7.37,7.5
0.01,0.05,-2.233,2821,4.118,0.323,13.43,11.86,10,8.26,7.84,7.52,7,7.1
0.01,0.06,-2.188,2871,4.184,0.328,13.18,11.67,9.85,8.16,7.73,7.43,6.93,7.03
0.01,0.07,-2.099,2919,4.189,0.352,12.83,11.37,9.6,7.95,7.52,7.22,6.74,6.83
0.01,0.072,-2.083,2927,4.19,0.357,12.77,11.32,9.55,7.91,7.48,7.18,6.7,6.8
0.01,0.075,-2.022,2942,4.156,0.379,12.58,11.14,9.4,7.76,7.33,7.04,6.56,6.65
0.01,0.08,-2.016,2958,4.188,0.377,12.53,11.1,9.37,7.75,7.32,7.03,6.56,6.65
0.01,0.09,-1.943,2993,4.186,0.401,12.26,10.87,9.17,7.58,7.14,6.86,6.41,6.49
0.01,0.1,-1.854,3024,4.161,0.435,11.97,10.61,8.94,7.37,6.93,6.65,6.21,6.29
0.05,0.0005,-7.069,285,2.975,0.12,35.46,31.35,28.21,24.23,23.59,31.08,17.89,16.24
0.05,0.001,-6.587,375,3.267,0.122,30.95,26.94,24.01,21.1,20.8,25.14,16.44,15.02
0.05,0.002,-6.1,491,3.551,0.124,28.82,24.6,21.73,18.92,18.55,20.7,15.15,13.94
0.05,0.003,-5.789,585,3.719,0.125,27.96,23.59,20.74,17.63,17.39,18.67,14.31,13.34
0.05,0.004,-5.531,676,3.837,0.126,27.4,22.94,20.12,16.72,16.51,17.21,13.64,12.85
0.05,0.005,-5.336,756,3.933,0.126,26.98,22.5,19.69,16.09,15.91,16.2,13.16,12.51
0.05,0.006,-5.152,840,4.012,0.126,26.56,22.07,19.3,15.51,15.36,15.34,12.72,12.21
0.05,0.007,-4.978,928,4.078,0.127,26.12,21.66,18.93,14.98,14.85,14.64,12.31,11.94
0.05,0.008,-4.832,1010,4.136,0.127,25.68,21.28,18.59,14.55,14.41,14.14,11.97,11.74
0.05,0.009,-4.706,1085,4.187,0.127,25.24,20.9,18.23,14.19,14.04,13.76,11.69,11.59
0.05,0.01,-4.569,1171,4.228,0.127,24.68,20.41,17.79,13.82,13.64,13.38,11.38,11.43
0.05,0.012,-4.052,1520,4.243,0.137,21.96,18.24,15.71,12.49,12.17,11.95,10.34,10.81
0.05,0.015,-3.568,1903,4.246,0.153,19.72,16.53,14.26,11.29,10.94,10.56,9.5,10.06
0.05,0.02,-3.642,1909,4.45,0.139,19.95,16.76,14.47,11.47,11.13,10.79,9.69,10.26
0.05,0.03,-3.311,2246,4.578,0.147,18.27,15.43,13.12,10.7,10.33,9.98,9.19,9.63
0.05,0.04,-3.08,2480,4.644,0.158,16.88,14.57,12.33,10.21,9.81,9.48,8.82,9.12
0.05,0.05,-2.884,2651,4.661,0.173,15.72,13.8,11.7,9.79,9.38,9.06,8.48,8.7
0.05,0.06,-2.755,2759,4.68,0.185,15,13.29,11.3,9.51,9.09,8.79,8.24,8.42
0.05,0.07,-2.647,2837,4.688,0.198,14.46,12.87,10.98,9.27,8.84,8.55,8.04,8.19
0.05,0.072,-2.623,2852,4.685,0.202,14.36,12.79,10.91,9.22,8.79,8.5,7.99,8.14
0.05,0.075,-2.591,2872,4.683,0.206,14.21,12.67,10.82,9.15,8.71,8.42,7.92,8.07
0.05,0.08,-2.551,2901,4.689,0.212,14.02,12.52,10.7,9.06,8.62,8.34,7.85,7.99
0.05,0.09,-2.472,2948,4.689,0.225,13.69,12.24,10.48,8.88,8.44,8.16,7.68,7.82
0.05,0.1,-2.397,2989,4.683,0.238,13.38,11.98,10.26,8.7,8.26,7.99,7.53,7.65
0.1,0.0005,-7.418,240,3.02,0.114,41.98,37.51,34,28.42,26.59,37.66,19.57,17.64
0.1,0.001,-6.957,309,3.3,0.117,32.58,28.68,25.89,22.43,22.38,29.11,17.41,15.69
0.1,0.002,-6.383,425,3.58,0.12,29.69,25.62,22.79,20.05,19.76,23.13,15.94,14.55
0.1,0.003,-6.112,493,3.746,0.121,28.71,24.48,21.66,18.88,18.57,20.88,15.21,13.93
0.1,0.004,-5.88,563,3.869,0.122,28.09,23.77,20.95,17.95,17.71,19.35,14.59,13.5
0.1,0.005,-5.686,630,3.965,0.122,27.65,23.25,20.44,17.23,17.02,18.15,14.06,13.14
0.1,0.006,-5.534,688,4.048,0.121,27.36,22.92,20.09,16.71,16.51,17.26,13.67,12.83
0.1,0.007,-5.365,760,4.117,0.121,27.03,22.55,19.74,16.16,16.01,16.38,13.26,12.55
0.1,0.008,-5.246,816,4.18,0.12,26.77,22.28,19.49,15.76,15.65,15.79,12.97,12.35
0.1,0.009,-5.103,886,4.232,0.12,26.45,21.96,19.19,15.32,15.23,15.16,12.63,12.13
