mass,age,temperature,luminosity,radius,gravity,metallicity
0.003,0.0215443469,717.49368602,-5.385194,0.13158112,3.67714882,0.0
0.003,0.0272833338,668.84063622,-5.52060986,0.12956198,3.69058069,0.0
0.003,0.0345510729,621.51283679,-5.66032759,0.12775415,3.70278599,0.0
0.003,0.0437547938,582.19315427,-5.78501819,0.1261204,3.71396522,0.0
0.003,0.0554102033,548.32136909,-5.89986317,0.12457314,3.7246869,0.0
0.003,0.0701703829,513.95976689,-6.02247103,0.12312125,3.73486979,0.0
0.003,0.0888623816,481.84222432,-6.14415561,0.1217694,3.74445934,0.0
0.003,0.112533558,451.12441209,-6.26767152,0.12050485,3.75352663,0.0
0.003,0.142510267,425.48776073,-6.37804387,0.11929906,3.76226166,0.0
0.003,0.180472177,399.75192407,-6.49482375,0.11814949,3.77067185,0.0
0.003,0.228546386,379.68650692,-6.59252901,0.11703564,3.77889937,0.0
0.003,0.289426612,359.15706761,-6.69719867,0.11594575,3.78702595,0.0
0.003,0.366524124,342.76733554,-6.78633735,0.11488279,3.79502569,0.0
0.003,0.464158883,328.84843266,-6.86665698,0.11379086,3.8033209,0.0
0.003,0.587801607,313.66290959,-6.95728848,0.11268358,3.81181437,0.0
0.003,0.744380301,297.93856902,-7.05511002,0.11158805,3.82030028,0.0
0.003,0.942668455,283.72230806,-7.14850452,0.11050693,3.82875662,0.0
0.003,1.19377664,268.3172632,-7.253923,0.10943698,3.83720742,0.0
0.003,1.51177507,252.22747807,-7.36955632,0.10840794,3.84541333,0.0
0.003,1.91448198,241.40793878,-7.45388751,0.10739466,3.85357015,0.0
0.003,2.42446202,230.1932076,-7.54496246,0.10635485,3.86202094,0.0
0.003,3.07029063,217.87380261,-7.64898633,0.10532452,3.87047651,0.0
0.003,3.88815518,204.6461493,-7.76599444,0.10433167,3.87870322,0.0
0.004,0.001,1692.58907953,-3.54117917,0.19757568,3.44900878,0.0
0.004,0.00126638017,1631.79667616,-3.64470778,0.18868392,3.48900645,0.0
0.004,0.00160371874,1561.66838931,-3.75892351,0.18063126,3.52689069,0.0
0.004,0.00203091762,1486.33402369,-3.87981813,0.17349461,3.5619026,0.0
0.004,0.00257191381,1410.60594087,-4.00288409,0.16717588,3.59412708,0.0
0.004,0.00325702066,1334.80637166,-4.12836913,0.16158946,3.62365034,0.0
0.004,0.00412462638,1265.45906544,-4.2481887,0.15661841,3.65079074,0.0
0.004,0.00522334507,1197.89061686,-4.36892495,0.15210051,3.67621381,0.0
0.004,0.00661474064,1131.55936827,-4.4915069,0.1480228,3.6998189,0.0
0.004,0.0083767764,1067.61786395,-4.61435112,0.14435229,3.72162869,0.0
0.004,0.0106081836,1005.91822821,-4.7380128,0.14102619,3.74187621,0.0
0.004,0.0134339933,946.96762981,-4.86170624,0.13800856,3.76066286,0.0
0.004,0.0170125428,888.14116296,-4.99048539,0.13527784,3.77802144,0.0
0.004,0.0215443469,832.74739407,-5.11838451,0.13280811,3.79402603,0.0
0.004,0.0272833338,779.72054908,-5.24734081,0.13058147,3.80871169,0.0
0.004,0.0345510729,729.61969568,-5.37634004,0.1285503,3.82232857,0.0
0.004,0.0437547938,680.09427064,-5.51098665,0.12670848,3.83486341,0.0
0.004,0.0554102033,632.19649688,-5.64928946,0.1250507,3.8463023,0.0
0.004,0.0701703829,589.90834173,-5.77994787,0.12356314,3.85669659,0.0
0.004,0.0888623816,555.92552344,-5.89293719,0.12215905,3.86662323,0.0
0.004,0.112533558,521.13079995,-6.01469243,0.12083341,3.8761002,0.0
0.004,0.142510267,487.85574761,-6.13821061,0.11960196,3.88499788,0.0
0.004,0.180472177,456.54044141,-6.26189043,0.11844748,3.89342264,0.0
0.004,0.228546386,429.0819109,-6.37765353,0.11736241,3.90141635,0.0
0.004,0.289426612,402.72699217,-6.49540928,0.11633253,3.909072,0.0
0.004,0.366524124,381.45645781,-6.59712785,0.11534032,3.91651201,0.0
0.004,0.464158883,359.94001714,-6.70528759,0.11437074,3.92384441,0.0
0.004,0.587801607,343.05347612,-6.79595918,0.11342998,3.93101857,0.0
0.004,0.744380301,329.23843966,-6.8748123,0.11246088,3.93847148,0.0
0.004,0.942668455,314.1665552,-6.9638789,0.11147181,3.9461443,0.0
0.004,1.19377664,298.44610521,-7.06080181,0.11048286,3.95388448,0.0
0.004,1.51177507,284.14787646,-7.153851,0.10949735,3.96166707,0.0
0.004,1.91448198,268.75312289,-7.25840076,0.1085215,3.96944267,0.0
0.004,2.42446202,252.69575885,-7.37300704,0.10757741,3.97703208,0.0
0.004,3.07029063,241.78845337,-7.45723461,0.10664524,3.98459125,0.0
0.004,3.88815518,230.75672092,-7.54619489,0.10568652,3.99243505,0.0
0.004,4.92388263,218.59551151,-7.64815748,0.1047303,4.00032951,0.0
0.004,6.23550734,205.42121811,-7.76386586,0.1038021,4.00806193,0.0
0.005,0.001,1874.94032989,-3.31429282,0.20907549,3.49678041,0.0
0.005,0.00126638017,1823.08243696,-3.40965453,0.19814656,3.54341292,0.0
0.005,0.00160371874,1732.64901073,-3.54175716,0.18841944,3.58713518,0.0
0.005,0.00203091762,1653.70755165,-3.66153203,0.18019689,3.62588996,0.0
0.005,0.00257191381,1581.35242589,-3.77570432,0.17278829,3.66235643,0.0
0.005,0.00325702066,1506.66497045,-3.89364359,0.1661763,3.69624811,0.0
0.005,0.00412462638,1422.19847697,-4.02496901,0.16033217,3.72734452,0.0
0.005,0.00522334507,1344.41040902,-4.15085117,0.15521966,3.75549284,0.0
0.005,0.00661474064,1271.09422614,-4.27423842,0.15064727,3.78146367,0.0
0.005,0.0083767764,1198.57480504,-4.40034648,0.14652782,3.80554409,0.0
0.005,0.0106081836,1129.78888854,-4.52517763,0.1428394,3.8276893,0.0
0.005,0.0134339933,1064.71260066,-4.64865542,0.1395213,3.84810416,0.0
0.005,0.0170125428,1001.46600966,-4.77400967,0.13650331,3.8670979,0.0
0.005,0.0215443469,941.19094504,-4.89948911,0.13376475,3.88470161,0.0
0.005,0.0272833338,881.09107168,-5.03028231,0.13129796,3.90086927,0.0
0.005,0.0345510729,823.29227224,-5.1629272,0.1290814,3.91565771,0.0
0.005,0.0437547938,769.56279568,-5.29369823,0.12708236,3.92921388,0.0
0.005,0.0554102033,718.45981031,-5.42562456,0.12526303,3.94173911,0.0
0.005,0.0701703829,669.10841803,-5.56072012,0.12361675,3.95322991,0.0
0.005,0.0888623816,622.09513872,-5.69772935,0.12213416,3.96370992,0.0
0.005,0.112533558,582.75356382,-5.82086911,0.12078923,3.97332809,0.0
0.005,0.142510267,548.61668187,-5.93501931,0.11950639,3.98260231,0.0
0.005,0.180472177,512.95235642,-6.06059529,0.1182997,3.99141705,0.0
0.005,0.228546386,479.9092158,-6.18450356,0.11718015,3.99967624,0.0
0.005,0.289426612,448.78810591,-6.30877826,0.11613404,4.00746525,0.0
0.005,0.366524124,422.1164768,-6.4226425,0.11514582,4.01488793,0.0
0.005,0.464158883,396.5916143,-6.53808644,0.11420801,4.02199123,0.0
0.005,0.587801607,374.98114604,-6.64237532,0.1132962,4.02895354,0.0
0.005,0.744380301,352.89998694,-6.7546044,0.11241506,4.0357353,0.0
0.005,0.942668455,338.78867979,-6.83226186,0.11154273,4.04250184,0.0
0.005,1.19377664,324.59594264,-6.91367482,0.11063508,4.04959861,0.0
0.005,1.51177507,309.19679211,-7.00543183,0.10970952,4.05689568,0.0
0.005,1.91448198,293.99090541,-7.10036362,0.10878541,4.06424293,0.0
0.005,2.42446202,279.33243326,-7.19661702,0.1078615,4.07165132,0.0
0.005,3.07029063,263.77088589,-7.303577,0.10695127,4.07901237,0.0
0.005,3.88815518,248.51385423,-7.41424293,0.10607168,4.08618538,0.0
0.005,4.92388263,238.28515681,-7.49457082,0.10518458,4.09348004,0.0
0.005,6.23550734,226.80110408,-7.5878431,0.10428173,4.10096776,0.0
0.005,7.89652287,214.17691306,-7.69478927,0.10339084,4.1084201,0.0
0.005,10.0,200.34531482,-7.81796642,0.10253812,4.11561357,0.0
0.006,0.001,2009.36667196,-3.14854462,0.22031339,3.53048641,0.0
0.006,0.00126638017,1942.97069547,-3.25648932,0.20808552,3.58008233,0.0
0.006,0.00160371874,1879.27897647,-3.36090132,0.19723636,3.626593,0.0
0.006,0.00203091762,1820.37497246,-3.46086012,0.1873592,3.67121782,0.0
0.006,0.00257191381,1728.57908512,-3.59230062,0.178606,3.71277576,0.0
0.006,0.00325702066,1646.77370728,-3.71375371,0.17111156,3.75000892,0.0
0.006,0.00412462638,1570.93379368,-3.83029925,0.16442331,3.78464058,0.0
0.006,0.00522334507,1495.210783,-3.94848063,0.15841106,3.81699666,0.0
0.006,0.00661474064,1400.91255458,-4.09083825,0.15317541,3.84618847,0.0
0.006,0.0083767764,1325.30324587,-4.21362992,0.14858762,3.87260147,0.0
0.006,0.0106081836,1249.69507718,-4.34007745,0.14447007,3.89701021,0.0
0.006,0.0134339933,1175.6112925,-4.46857909,0.14080539,3.91932848,0.0
0.006,0.0170125428,1104.98893115,-4.59670162,0.13752311,3.93981561,0.0
0.006,0.0215443469,1040.90890156,-4.71943573,0.13455279,3.95878129,0.0
0.006,0.0272833338,977.12793269,-4.84686961,0.13185682,3.9763611,0.0
0.006,0.0345510729,915.92288642,-4.97545024,0.12941679,3.99258439,0.0
0.006,0.0437547938,855.67328459,-5.10847951,0.12722758,4.0074035,0.0
0.006,0.0554102033,796.53333001,-5.2463855,0.12526662,4.02089552,0.0
0.006,0.0701703829,744.3154514,-5.37656452,0.12348886,4.03331013,0.0
0.006,0.0888623816,693.27406365,-5.51136303,0.1218849,4.04466625,0.0
0.006,0.112533558,645.97137212,-5.64456752,0.12042922,4.05510218,0.0
0.006,0.142510267,601.04970801,-5.77931643,0.11911222,4.06465301,0.0
0.006,0.180472177,565.62590923,-5.89384011,0.11788206,4.07367006,0.0
0.006,0.228546386,530.30431038,-6.01448189,0.11671847,4.0822865,0.0
0.006,0.289426612,495.53583736,-6.14041225,0.11563012,4.09042361,0.0
0.006,0.366524124,463.69928041,-6.26343903,0.11461483,4.09808386,0.0
0.006,0.464158883,435.15985913,-6.38099488,0.11366535,4.10530942,0.0
0.006,0.587801607,408.5358472,-6.4976405,0.11275911,4.1122623,0.0
0.006,0.744380301,385.39011016,-6.6056491,0.1118923,4.11896515,0.0
0.006,0.942668455,363.36802649,-6.71445541,0.11104797,4.12554437,0.0
0.006,1.19377664,344.89119759,-6.8115093,0.11023073,4.13196019,0.0
0.006,1.51177507,331.11053405,-6.88901648,0.10938701,4.13863401,0.0
0.006,1.91448198,316.02500915,-6.97697177,0.10851777,4.14556376,0.0
0.006,2.42446202,299.77915818,-7.07567739,0.10764322,4.15259217,0.0
0.006,3.07029063,285.58853166,-7.16696108,0.10677246,4.15964697,0.0
0.006,3.88815518,270.37505771,-7.26914931,0.10590428,4.16673849,0.0
0.006,4.92388263,254.15830676,-7.38357938,0.10505801,4.17370711,0.0
0.006,6.23550734,242.5779162,-7.47143591,0.10423363,4.18054974,0.0
0.006,7.89652287,231.57241279,-7.55917443,0.10338801,4.18762514,0.0
0.006,10.0,219.30080326,-7.66090095,0.10254034,4.19477595,0.0
0.007,0.001,2116.87905496,-3.01454037,0.23161229,3.5539917,0.0
0.007,0.00126638017,2061.12408954,-3.11380327,0.21792837,3.60688747,0.0
0.007,0.00160371874,2000.88806489,-3.21573235,0.2056458,3.65727414,0.0
0.007,0.00203091762,1929.37076406,-3.32639207,0.19471697,3.704707,0.0
0.007,0.00257191381,1862.9159943,-3.43174779,0.18499247,3.74920488,0.0
0.007,0.00325702066,1792.24614026,-3.54124167,0.17620445,3.79147952,0.0
0.007,0.00412462638,1695.09650241,-3.67647753,0.16858087,3.82989782,0.0
0.007,0.00522334507,1614.52915168,-3.79604971,0.16192482,3.86488763,0.0
0.007,0.00661474064,1539.44060441,-3.9113126,0.15596993,3.89743226,0.0
0.007,0.0083767764,1451.26791279,-4.04395714,0.15064468,3.92760651,0.0
0.007,0.0106081836,1362.35165624,-4.1803626,0.14610474,3.95418458,0.0
0.007,0.0134339933,1285.68824904,-4.30551552,0.14203797,3.97870461,0.0
0.007,0.0170125428,1206.94307821,-4.43771429,0.13842268,4.0010992,0.0
0.007,0.0215443469,1134.88876197,-4.56505894,0.13520691,4.02151599,0.0
0.007,0.0272833338,1066.95047788,-4.69112724,0.13231014,4.04032734,0.0
0.007,0.0345510729,1000.53152821,-4.82018635,0.12968082,4.0577619,0.0
0.007,0.0437547938,938.97273326,-4.94657619,0.12730577,4.07381705,0.0
0.007,0.0554102033,877.56990526,-5.07881127,0.12515909,4.08858795,0.0
0.007,0.0701703829,816.04063819,-5.21851849,0.12323625,4.1020354,0.0
0.007,0.0888623816,760.80477082,-5.35250562,0.12151998,4.11421749,0.0
0.007,0.112533558,708.07978312,-5.48842115,0.1199675,4.12538543,0.0
0.007,0.142510267,660.5203363,-5.61943336,0.11855961,4.13563877,0.0
0.007,0.180472177,615.48625731,-5.75157646,0.11727747,4.14508336,0.0
0.007,0.228546386,576.19305297,-5.87496231,0.11609676,4.15387233,0.0
0.007,0.289426612,539.69741813,-5.99696643,0.11498445,4.1622342,0.0
0.007,0.366524124,505.30270384,-6.11932641,0.11393804,4.17017495,0.0
0.007,0.464158883,473.04542944,-6.24140712,0.11295919,4.17766927,0.0
0.007,0.587801607,443.08221293,-6.36214913,0.11204455,4.18473087,0.0
0.007,0.744380301,416.24471516,-6.47748106,0.11117237,4.19151859,0.0
0.007,0.942668455,391.51091148,-6.59040484,0.11034289,4.19802363,0.0
0.007,1.19377664,369.53548381,-6.6971143,0.10953482,4.20440793,0.0
0.007,1.51177507,348.41787713,-6.80556069,0.10875397,4.21062208,0.0
0.007,1.91448198,334.852272,-6.88091732,0.10796089,4.21697936,0.0
0.007,2.42446202,319.89043651,-6.96695632,0.10713839,4.22362204,0.0
0.007,3.07029063,303.63792884,-7.06429049,0.10630792,4.23038103,0.0
0.007,3.88815518,289.02317018,-7.15675861,0.10548298,4.23714747,0.0
0.007,4.92388263,274.00915177,-7.25627024,0.10465565,4.24398694,0.0
0.007,6.23550734,257.87547589,-7.36842513,0.10384452,4.25074514,0.0
0.007,7.89652287,244.85258049,-7.4650153,0.10306392,4.25729898,0.0
0.007,10.0,234.06790955,-7.55003471,0.10226476,4.26406025,0.0
0.008,0.001,2208.65372915,-2.89993239,0.24277277,3.57110446,0.0
0.008,0.00126638017,2157.95948515,-2.99610494,0.22766185,3.62692596,0.0
0.008,0.00160371874,2099.5368454,-3.09697037,0.2141424,3.68009977,0.0
0.008,0.00203091762,2038.67112883,-3.19859804,0.20204111,3.73062711,0.0
0.008,0.00257191381,1970.35294067,-3.30565999,0.19120756,3.77849483,0.0
0.008,0.00325702066,1895.29306865,-3.4178085,0.18162029,3.82317792,0.0
0.008,0.00412462638,1824.0006553,-3.52644199,0.17304375,3.86519418,0.0
0.008,0.00522334507,1734.04239672,-3.65325261,0.16545648,3.90413887,0.0
0.008,0.00661474064,1646.78132483,-3.77813369,0.158888,3.939324,0.0
0.008,0.0083767764,1566.89355529,-3.89693501,0.15306905,3.97173135,0.0
0.008,0.0106081836,1488.69339102,-4.01627255,0.14780572,4.00212355,0.0
0.008,0.0134339933,1384.15498115,-4.16948443,0.14332518,4.02886038,0.0
0.008,0.0170125428,1307.18261554,-4.29311616,0.13938014,4.05310305,0.0
0.008,0.0215443469,1228.37734675,-4.42334992,0.1358615,4.07531254,0.0
0.008,0.0272833338,1154.04251823,-4.55205995,0.1327278,4.09558087,0.0
0.008,0.0345510729,1082.75455905,-4.68144461,0.12991266,4.11420214,0.0
0.008,0.0437547938,1015.42501984,-4.81016581,0.12736801,4.13138415,0.0
0.008,0.0554102033,952.77013792,-4.93657384,0.12507247,4.14718093,0.0
0.008,0.0701703829,890.93450889,-5.06774299,0.12298846,4.16177597,0.0
0.008,0.0888623816,827.72591297,-5.20888216,0.12112245,4.17505552,0.0
0.008,0.112533558,769.71046964,-5.34706149,0.11946732,4.18700653,0.0
0.008,0.142510267,715.91291586,-5.4838404,0.11797551,4.19792053,0.0
0.008,0.180472177,668.09366829,-5.61391074,0.11662861,4.20789433,0.0
0.008,0.228546386,623.35871217,-5.74358249,0.115391,4.21716071,0.0
0.008,0.289426612,581.94064289,-5.87162349,0.11425364,4.22576437,0.0
0.008,0.366524124,543.68009319,-5.99785686,0.11319289,4.23386611,0.0
0.008,0.464158883,510.18835374,-6.11601858,0.1121922,4.24157904,0.0
0.008,0.587801607,477.95859515,-6.23669043,0.11125183,4.24889003,0.0
0.008,0.744380301,447.14174722,-6.35936266,0.11037205,4.25578611,0.0
0.008,0.942668455,420.13260148,-6.47419354,0.10953386,4.26240748,0.0
0.008,1.19377664,394.42610589,-6.59023966,0.10873706,4.26874906,0.0
0.008,1.51177507,372.48844836,-6.69585245,0.10796246,4.2749587,0.0
0.008,1.91448198,350.14797977,-6.80937044,0.10721223,4.28101557,0.0
0.008,2.42446202,336.54837376,-6.88431439,0.10645823,4.28714572,0.0
0.008,3.07029063,321.52999307,-6.97001598,0.10567463,4.29356279,0.0
0.008,3.88815518,305.22461814,-7.0669681,0.10488294,4.30009455,0.0
0.008,4.92388263,290.40757025,-7.15995269,0.10409691,4.30662858,0.0
0.008,6.23550734,275.44145402,-7.25847252,0.10330676,4.31324676,0.0
0.008,7.89652287,259.38714316,-7.3693391,0.10253305,4.3197765,0.0
0.008,10.0,245.76735609,-7.46938184,0.10178784,4.32611245,0.0
0.009,0.001,2277.79850054,-2.8080972,0.25371061,3.58398171,0.0
0.009,0.00126638017,2237.00986508,-2.89705583,0.23744328,3.64153944,0.0
0.009,0.00160371874,2190.57218495,-2.98942902,0.22263715,3.69746408,0.0
0.009,0.00203091762,2130.02162665,-3.09149371,0.20936981,3.75083099,0.0
0.009,0.00257191381,2065.7829484,-3.1951215,0.19755781,3.80127088,0.0
0.009,0.00325702066,1998.90765384,-3.30008856,0.18698082,3.84906466,0.0
0.009,0.00412462638,1921.86221946,-3.41312162,0.17759122,3.8938161,0.0
0.009,0.00522334507,1844.31788314,-3.52635264,0.16926906,3.9355038,0.0
0.009,0.00661474064,1756.9554827,-3.64928348,0.16190532,3.97413624,0.0
0.009,0.0083767764,1667.87977789,-3.77479024,0.15549275,4.00923784,0.0
0.009,0.0106081836,1581.96204628,-3.89871201,0.14985858,4.04129564,0.0
0.009,0.0134339933,1504.22596855,-4.01610156,0.14479603,4.0711453,0.0
0.009,0.0170125428,1396.5941741,-4.17161859,0.1404337,4.09771439,0.0
0.009,0.0215443469,1318.99951808,-4.2947661,0.13663498,4.12153308,0.0
0.009,0.0272833338,1240.48655657,-4.42323381,0.13323788,4.14340247,0.0
0.009,0.0345510729,1165.18585037,-4.55203546,0.1302021,4.16342133,0.0
0.009,0.0437547938,1091.78906475,-4.68346931,0.12747562,4.18180346,0.0
0.009,0.0554102033,1023.46837935,-4.81260125,0.12502262,4.19868046,0.0
0.009,0.0701703829,959.74912061,-4.93977303,0.12281207,4.21417526,0.0
0.009,0.0888623816,897.45920952,-5.07067577,0.12079646,4.22854838,0.0
0.009,0.112533558,832.85584977,-5.21352038,0.11899744,4.2415817,0.0
0.009,0.142510267,773.1604773,-5.35437183,0.11741034,4.25324456,0.0
0.009,0.180472177,718.73696015,-5.4918035,0.11598409,4.26386027,0.0
0.009,0.228546386,670.80230608,-5.6213835,0.11469402,4.27357532,0.0
0.009,0.289426612,626.3637304,-5.74954748,0.11350426,4.28263263,0.0
0.009,0.366524124,583.43725217,-5.88127948,0.1124089,4.29105554,0.0
0.009,0.464158883,543.88276847,-6.0110854,0.11139701,4.29890968,0.0
0.009,0.587801607,511.48921625,-6.12523183,0.11044284,4.30638179,0.0
0.009,0.744380301,479.57819837,-6.24428716,0.10953973,4.31351349,0.0
