#  Table pcf814wsys.tab  Mon 12:21:20 02-Jun-97
#      WAVELENGTH      THROUGHPUT
#       angstroms                
0.761769   0.08804853
0.762449   0.08791869
0.763129   0.08775334
0.763810   0.0875776
0.764492   0.08739015
0.765174   0.08716073
0.765857   0.08695346
0.766540   0.08677683
0.767223   0.08655292
0.767908   0.08633483
0.768593   0.08609067
0.769279   0.08587205
0.769965   0.08563459
0.770652   0.08535893
0.771340   0.08510336
0.772028   0.08482567
0.772717   0.08454413
0.773406   0.08429269
0.774096   0.08401908
0.774787   0.0837533
0.775479   0.08345158
0.776170   0.08314824
0.776863   0.08283592
0.777555   0.08259111
0.778249   0.08228916
0.778944   0.08194417
0.779639   0.08165911
0.780335   0.08130511
0.781030   0.08100357
0.781727   0.08067983
0.782425   0.080365
0.783123   0.08004405
0.783822   0.07973543
0.784521   0.07936881
0.785221   0.07903696
0.785921   0.07875158
0.786622   0.07844651
0.787324   0.07808445
0.788027   0.07771328
0.788730   0.07736953
0.789434   0.07709806
0.790138   0.07678254
0.790843   0.07643078
0.791548   0.07607231
0.792255   0.07574883
0.792962   0.07542934
0.793669   0.07509659
0.794377   0.07474609
0.795086   0.0744101
0.795795   0.07414205
0.796505   0.07384393
0.797216   0.07351743
0.797927   0.07318628
0.798639   0.07282783
0.799352   0.07259019
0.800065   0.07211959
0.800779   0.07169545
0.801493   0.07130501
0.802208   0.0708821
0.802924   0.07055459
0.803640   0.07019529
0.804358   0.06979493
0.805075   0.06952108
0.805793   0.06917257
0.806512   0.06879023
0.807232   0.06851868
0.807952   0.06808313
0.808673   0.06774701
0.809394   0.06751593
0.810116   0.06709951
0.810839   0.06679788
0.811563   0.06645337
0.812287   0.06608157
0.813011   0.06578112
0.813737   0.06553344
0.814463   0.06520877
0.815189   0.06485726
0.815917   0.06459132
0.816645   0.06435294
0.817373   0.06395891
0.818103   0.06360522
0.818833   0.06336239
0.819563   0.06296236
0.820294   0.06265463
0.821026   0.06238001
0.821759   0.06205065
0.822492   0.06169655
0.823226   0.06140065
0.823960   0.06108962
0.824695   0.06070169
0.825431   0.06046112
0.826167   0.06013161
0.826905   0.05977126
0.827643   0.05937721
0.828381   0.0590265
0.829120   0.05867319
0.829860   0.05842931
0.830600   0.05810349
0.831341   0.05764502
0.832083   0.05736573
0.832825   0.05695151
0.833569   0.05665402
0.834312   0.05635989
0.835056   0.05592059
0.835801   0.05584324
0.836547   0.05563867
0.837294   0.05544715
0.838041   0.0554227
0.838788   0.05526987
0.839537   0.05504875
0.840285   0.05484938
0.841035   0.05464425
0.841786   0.05451407
0.842537   0.05436985
0.843289   0.05419225
0.844041   0.0539568
0.844794   0.05387455
0.845548   0.05358072
0.846302   0.05341715
0.847057   0.05325213
0.847813   0.0530393
0.848569   0.05286898
0.849326   0.05263678
0.850084   0.0523653
0.850842   0.05220658
0.851602   0.05194415
0.852361   0.05172058
0.853122   0.05146495
0.853883   0.05121404
0.854645   0.05096851
0.855407   0.05063444
0.856170   0.05046407
0.856934   0.05017189
0.857699   0.04985715
0.858464   0.0495613
0.859230   0.04923522
0.859997   0.04901722
0.860764   0.04874123
0.861532   0.04841289
0.862301   0.04811997
0.863070   0.04779781
0.863841   0.04753596
0.864611   0.04714961
0.865382   0.04686048
0.866154   0.04649937
0.866927   0.04620133
0.867701   0.04581709
0.868475   0.04547448
0.869249   0.04520211
0.870025   0.04478852
0.870801   0.04446735
0.871578   0.04414019
0.872356   0.04385108
0.873134   0.04349971
0.873914   0.04315815
0.874693   0.04288657
0.875473   0.04250173
0.876255   0.04223212
0.877036   0.04189886
0.877819   0.04157197
0.878602   0.04125949
0.879386   0.04091824
0.880170   0.04063554
0.880955   0.04038345
0.881742   0.04005554
0.882529   0.03979506
0.883316   0.03950112
0.884104   0.03923357
0.884892   0.03903303
0.885682   0.03871433
0.886472   0.03855339
0.887263   0.03826126
0.888055   0.03802579
0.888848   0.03779839
0.889640   0.03757182
0.890434   0.03741061
0.891228   0.03723429
0.892023   0.03692093
0.892820   0.03685054
0.893616   0.03662514
0.894413   0.03643106
0.895212   0.03627235
0.896010   0.03607007
0.896809   0.03597799
0.897609   0.03574844
0.898410   0.03565037
0.899212   0.03542059
0.900014   0.03534775
0.900817   0.03520856
0.901621   0.03511176
0.902425   0.03499328
0.903231   0.0349016
0.904036   0.0347609
0.904843   0.03460924
0.905651   0.03447927
0.906458   0.03433662
0.907267   0.03425188
0.908076   0.03412956
0.908887   0.03395695
0.909698   0.03391491
0.910509   0.03373061
0.911322   0.03358739
0.912134   0.03345314
0.912948   0.03334805
0.913763   0.0331325
0.914578   0.03303412
0.915394   0.03276335
0.916211   0.03259146
0.917028   0.03251541
0.917846   0.03223236
0.918666   0.03203818
0.919485   0.03179361
0.920306   0.0315772
0.921126   0.03133101
0.921949   0.03112239
0.922771   0.03084255
0.923594   0.03055856
0.924418   0.03035622
0.925243   0.03005606
0.926068   0.02968655
0.926895   0.02950367
0.927722   0.0292003
0.928549   0.02885968
0.929378   0.02854428
0.930207   0.02820606
0.931037   0.02793171
0.931867   0.02755901
0.932699   0.02730354
0.933532   0.02697983
0.934364   0.02665565
0.935198   0.0263673
0.936032   0.02599597
0.936867   0.02572931
0.937703   0.02547322
0.938540   0.02507292
0.939377   0.02480553
0.940215   0.0244977
0.941054   0.02417426
0.941894   0.02387405
0.942734   0.02358486
0.943575   0.02324378
0.944417   0.02293296
0.945259   0.02257095
0.946103   0.02220686
0.946947   0.02181471
0.947792   0.02144905
0.948638   0.0210204
0.949484   0.02058046
0.950331   0.0201159
0.951179   0.01963016
0.952027   0.01914784
0.952877   0.01861841
0.953727   0.01800331
0.954578   0.01735779
0.955430   0.01663952
0.956282   0.01588867
0.957135   0.01509439
0.957989   0.01425972
0.958844   0.01339912
0.959700   0.01248421
0.960556   0.01162545
0.961413   0.01071126
0.962270   0.009834945
0.963129   0.008957323
0.963988   0.00810707
0.964849   0.007364923
0.965709   0.006633609
0.966571   0.00597063
0.967433   0.005350065
0.968296   0.004783746
0.969160   0.004262715
0.970025   0.003812821
0.970890   0.003388923
0.971757   0.003031144
0.972624   0.00270212
0.973491   0.002396068
0.974360   0.002133386
0.975229   0.001890657
0.976099   0.001688325
0.976970   0.0014978
0.977842   0.001334106
0.978715   0.001184314
0.979587   0.001051203
0.980461   9.379338E-4
0.981336   8.288921E-4
0.982212   7.409925E-4
0.983088   6.575715E-4
0.983965   5.884953E-4
0.984843   5.239007E-4
0.985722   4.689660E-4
0.986601   4.169999E-4
0.987482   3.750192E-4
0.988362   3.358353E-4
0.989244   3.019741E-4
0.990127   2.740252E-4
0.991010   2.525545E-4
0.991894   2.318536E-4
0.992779   2.119248E-4
0.993665   1.919754E-4
0.994552   1.724028E-4
0.995439   1.549273E-4
0.996328   1.396384E-4
0.997216   1.256089E-4
0.998106   1.134347E-4
0.998996   1.015776E-4
