#LAM	FLX
1.04400	0.720660
1.04420	0.720120
1.04440	0.719600
1.04460	0.719070
1.04480	0.718520
1.04500	0.717960
1.04520	0.717330
1.04540	0.716720
1.04560	0.716110
1.04580	0.715480
1.04600	0.714860
1.04620	0.714250
1.04640	0.713580
1.04660	0.712880
1.04680	0.712250
1.04700	0.711580
1.04720	0.710920
1.04740	0.710240
1.04760	0.709520
1.04780	0.708830
1.04800	0.708100
1.04820	0.707410
1.04840	0.706730
1.04860	0.706010
1.04880	0.705290
1.04900	0.704620
1.04920	0.703860
1.04940	0.703080
1.04960	0.702360
1.04980	0.701680
1.05000	0.700940
1.05020	0.700160
1.05040	0.699420
1.05060	0.698670
1.05080	0.697970
1.05100	0.697160
1.05120	0.696410
1.05140	0.695650
1.05160	0.694890
1.05180	0.694090
1.05200	0.693340
1.05220	0.692550
1.05240	0.691800
1.05260	0.691090
1.05280	0.690350
1.05300	0.689640
1.05320	0.688920
1.05340	0.688260
1.05360	0.687530
1.05380	0.686840
1.05400	0.686140
1.05420	0.685520
1.05440	0.684910
1.05460	0.684300
1.05480	0.683640
1.05500	0.683070
1.05520	0.682480
1.05540	0.681920
1.05560	0.681300
1.05580	0.680690
1.05600	0.680190
1.05620	0.679660
1.05640	0.679170
1.05660	0.678650
1.05680	0.678220
1.05700	0.677730
1.05720	0.677290
1.05740	0.676850
1.05760	0.676420
1.05780	0.675990
1.05800	0.675660
1.05820	0.675320
1.05840	0.675020
1.05860	0.674710
1.05880	0.674480
1.05900	0.674260
1.05920	0.674000
1.05940	0.673750
1.05960	0.673550
1.05980	0.673340
1.06000	0.673170
1.06020	0.673000
1.06040	0.672850
1.06060	0.672710
1.06080	0.672580
1.06100	0.672490
1.06120	0.672420
1.06140	0.672330
1.06160	0.672260
1.06180	0.672160
1.06200	0.672130
1.06220	0.672100
1.06240	0.672090
1.06260	0.672090
1.06280	0.672120
1.06300	0.672160
1.06320	0.672100
1.06340	0.672130
1.06360	0.672200
1.06380	0.672230
1.06400	0.672240
1.06420	0.672290
1.06440	0.672290
1.06460	0.672270
1.06480	0.672260
1.06500	0.672230
1.06520	0.672150
1.06540	0.672070
1.06560	0.671910
1.06580	0.671740
1.06600	0.671480
1.06620	0.671190
1.06640	0.670910
1.06660	0.670560
1.06680	0.670060
1.06700	0.669510
1.06720	0.668870
1.06740	0.668180
1.06760	0.667420
1.06780	0.666560
1.06800	0.665600
1.06820	0.664610
1.06840	0.663510
1.06860	0.662280
1.06880	0.661010
1.06900	0.659610
1.06920	0.658130
1.06940	0.656510
1.06960	0.654720
1.06980	0.652800
1.07000	0.650760
1.07020	0.648640
1.07040	0.646320
1.07060	0.643860
1.07080	0.641280
1.07100	0.638550
1.07120	0.635700
1.07140	0.632680
1.07160	0.629490
1.07180	0.626130
1.07200	0.622620
1.07220	0.619000
1.07240	0.615170
1.07260	0.611190
1.07280	0.607190
1.07300	0.603060
1.07320	0.598850
1.07340	0.594410
1.07360	0.589900
1.07380	0.585270
1.07400	0.580460
1.07420	0.575530
1.07440	0.570470
1.07460	0.565260
1.07480	0.559910
1.07500	0.554470
1.07520	0.548930
1.07540	0.543210
1.07560	0.537430
1.07580	0.531540
1.07600	0.525530
1.07620	0.519420
1.07640	0.513200
1.07660	0.506850
1.07680	0.500470
1.07700	0.493930
1.07720	0.487370
1.07740	0.480770
1.07760	0.474110
1.07780	0.467440
1.07800	0.460750
1.07820	0.454010
1.07840	0.447160
1.07860	0.440320
1.07880	0.433460
1.07900	0.426610
1.07920	0.419720
1.07940	0.412860
1.07960	0.405990
1.07980	0.399170
1.08000	0.392300
1.08020	0.385560
1.08040	0.378850
1.08060	0.372090
1.08080	0.365390
1.08100	0.358660
1.08120	0.352020
1.08140	0.345370
1.08160	0.338870
1.08180	0.332400
1.08200	0.325970
1.08220	0.319630
1.08240	0.313340
1.08260	0.307160
1.08280	0.301090
1.08300	0.295040
1.08320	0.289110
1.08340	0.283220
1.08360	0.277390
1.08380	0.271730
1.08400	0.266140
1.08420	0.260650
1.08440	0.255190
1.08460	0.249880
1.08480	0.244630
1.08500	0.239490
1.08520	0.234450
1.08540	0.229510
1.08560	0.224690
1.08580	0.219880
1.08600	0.215190
1.08620	0.210650
1.08640	0.206120
1.08660	0.201750
1.08680	0.197420
1.08700	0.193150
1.08720	0.188960
1.08740	0.184910
1.08760	0.180950
1.08780	0.177140
1.08800	0.173370
1.08820	0.169680
1.08840	0.166110
1.08860	0.162580
1.08880	0.159120
1.08900	0.155730
1.08920	0.152400
1.08940	0.149140
1.08960	0.145970
1.08980	0.142840
1.09000	0.139830
1.09020	0.136930
1.09040	0.134060
1.09060	0.131270
1.09080	0.128520
1.09100	0.125810
1.09120	0.123180
1.09140	0.120620
1.09160	0.118130
1.09180	0.115710
1.09200	0.113300
1.09220	0.111010
1.09240	0.108730
1.09260	0.106540
1.09280	0.104370
1.09300	0.102260
