mass	age	temperature	gravity	luminosity	Mv	Mr	Mi	Mj	Mh	Mk	metallicity	cloud	y	l_mix
0.15	0.00795	3395	4.218	8.48	10.27	9.3	8.07	6.71	6.11	5.84	-0.5	nc	0.25	1
0.15	0.01003	3399	4.292	8.66	10.43	9.47	8.24	6.89	6.29	6.03	-0.5	nc	0.25	1
0.15	0.01271	3405	4.366	8.83	10.59	9.62	8.41	7.07	6.48	6.21	-0.5	nc	0.25	1
0.15	0.0159	3411	4.436	9	10.73	9.77	8.57	7.24	6.65	6.39	-0.5	nc	0.25	1
0.15	0.0202	3415	4.51	9.18	10.9	9.94	8.74	7.42	6.84	6.57	-0.5	nc	0.25	1
0.15	0.02534	3407	4.579	9.36	11.09	10.13	8.92	7.6	7.02	6.75	-0.5	nc	0.25	1
0.15	0.03194	3399	4.648	9.55	11.29	10.32	9.1	7.78	7.2	6.93	-0.5	nc	0.25	1
0.15	0.04043	3392	4.717	9.73	11.48	10.51	9.29	7.96	7.38	7.11	-0.5	nc	0.25	1
0.15	0.05053	3384	4.781	9.9	11.67	10.69	9.46	8.13	7.54	7.28	-0.5	nc	0.25	1
0.15	0.06334	3374	4.845	10.07	11.86	10.87	9.63	8.3	7.71	7.45	-0.5	nc	0.25	1
0.15	0.07974	3364	4.909	10.24	12.05	11.06	9.81	8.46	7.88	7.62	-0.5	nc	0.25	1
0.15	0.10122	3353	4.972	10.42	12.24	11.25	9.98	8.63	8.05	7.79	-0.5	nc	0.25	1
0.15	0.12609	3343	5.026	10.56	12.41	11.41	10.13	8.78	8.19	7.93	-0.5	nc	0.25	1
0.15	0.16202	3331	5.079	10.71	12.58	11.57	10.28	8.92	8.33	8.08	-0.5	nc	0.25	1
0.15	0.20511	3322	5.117	10.82	12.71	11.69	10.39	9.03	8.43	8.18	-0.5	nc	0.25	1
0.15	0.25259	3316	5.139	10.88	12.79	11.76	10.46	9.09	8.5	8.24	-0.5	nc	0.25	1
0.15	0.31752	3313	5.153	10.92	12.83	11.81	10.5	9.13	8.53	8.28	-0.5	nc	0.25	1
0.15	0.41015	3311	5.159	10.94	12.86	11.83	10.52	9.14	8.55	8.3	-0.5	nc	0.25	1
0.15	0.50138	3311	5.161	10.94	12.86	11.83	10.52	9.15	8.55	8.3	-0.5	nc	0.25	1
0.15	0.65983	3311	5.161	10.94	12.86	11.84	10.52	9.15	8.56	8.3	-0.5	nc	0.25	1
0.15	0.81827	3311	5.161	10.94	12.86	11.84	10.52	9.15	8.56	8.3	-0.5	nc	0.25	1
0.15	1.00839	3311	5.161	10.94	12.86	11.84	10.52	9.15	8.56	8.3	-0.5	nc	0.25	1
0.15	1.2619	3311	5.161	10.94	12.86	11.84	10.52	9.15	8.56	8.3	-0.5	nc	0.25	1
0.15	1.61047	3311	5.161	10.94	12.86	11.83	10.52	9.15	8.56	8.3	-0.5	nc	0.25	1
0.15	2.02241	3311	5.161	10.94	12.86	11.83	10.52	9.15	8.55	8.3	-0.5	nc	0.25	1
0.15	2.52942	3311	5.161	10.94	12.86	11.83	10.52	9.15	8.55	8.3	-0.5	nc	0.25	1
0.15	3.16318	3311	5.161	10.94	12.86	11.83	10.52	9.15	8.55	8.3	-0.5	nc	0.25	1
0.15	3.98708	3311	5.16	10.94	12.86	11.83	10.52	9.15	8.55	8.3	-0.5	nc	0.25	1
0.15	5.03278	3312	5.16	10.94	12.85	11.83	10.52	9.14	8.55	8.3	-0.5	nc	0.25	1
0.15	6.33199	3312	5.16	10.94	12.85	11.83	10.52	9.14	8.55	8.3	-0.5	nc	0.25	1
0.15	7.94809	3313	5.159	10.94	12.85	11.82	10.51	9.14	8.55	8.3	-0.5	nc	0.25	1
0.15	10.0078	3314	5.158	10.93	12.84	11.82	10.51	9.14	8.55	8.3	-0.5	nc	0.25	1
0.15	12.6062	3315	5.158	10.93	12.84	11.81	10.5	9.13	8.54	8.29	-0.5	nc	0.25	1
0.175	0.00202	3359	3.759	7.21	9.17	8.2	6.87	5.41	4.78	4.52	-0.5	nc	0.25	1
0.175	0.00252	3373	3.834	7.38	9.29	8.33	7.02	5.59	4.97	4.7	-0.5	nc	0.25	1
0.175	0.0032	3399	3.915	7.55	9.39	8.43	7.17	5.77	5.15	4.89	-0.5	nc	0.25	1
0.175	0.004	3427	3.99	7.7	9.47	8.52	7.29	5.94	5.33	5.07	-0.5	nc	0.25	1
0.175	0.00508	3433	4.07	7.89	9.64	8.69	7.48	6.13	5.53	5.27	-0.5	nc	0.25	1
0.175	0.00639	3434	4.145	8.08	9.81	8.86	7.66	6.32	5.72	5.46	-0.5	nc	0.25	1
0.175	0.00796	3436	4.215	8.25	9.97	9.02	7.82	6.49	5.89	5.64	-0.5	nc	0.25	1
0.175	0.01009	3439	4.289	8.43	10.14	9.19	8	6.68	6.08	5.82	-0.5	nc	0.25	1
0.175	0.0126	3444	4.359	8.6	10.29	9.33	8.16	6.84	6.26	6	-0.5	nc	0.25	1
0.175	0.01601	3453	4.432	8.77	10.44	9.48	8.32	7.02	6.44	6.18	-0.5	nc	0.25	1
0.175	0.02007	3465	4.502	8.93	10.57	9.62	8.47	7.19	6.61	6.35	-0.5	nc	0.25	1
0.175	0.0252	3460	4.572	9.11	10.75	9.8	8.65	7.37	6.78	6.53	-0.5	nc	0.25	1
0.175	0.03173	3453	4.641	9.29	10.94	9.99	8.83	7.54	6.96	6.71	-0.5	nc	0.25	1
0.175	0.04009	3445	4.71	9.48	11.14	10.18	9.01	7.72	7.14	6.89	-0.5	nc	0.25	1
0.175	0.05089	3438	4.779	9.66	11.33	10.37	9.19	7.9	7.32	7.07	-0.5	nc	0.25	1
0.175	0.06387	3431	4.843	9.83	11.51	10.55	9.36	8.07	7.49	7.24	-0.5	nc	0.25	1
0.175	0.08068	3424	4.907	10	11.69	10.72	9.53	8.24	7.66	7.4	-0.5	nc	0.25	1
0.175	0.10136	3416	4.966	10.15	11.86	10.89	9.69	8.39	7.81	7.56	-0.5	nc	0.25	1
0.175	0.12783	3408	5.02	10.3	12.02	11.04	9.83	8.53	7.95	7.7	-0.5	nc	0.25	1
0.175	0.16129	3401	5.063	10.41	12.15	11.17	9.95	8.65	8.07	7.82	-0.5	nc	0.25	1
0.175	0.20031	3396	5.093	10.49	12.24	11.25	10.03	8.73	8.14	7.89	-0.5	nc	0.25	1
0.175	0.25403	3393	5.112	10.55	12.3	11.31	10.08	8.78	8.19	7.94	-0.5	nc	0.25	1
0.175	0.32073	3392	5.12	10.57	12.32	11.33	10.11	8.8	8.22	7.97	-0.5	nc	0.25	1
0.175	0.41044	3391	5.123	10.58	12.33	11.34	10.12	8.81	8.22	7.97	-0.5	nc	0.25	1
0.175	0.5055	3391	5.123	10.58	12.33	11.35	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	0.63226	3391	5.123	10.58	12.33	11.35	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	0.82239	3391	5.123	10.58	12.33	11.35	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	1.01251	3391	5.123	10.58	12.33	11.35	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	1.26602	3391	5.123	10.58	12.33	11.35	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	1.61459	3392	5.123	10.58	12.33	11.34	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	2.02653	3392	5.123	10.58	12.33	11.34	10.12	8.81	8.22	7.98	-0.5	nc	0.25	1
0.175	2.53354	3392	5.123	10.58	12.33	11.34	10.12	8.81	8.22	7.97	-0.5	nc	0.25	1
0.175	3.1673	3392	5.123	10.57	12.33	11.34	10.11	8.81	8.22	7.97	-0.5	nc	0.25	1
0.175	3.99119	3392	5.122	10.57	12.33	11.34	10.11	8.8	8.22	7.97	-0.5	nc	0.25	1
0.175	5.0369	3393	5.122	10.57	12.32	11.34	10.11	8.8	8.22	7.97	-0.5	nc	0.25	1
0.175	6.33611	3393	5.121	10.57	12.32	11.33	10.11	8.8	8.22	7.97	-0.5	nc	0.25	1
0.175	7.95221	3394	5.119	10.56	12.31	11.33	10.1	8.79	8.21	7.96	-0.5	nc	0.25	1
0.175	10.0119	3395	5.117	10.56	12.3	11.32	10.09	8.79	8.21	7.96	-0.5	nc	0.25	1
0.175	12.6104	3396	5.114	10.55	12.29	11.31	10.09	8.78	8.2	7.95	-0.5	nc	0.25	1
0.2	0.002	3402	3.764	7.02	8.91	7.96	6.66	5.24	4.6	4.35	-0.5	nc	0.25	1
0.2	0.00252	3414	3.839	7.19	9.04	8.09	6.82	5.42	4.79	4.53	-0.5	nc	0.25	1
0.2	0.00317	3434	3.915	7.36	9.14	8.2	6.96	5.59	4.97	4.72	-0.5	nc	0.25	1
0.2	0.004	3461	3.991	7.51	9.23	8.28	7.09	5.76	5.15	4.9	-0.5	nc	0.25	1
0.2	0.00504	3468	4.067	7.69	9.38	8.44	7.26	5.94	5.34	5.09	-0.5	nc	0.25	1
0.2	0.00637	3472	4.142	7.88	9.55	8.61	7.44	6.13	5.53	5.28	-0.5	nc	0.25	1
0.2	0.00796	3475	4.212	8.05	9.7	8.76	7.6	6.3	5.71	5.45	-0.5	nc	0.25	1
0.2	0.01012	3479	4.286	8.23	9.87	8.93	7.78	6.49	5.89	5.64	-0.5	nc	0.25	1
0.2	0.01268	3484	4.356	8.4	10.02	9.08	7.94	6.66	6.07	5.82	-0.5	nc	0.25	1
0.2	0.01589	3493	4.426	8.56	10.16	9.22	8.09	6.82	6.24	5.99	-0.5	nc	0.25	1
0.2	0.02021	3506	4.5	8.73	10.3	9.36	8.25	7	6.42	6.17	-0.5	nc	0.25	1
0.2	0.02538	3503	4.57	8.91	10.48	9.54	8.42	7.17	6.6	6.35	-0.5	nc	0.25	1
0.2	0.032	3499	4.639	9.08	10.66	9.72	8.6	7.35	6.77	6.52	-0.5	nc	0.25	1
0.2	0.03982	3494	4.704	9.25	10.83	9.89	8.77	7.52	6.94	6.69	-0.5	nc	0.25	1
0.2	0.0505	3487	4.773	9.44	11.03	10.08	8.95	7.7	7.12	6.87	-0.5	nc	0.25	1
0.2	0.06341	3479	4.837	9.61	11.21	10.26	9.12	7.87	7.29	7.04	-0.5	nc	0.25	1
0.2	0.08033	3472	4.901	9.77	11.39	10.43	9.29	8.03	7.46	7.21	-0.5	nc	0.25	1
0.2	0.10168	3467	4.96	9.93	11.55	10.6	9.44	8.18	7.61	7.36	-0.5	nc	0.25	1
0.2	0.12759	3461	5.01	10.06	11.69	10.73	9.57	8.31	7.74	7.49	-0.5	nc	0.25	1
0.2	0.16079	3456	5.048	10.16	11.8	10.84	9.68	8.41	7.84	7.59	-0.5	nc	0.25	1
0.2	0.20254	3453	5.073	10.23	11.87	10.91	9.74	8.48	7.9	7.66	-0.5	nc	0.25	1
0.2	0.25324	3451	5.086	10.26	11.91	10.95	9.78	8.51	7.94	7.69	-0.5	nc	0.25	1
0.2	0.32545	3451	5.092	10.28	11.93	10.96	9.79	8.53	7.95	7.71	-0.5	nc	0.25	1
0.2	0.40449	3451	5.093	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	0.53125	3451	5.094	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	0.658	3451	5.094	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	0.81644	3451	5.094	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	1.00657	3451	5.094	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	1.26007	3451	5.093	10.28	11.93	10.97	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	1.60864	3451	5.094	10.28	11.93	10.96	9.8	8.53	7.96	7.71	-0.5	nc	0.25	1
0.2	2.02059	3451	5.093	10.28	11.93	10.96	9.8	8.53	7.95	7.71	-0.5	nc	0.25	1
0.2	2.5276	3451	5.093	10.28	11.93	10.96	9.79	8.53	7.95	7.71	-0.5	nc	0.25	1
0.2	3.19305	3452	5.092	10.28	11.92	10.96	9.79	8.53	7.95	7.71	-0.5	nc	0.25	1
0.2	3.98525	3452	5.091	10.27	11.92	10.96	9.79	8.52	7.95	7.7	-0.5	nc	0.25	1
0.2	5.03095	3453	5.09	10.27	11.91	10.95	9.78	8.52	7.94	7.7	-0.5	nc	0.25	1
0.2	6.33017	3454	5.087	10.26	11.91	10.94	9.78	8.51	7.94	7.69	-0.5	nc	0.25	1
0.2	7.94626	3455	5.085	10.25	11.9	10.93	9.77	8.51	7.93	7.68	-0.5	nc	0.25	1
0.2	10.006	3455	5.081	10.24	11.88	10.92	9.76	8.5	7.92	7.67	-0.5	nc	0.25	1
0.2	12.6044	3457	5.076	10.23	11.87	10.91	9.74	8.48	7.91	7.66	-0.5	nc	0.25	1
0.25	0.002	3495	3.777	6.69	8.43	7.51	6.3	4.94	4.28	4.05	-0.5	nc	0.25	1
0.25	0.00253	3503	3.852	6.87	8.57	7.65	6.46	5.12	4.48	4.25	-0.5	nc	0.25	1
0.25	0.00317	3512	3.922	7.03	8.69	7.77	6.61	5.3	4.67	4.43	-0.5	nc	0.25	1
0.25	0.00403	3525	3.998	7.21	8.82	7.89	6.76	5.48	4.86	4.62	-0.5	nc	0.25	1
0.25	0.00506	3526	4.069	7.38	8.98	8.06	6.93	5.65	5.05	4.8	-0.5	nc	0.25	1
0.25	0.00637	3529	4.14	7.56	9.14	8.21	7.1	5.83	5.23	4.98	-0.5	nc	0.25	1
0.25	0.00803	3535	4.21	7.73	9.29	8.36	7.26	6	5.4	5.16	-0.5	nc	0.25	1
0.25	0.01012	3542	4.281	7.89	9.44	8.51	7.42	6.17	5.58	5.34	-0.5	nc	0.25	1
0.25	0.01275	3551	4.352	8.06	9.58	8.66	7.58	6.34	5.75	5.51	-0.5	nc	0.25	1
0.25	0.01604	3560	4.421	8.22	9.72	8.8	7.73	6.51	5.93	5.68	-0.5	nc	0.25	1
0.25	0.02017	3574	4.492	8.38	9.84	8.92	7.88	6.68	6.1	5.86	-0.5	nc	0.25	1
0.25	0.02534	3573	4.561	8.56	10.02	9.1	8.05	6.85	6.28	6.03	-0.5	nc	0.25	1
0.25	0.0319	3570	4.63	8.73	10.2	9.27	8.22	7.03	6.45	6.21	-0.5	nc	0.25	1
0.25	0.04035	3571	4.7	8.91	10.37	9.44	8.39	7.2	6.63	6.39	-0.5	nc	0.25	1
0.25	0.05046	3572	4.765	9.07	10.52	9.6	8.55	7.36	6.79	6.55	-0.5	nc	0.25	1
0.25	0.06343	3571	4.83	9.23	10.69	9.76	8.71	7.52	6.96	6.72	-0.5	nc	0.25	1
0.25	0.08068	3568	4.894	9.4	10.85	9.93	8.87	7.69	7.12	6.88	-0.5	nc	0.25	1
0.25	0.10145	3565	4.948	9.54	11	10.07	9.01	7.83	7.26	7.02	-0.5	nc	0.25	1
0.25	0.12796	3562	4.993	9.65	11.11	10.18	9.13	7.94	7.37	7.13	-0.5	nc	0.25	1
0.25	0.16236	3558	5.024	9.73	11.2	10.27	9.21	8.02	7.46	7.22	-0.5	nc	0.25	1
0.25	0.19987	3556	5.039	9.77	11.24	10.31	9.25	8.06	7.5	7.26	-0.5	nc	0.25	1
0.25	0.25131	3555	5.047	9.79	11.27	10.33	9.27	8.08	7.52	7.28	-0.5	nc	0.25	1
0.25	0.32047	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	0.41057	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	0.50563	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	0.63238	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	0.82251	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	1.01264	3555	5.05	9.8	11.27	10.34	9.28	8.09	7.52	7.28	-0.5	nc	0.25	1
0.25	1.26614	3555	5.049	9.8	11.27	10.34	9.27	8.08	7.52	7.28	-0.5	nc	0.25	1
0.25	1.61471	3556	5.048	9.8	11.27	10.34	9.27	8.08	7.52	7.28	-0.5	nc	0.25	1
0.25	2.02666	3556	5.047	9.79	11.26	10.33	9.27	8.08	7.51	7.28	-0.5	nc	0.25	1
0.25	2.53367	3557	5.045	9.79	11.26	10.33	9.26	8.07	7.51	7.27	-0.5	nc	0.25	1
0.25	3.16743	3558	5.043	9.78	11.25	10.32	9.26	8.07	7.5	7.26	-0.5	nc	0.25	1
0.25	3.99132	3559	5.039	9.77	11.24	10.31	9.25	8.06	7.49	7.25	-0.5	nc	0.25	1
0.25	5.03703	3560	5.035	9.76	11.22	10.29	9.23	8.05	7.48	7.24	-0.5	nc	0.25	1
0.25	6.33624	3561	5.031	9.75	11.21	10.28	9.22	8.03	7.47	7.23	-0.5	nc	0.25	1
0.25	7.95233	3563	5.025	9.73	11.19	10.26	9.21	8.02	7.46	7.22	-0.5	nc	0.25	1
0.25	10.0121	3565	5.02	9.72	11.17	10.24	9.19	8	7.44	7.2	-0.5	nc	0.25	1
0.25	12.6105	3566	5.014	9.7	11.15	10.23	9.17	7.99	7.43	7.19	-0.5	nc	0.25	1
0.3	0.00202	3582	3.789	6.42	8.04	7.14	6	4.69	4.02	3.81	-0.5	nc	0.25	1
0.3	0.00252	3583	3.858	6.59	8.18	7.28	6.16	4.87	4.21	4	-0.5	nc	0.25	1
0.3	0.00321	3583	3.933	6.78	8.33	7.42	6.32	5.06	4.42	4.2	-0.5	nc	0.25	1
0.3	0.00404	3586	4.003	6.95	8.46	7.56	6.48	5.24	4.62	4.39	-0.5	nc	0.25	1
0.3	0.00503	3583	4.069	7.12	8.63	7.72	6.64	5.41	4.79	4.56	-0.5	nc	0.25	1
0.3	0.00638	3583	4.14	7.29	8.79	7.88	6.81	5.59	4.98	4.74	-0.5	nc	0.25	1
0.3	0.00797	3587	4.206	7.45	8.94	8.03	6.97	5.75	5.15	4.91	-0.5	nc	0.25	1
0.3	0.0101	3595	4.277	7.62	9.09	8.17	7.13	5.92	5.32	5.09	-0.5	nc	0.25	1
0.3	0.01279	3607	4.348	7.78	9.22	8.31	7.28	6.09	5.5	5.26	-0.5	nc	0.25	1
0.3	0.0159	3619	4.414	7.93	9.34	8.43	7.42	6.24	5.66	5.43	-0.5	nc	0.25	1
0.3	0.02003	3632	4.484	8.09	9.48	8.57	7.57	6.41	5.83	5.6	-0.5	nc	0.25	1
0.3	0.02523	3632	4.554	8.27	9.65	8.74	7.74	6.58	6.01	5.78	-0.5	nc	0.25	1
0.3	0.03187	3630	4.624	8.45	9.82	8.91	7.92	6.76	6.19	5.96	-0.5	nc	0.25	1
0.3	0.04039	3628	4.693	8.62	10	9.09	8.09	6.94	6.37	6.13	-0.5	nc	0.25	1
0.3	0.05062	3629	4.758	8.78	10.16	9.24	8.25	7.1	6.53	6.3	-0.5	nc	0.25	1
0.3	0.06407	3632	4.823	8.94	10.31	9.39	8.4	7.26	6.69	6.46	-0.5	nc	0.25	1
0.3	0.07948	3637	4.879	9.08	10.43	9.52	8.53	7.39	6.83	6.6	-0.5	nc	0.25	1
0.3	0.10111	3640	4.933	9.21	10.56	9.65	8.66	7.53	6.97	6.73	-0.5	nc	0.25	1
0.3	0.12609	3641	4.973	9.31	10.65	9.74	8.76	7.62	7.07	6.83	-0.5	nc	0.25	1
0.3	0.16066	3642	5	9.37	10.72	9.81	8.82	7.69	7.14	6.9	-0.5	nc	0.25	1
0.3	0.20115	3640	5.012	9.41	10.75	9.84	8.86	7.72	7.17	6.93	-0.5	nc	0.25	1
0.3	0.26718	3640	5.017	9.42	10.77	9.85	8.87	7.73	7.18	6.95	-0.5	nc	0.25	1
0.3	0.33946	3640	5.018	9.42	10.77	9.86	8.87	7.74	7.18	6.95	-0.5	nc	0.25	1
0.3	0.40283	3640	5.018	9.42	10.77	9.86	8.87	7.74	7.18	6.95	-0.5	nc	0.25	1
0.3	0.52958	3640	5.018	9.42	10.77	9.85	8.87	7.74	7.18	6.95	-0.5	nc	0.25	1
0.3	0.65634	3640	5.017	9.42	10.77	9.85	8.87	7.74	7.18	6.95	-0.5	nc	0.25	1
0.3	0.81478	3640	5.016	9.42	10.76	9.85	8.87	7.73	7.18	6.95	-0.5	nc	0.25	1
0.3	1.00491	3640	5.015	9.41	10.76	9.85	8.86	7.73	7.18	6.94	-0.5	nc	0.25	1
0.3	1.2901	3641	5.014	9.41	10.75	9.84	8.86	7.73	7.17	6.94	-0.5	nc	0.25	1
0.3	1.60698	3641	5.011	9.4	10.75	9.84	8.85	7.72	7.16	6.93	-0.5	nc	0.25	1
0.3	2.01892	3642	5.008	9.39	10.74	9.83	8.84	7.71	7.16	6.92	-0.5	nc	0.25	1
0.3	2.52593	3643	5.004	9.38	10.73	9.82	8.83	7.7	7.15	6.91	-0.5	nc	0.25	1
0.3	3.19138	3643	5	9.37	10.71	9.8	8.82	7.69	7.13	6.9	-0.5	nc	0.25	1
0.3	3.98359	3643	4.995	9.36	10.7	9.79	8.81	7.68	7.12	6.89	-0.5	nc	0.25	1
0.3	5.02929	3643	4.989	9.34	10.69	9.78	8.8	7.66	7.11	6.87	-0.5	nc	0.25	1
0.3	6.3285	3644	4.984	9.33	10.67	9.76	8.78	7.65	7.09	6.86	-0.5	nc	0.25	1
0.3	7.9446	3644	4.978	9.32	10.66	9.75	8.77	7.63	7.08	6.85	-0.5	nc	0.25	1
0.3	10.0043	3645	4.973	9.3	10.64	9.73	8.75	7.62	7.07	6.83	-0.5	nc	0.25	1
0.3	12.6027	3645	4.968	9.29	10.63	9.72	8.74	7.61	7.05	6.82	-0.5	nc	0.25	1
0.35	0.00201	3657	3.795	6.18	7.69	6.82	5.74	4.48	3.78	3.6	-0.5	nc	0.25	1
0.35	0.00252	3658	3.865	6.35	7.83	6.95	5.89	4.65	3.98	3.78	-0.5	nc	0.25	1
0.35	0.00317	3656	3.934	6.52	7.98	7.09	6.05	4.83	4.18	3.98	-0.5	nc	0.25	1
0.35	0.00399	3652	4.004	6.7	8.13	7.24	6.22	5.02	4.38	4.17	-0.5	nc	0.25	1
0.35	0.00505	3646	4.074	6.89	8.31	7.41	6.39	5.2	4.57	4.36	-0.5	nc	0.25	1
0.35	0.00632	3643	4.139	7.05	8.47	7.57	6.56	5.37	4.75	4.53	-0.5	nc	0.25	1
0.35	0.00805	3643	4.21	7.23	8.64	7.74	6.73	5.54	4.93	4.71	-0.5	nc	0.25	1
0.35	0.01008	3648	4.277	7.39	8.78	7.88	6.88	5.71	5.1	4.88	-0.5	nc	0.25	1
0.35	0.01262	3655	4.343	7.55	8.92	8.02	7.03	5.87	5.27	5.05	-0.5	nc	0.25	1
0.35	0.01601	3668	4.413	7.71	9.05	8.15	7.18	6.03	5.45	5.22	-0.5	nc	0.25	1
0.35	0.02026	3684	4.484	7.87	9.18	8.28	7.33	6.2	5.62	5.4	-0.5	nc	0.25	1
0.35	0.02522	3686	4.55	8.03	9.33	8.43	7.49	6.36	5.79	5.56	-0.5	nc	0.25	1
0.35	0.03202	3684	4.62	8.21	9.51	8.61	7.66	6.54	5.97	5.74	-0.5	nc	0.25	1
0.35	0.04027	3683	4.686	8.37	9.67	8.77	7.83	6.7	6.14	5.91	-0.5	nc	0.25	1
0.35	0.05026	3685	4.747	8.52	9.82	8.92	7.97	6.86	6.29	6.06	-0.5	nc	0.25	1
0.35	0.06352	3689	4.808	8.67	9.96	9.06	8.12	7	6.44	6.22	-0.5	nc	0.25	1
0.35	0.08042	3696	4.864	8.8	10.08	9.18	8.24	7.14	6.58	6.35	-0.5	nc	0.25	1
0.35	0.10071	3703	4.91	8.91	10.18	9.28	8.35	7.25	6.69	6.47	-0.5	nc	0.25	1
0.35	0.12669	3707	4.947	9	10.26	9.36	8.43	7.34	6.79	6.56	-0.5	nc	0.25	1
0.35	0.16351	3707	4.973	9.06	10.32	9.42	8.5	7.4	6.85	6.62	-0.5	nc	0.25	1
0.35	0.20381	3705	4.982	9.09	10.35	9.45	8.52	7.43	6.88	6.65	-0.5	nc	0.25	1
0.35	0.27346	3703	4.984	9.09	10.35	9.45	8.53	7.43	6.88	6.65	-0.5	nc	0.25	1
0.35	0.33683	3702	4.981	9.09	10.35	9.45	8.52	7.43	6.87	6.65	-0.5	nc	0.25	1
0.35	0.40021	3701	4.978	9.08	10.35	9.45	8.52	7.42	6.87	6.64	-0.5	nc	0.25	1
0.35	0.52696	3699	4.972	9.07	10.34	9.44	8.5	7.41	6.85	6.63	-0.5	nc	0.25	1
0.35	0.65371	3698	4.967	9.06	10.33	9.43	8.49	7.39	6.84	6.62	-0.5	nc	0.25	1
0.35	0.81215	3697	4.963	9.05	10.32	9.42	8.49	7.38	6.83	6.61	-0.5	nc	0.25	1
0.35	1.00228	3696	4.959	9.04	10.31	9.41	8.48	7.37	6.82	6.6	-0.5	nc	0.25	1
0.35	1.28748	3695	4.954	9.03	10.3	9.4	8.47	7.36	6.81	6.58	-0.5	nc	0.25	1
0.35	1.60436	3694	4.95	9.02	10.3	9.39	8.46	7.36	6.8	6.57	-0.5	nc	0.25	1
0.35	2.0163	3694	4.947	9.01	10.29	9.39	8.45	7.35	6.79	6.57	-0.5	nc	0.25	1
0.35	2.52331	3694	4.944	9	10.28	9.38	8.44	7.34	6.79	6.56	-0.5	nc	0.25	1
0.35	3.18348	3697	4.961	9.04	10.31	9.41	8.48	7.38	6.83	6.6	-0.5	nc	0.25	1
0.35	4.00737	3695	4.948	9.01	10.29	9.39	8.45	7.35	6.8	6.57	-0.5	nc	0.25	1
0.35	5.02139	3694	4.942	9	10.27	9.37	8.44	7.33	6.78	6.55	-0.5	nc	0.25	1
0.35	6.31532	3697	4.954	9.02	10.3	9.39	8.46	7.36	6.81	6.58	-0.5	nc	0.25	1
0.35	7.9631	3696	4.942	9	10.27	9.37	8.43	7.33	6.78	6.55	-0.5	nc	0.25	1
0.35	10.0228	3697	4.942	9	10.27	9.37	8.43	7.33	6.78	6.55	-0.5	nc	0.25	1
0.35	12.5896	3697	4.939	8.99	10.26	9.36	8.43	7.32	6.77	6.54	-0.5	nc	0.25	1
0.4	0.00202	3719	3.802	5.98	7.4	6.55	5.52	4.3	3.59	3.42	-0.5	nc	0.25	1
0.4	0.00254	3723	3.872	6.14	7.54	6.67	5.67	4.47	3.78	3.6	-0.5	nc	0.25	1
0.4	0.0032	3721	3.941	6.32	7.69	6.81	5.83	4.65	3.98	3.8	-0.5	nc	0.25	1
0.4	0.00404	3715	4.011	6.5	7.85	6.96	6	4.84	4.19	3.99	-0.5	nc	0.25	1
0.4	0.00502	3709	4.076	6.67	8.01	7.13	6.16	5	4.37	4.16	-0.5	nc	0.25	1
0.4	0.00638	3703	4.145	6.85	8.19	7.3	6.34	5.19	4.56	4.35	-0.5	nc	0.25	1
0.4	0.008	3701	4.211	7.02	8.35	7.46	6.5	5.35	4.73	4.52	-0.5	nc	0.25	1
0.4	0.01004	3702	4.277	7.18	8.5	7.61	6.66	5.52	4.91	4.7	-0.5	nc	0.25	1
0.4	0.01261	3706	4.343	7.34	8.65	7.75	6.81	5.68	5.08	4.87	-0.5	nc	0.25	1
0.4	0.01606	3714	4.414	7.51	8.79	7.9	6.97	5.85	5.26	5.05	-0.5	nc	0.25	1
0.4	0.02014	3725	4.48	7.66	8.92	8.03	7.12	6.01	5.43	5.21	-0.5	nc	0.25	1
0.4	0.0253	3729	4.546	7.82	9.07	8.18	7.27	6.17	5.6	5.38	-0.5	nc	0.25	1
0.4	0.03197	3733	4.613	7.99	9.23	8.34	7.43	6.34	5.77	5.55	-0.5	nc	0.25	1
