SOURCE_KEY	NAME	DESIGNATION	RA	DEC	OPT_TYPE	OPTICAL_REFERENCE	NIR_TYPE	NIR_REFERENCE	LIT_SPT	GRAVITY_CLASS	LUMINOSITY_CLASS	METALLICITY_CLASS	NON_VLM	JMAG	JMAG_ERROR	HMAG	HMAG_ERROR	KMAG	KMAG_ERROR	DISCOVERY_REFERENCE	NOTE	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	SBINARY	COMPANION	COMPANION_NAME
10415	2MASS J05120636-2949540	J05120636-29495400	78.026497	-29.831667	L4.5	2008ApJ...689.1295K	L5 gamma	BANYAN7	L4.5	LG				15.463	0.057	14.156	0.048	13.285	0.042	2003AJ....126.2421C		Beta Pictoris	BANYAN7	young red				
10416	2MASSI J0512-2949-BS	J05120636-29495400	78.026497	-29.831667	L4.5	2008ApJ...689.1295K			L4.5					15.463	0.057	14.156	0.048	13.285	0.042	2003AJ....126.2421C								
10417	2MASS J05151593-0656262	J05151593-0656262	78.816376	-6.9406114	galaxy?	2007AJ....133.2825R	galaxy?		galaxy?				GAL	15.183	0.044	13.349	0.029	12.337	0.024	2007AJ....133.2825R								
10418	2MASS J05160945-0445499	J05160945-0445499	79.039375	-4.7638612			T5.5	2006ApJ...637.1067B	T5.5					15.984	0.079	15.721	0.165	15.486	0.204	2003AJ....126.2487B								
10419	2MASS J05161597-3332046	J05161597-3332046	79.066544	-33.534611	L3:				L3:					15.879	0.056	14.801	0.052	13.987	0.047	2008AJ....136.1290R								
10420	2MASS J05170548-4154413	J05170548-4154413	79.272827	-41.911472	M9				M9					13.456	0.023	12.734	0.027	12.266	0.023									
10421	LEHPM 2-183	J05173729-3348593	79.405373	-33.816471	M8	2003AJ....126.2421C	M9	BUR-NP	M8					12.004	0.022	11.317	0.024	10.832	0.024	2004A&A...421..763P								
10422	2MASS J05184616-2756457	J05184616-2756457	79.692337	-27.946028	L1gamma	FAH13A	L1 vlg	2010ApJ...715..561A	L1gamma	LG				15.262	0.043	14.295	0.046	13.615	0.04	2007AJ....133..439C				young				
10423	2MASS J05185995-2828372	J05185995-2828372	79.749794	-28.477001	L7	2008ApJ...689.1295K	T1p	2006ApJ...637.1067B	L7					15.978	0.097	14.83	0.073	14.162	0.072	2004ApJ...604L..61C	binary: sep=0.051+/-0.012 at 189+/-8 deg on 2004 Sep 7 (Burgasser et al. 2006)			binary sbinary				
10424	WISE J052126.29+102528.4	J05212615+1025328	80.358955	10.425778		2013A&A...557A..43B								15.262		15.222	0.103	14.665		2013A&A...557A..43B								
10425	2MASSI J0523382-140302	J05233822-1403022	80.909248	-14.050611	L2.5	2003AJ....126.2421C	L5	2003IAUS..211..197W	L2.5					13.084	0.024	12.22	0.021	11.638	0.027	2003AJ....126.2421C								
10426	WISE J052536.35+673952.6	J05253635+6739526	81.401451	67.664612			T6 pec	2011ApJS..197...19K	T6 pec					17.49	0.496	18.132	0.121			2011ApJS..197...19K								
10427	2MASS J05262592-2615427	J05262592-2615427	81.607994	-26.261862										16.608	0.115	16.829	0.287	16.874										
10428	2MASS J05264348-4455455	J05264348-4455455	81.681168	-44.929306	M9.5	2008AJ....136.1290R			M9.5					14.082	0.033	13.307	0.028	12.705	0.027	2008AJ....136.1290R								
10429	0527-1813	J05273521-1813392	81.896706	-18.227556																								
10430	WISE J052857.69+090104.4	J05285769+0901044	82.240379	9.017889			M9.5 pec	BUR-NP	M9.5 pec					16.26	0.11	15.44	0.12	14.97	0.11	2013PASP..125..809T	identical to 0608-2753 beta pic member	32 Orionis	LopezIP	young				
10431	2MASS J05301261+6253254	J05301261+6253254	82.552544	62.890392	L1	2008AJ....136.1290R			L1					14.053	0.026	13.264	0.033	12.709	0.028	2008AJ....136.1290R								
10432	0530+6253 Background Source	J05301261+6253254	82.552544	62.890392																								
10433	2MASS J05314149+6856293	J05314149+6856293	82.922874	68.941475			M9	2010ApJS..190..100K	M9					15.608	0.063	15.122	0.105	14.458	0.078	2010ApJS..190..100K								
10434	2MASS J05341594-0631397	J05341594-0631397	83.566422	-6.5276942	M8gamma	2010ApJS..190..100K	M8pec	2010ApJS..190..100K	M8gamma					16.081	0.089	15.43	0.123	15.031	0.126	2010ApJS..190..100K				young				
10435	2MASS J0534584-151143	J0534584-151143	83.743332	-15.195278	M9	2007AJ....133..439C			M9					13.151		12.515		11.997		2007AJ....133..439C								
10436	2MASS J0536052+022832	J0536052+022832	84.021667	2.4755557			M7	BUR-NP	M7					15.619	0.088	15.376	0.105	14.993	0.124	BUR-NP								
10437	2MASS J05361998-1920396	J05361998-1920396	84.083244	-19.344334	L2gamma	FAH13A	L2 vlg	2010ApJ...715..561A	L2gamma	LG				15.768	0.075	14.693	0.071	13.854	0.062	2007AJ....133..439C				young				
10438	0536-1808	J05362763-1808229	84.115128	-18.139694			SN/PN		SN/PN				SN															
10439	2MASS J05363713-0328492	J05363713-0328492	84.154709	-3.4803333			M8	2010ApJS..190..100K	M8					14.175	0.03	13.553	0.036	13.077	0.035	2010ApJS..190..100K								
10440	2MASS J05363776+1000232	J05363776+1000232	84.157333	10.006444			M III	2010ApJS..190..100K	M III		III			16.104	0.105	15.118	0.084	14.499	0.083	2010ApJS..190..100K				giant				
10441	2MASS J05381018-0554261	J05381018-0554261	84.542412	-5.9072499			galaxy	2010ApJS..190..100K	galaxy				GAL	15.862	0.062	14.714	0.043	14.156	0.051	2010ApJS..190..100K				giant				
10442	WISE J05394584-1241555	J05394584-1241555	84.941002	-12.69875			M5	FAH-NP	M5					14.005	0.028	13.418	0.028	13.088	0.032									
10443	SDSSp J053951.99-005902.0	J05395199-00590189	84.966621	-0.98383337	L5	2000AJ....119..928F	L5	2004AJ....127.3553K	L5					14.033	0.031	13.104	0.026	12.527	0.024	2000AJ....119..928F								
10444	Gliese 213	J05420897+1229252	85.537369	12.490334	M4	1991ApJS...77..417K¾			M4					7.124	0.021	6.627	0.018	6.389	0.016	1925AJ.....36...96R				mstd				
10445	2MASS J05431887+6422528	J05431887+6422528	85.828629	64.381332	L1	2008AJ....136.1290R			L1					13.567	0.031	12.669	0.032	12.05	0.023	2008AJ....136.1290R								
10446	2MASS J05441150-2433010	J05441150-2433010	86.04792	-24.550278	M8				M8					12.532	0.022	11.874	0.026	11.463	0.024									
10447	0546-0845	J0546-0845	86.5	-8.75			M5		M5												highly reddened			giant				
10448	WISE J054601.19-095947.5	J05460119-0959475	86.504951	-9.9965277			T5	2013ApJS..205....6M	T5					16.18	0.09	16.27	0.22	15.47		2013ApJS..205....6M								
10449	2MASS J05460407-0003228	J05460407-0003228	86.516953	-0.056333333			galaxy	2010ApJS..190..100K	galaxy				GAL	16.166	0.081	15.019	0.07	14.443	0.088	2010ApJS..190..100K								
10450	WISE J05500794+1610519	J05500794+1610519	87.533081	16.181082			L2	2014ApJ...783..122K	L2					14.441	0.026	13.49	0.027	12.836	0.027	2014ApJ...783..122K								
10451	DENIS J055146.0-443412.2B	J05514604-4434128	87.941833	-44.570221			L0	2005A&A...440L..55B	L0					15.794	0.08	15.198	0.101	14.869	0.109	2005A&A...440L..55B				binary				
10452	DENIS J055146.0-443412.2A	J05514604-4434128	87.941833	-44.570221			M8.5	2005A&A...440L..55B	M8.5					15.794	0.08	15.198	0.101	14.869	0.109	2005A&A...440L..55B				binary				
10453	WISE J05555521+0756208	J05555521+0756208	88.980042	7.9391112			M7.5-M8	FAH-NP	M7.5-M8					15.349	0.055	14.706	0.05	14.244	0.065									
10454	2MASS J0557410-133326	J0557410-133326	89.42083	-13.557222	galaxy?	2007AJ....133.2825R	galaxy?		galaxy?				GAL	16.942	0.22	15.466	0.131	14.7	0.115	2007AJ....133.2825R								
10455	2MASS J0557422-133315	J0557422-133315	89.425827	-13.554167	galaxy?		galaxy?		galaxy?				GAL	16.154	0.097	14.678	0.072	13.844	0.069									
10456	2MASS J05575096-1359503	J05575096-1359503	89.462326	-13.997306	M7	CRU07A	M7 vlg	2010ApJ...715..561A	M7	LG				12.871	0.023	12.145	0.027	11.732	0.023					young				
10457	2MASS J0558370-133912	J0558370-133912	89.654167	-13.653333	galaxy?		galaxy?		galaxy?				GAL	16.381	0.116	14.899	0.077	14.073	0.068									
10458	APMPM 0559-2903	J05585891-2903267	89.745461	-29.057415	esdM7.5	SCW99A			esdM7.5			esd		14.887	0.035	14.453	0.036	14.458	0.071	SCW99A				subdwarf				
10459	2MASS J05591914-1404488	J05591914-1404488	89.829758	-14.080222	T5	2003ApJ...594..510B	T4.5	2006ApJ...637.1067B	T4.5					13.802	0.024	13.679	0.044	13.577	0.052	2000AJ....120.1100B								
10460	2MASS J06020638+4043588	J06020638+4043588	90.526588	40.733002			T4.5	2007AJ....134.1162L	T4.5					15.544	0.067	15.592	0.137	15.166	0.162	2007AJ....134.1162L								
10461	2MASS J06022216+6336391	J06022216+6336391	90.592331	63.610859	L1:	2008AJ....136.1290R			L1:					14.266	0.03	13.357	0.03	12.683	0.023	2008AJ....136.1290R								
10462	LSR 0602+3910	J06023045+3910592	90.626869	39.183113	L1	SAL03A			L1					12.3	0.022	11.451	0.021	10.865	0.02	SAL03A	Seifahrt et al. (2010) claim member of Pleaides	Pleiades MG	Seifahrt 2010	young				
10463	0604-0701	J06042181-0701475	91.090874	-7.0298615			galaxy		galaxy				GAL								highly reddened			giant				
10464	2MASS J06050190-2342260	J06050190-2342260	91.257919	-23.707224	L0:	2007AJ....133..439C			L0:					14.512	0.035	13.727	0.036	13.145	0.031	2007AJ....133..439C								
10465	WISE J06052422-0956060	J06052422-0956060	91.350922	-9.9350004			M4-M5?	FAH-NP	M4-M5?					15.128	0.036	14.498	0.044	14.149	0.065									
10466	WISE J060738.65+242953.5	J06073865+2429535	91.911041	24.498196	L8	CAS13A	L9	2013PASP..125..809T	L8					14.22	0.03	13.04	0.03	12.47	0.02	CAS12A								
10467	WISE J06074213+4550370	J06074213+4550370	91.925545	45.843609			L2.5	2014ApJ...783..122K	L2.5					14.942	0.035	14.034	0.034	13.329	0.027	2014ApJ...783..122K								
10468	LSPM J0607+3445	J06075783+3445229	91.990959	34.756363			sdM4	BUR-NP	sdM4			sd		15.751	0.07	15.234	0.119	15.006	0.124					subdwarf				
10469	2MASS J06085283-2753583	J06085283-2753583	92.220123	-27.899529	M9gamma	RIC10A	L0 lg	ALL13A	M9gamma					13.595	0.028	12.897	0.026	12.371	0.026	2003AJ....126.2421C	possible member of Beta Pictories			young				
10470	LHS 1826	J06095784+6954460	92.490997	69.912781	sdM6	2005PASP..117..676R			sdM6			sd		15.827	0.079	15.539	0.117	15.362	0.18					subdwarf				
10471	Gliese 229A	J06103462-2151521	92.644249	-21.864473	M1 V				M1 V					5.104	0.037	4.393	0.254	4.166	0.232									
10472	WISE J061135.13-041024.0	J06113513-0410240	92.896378	-4.1733332			T0	2011ApJS..197...19K	T0					15.489	0.055	14.645	0.048	14.221	0.07	2011ApJS..197...19K								
10473	SIPS J0614-2019	J06141196-2019181	93.549828	-20.321695			L4	AND01A	L4					14.783	0.028	13.901	0.024	13.375	0.037									
10474	2MASS J0614453+650437	J0614453+650437	93.688744	65.076942			M7:	BUR-NP	M7:					15.759	0.077	15.157	0.099	15.159	0.153	BUR-NP								
10475	DENIS-P J0615493-010041	J06154934-01004158	93.955589	-1.0115278	L2+/-1	2008MNRAS.383..831P			L2+/-1					13.754	0.027	12.984	0.023	12.541	0.026	2008MNRAS.383..831P								
10476	2MASS J06160532-4557080 (background source)	J06160532-4557080	94.022171	-45.952225	L2	2008AJ....136.1290R			L2					15.157		14.259		13.598		2008AJ....136.1290R								
10477	2MASS J06195260-2903592	J06195260-2903592	94.96917	-29.066444	M6	CRU03A	M5	2010ApJ...715..561A	M6															young				
10478	LHS 217	J06211484+6558164	95.311829	65.971222	esdM0	2010ApJS..190..100K	esdM:	2010ApJS..190..100K	esdM0			esd		12.196	0.025	11.705	0.026	11.489	0.016					subdwarf				
10479	WISE J062309.94-045624.6	J06230994-0456246	95.791412	-4.940167			T8	2011ApJS..197...19K	T8					17.51	0.1	17.31	0.11	17.8	0.22	2011ApJS..197...19K								
10480	2MASS J06235243+5137023	J06235243+5137023	95.96846	51.617302		2008AJ....136.1290R								13.414	0.026	12.765	0.026	12.31	0.026	2008AJ....136.1290R								
10481	WISE J062442.37+662625.6	J06244237+6626256	96.176544	66.440445			L1	CAS13A	L1					13.41	0.05	12.77	0.05	12.27	0.03	CAS13A								
10482	2MASS J06244400-1045064	J06244400-1045064	96.183334	-10.751778										13.243	0.027	11.285	0.023	10.425	0.019		highly reddened			giant				
10483	2MASS J06244595-4521548	J06244595-45215479	96.191458	-45.365194	L5:	2008AJ....136.1290R			L5:					14.48	0.029	13.335	0.028	12.595	0.026	2008AJ....136.1290R				young				
10484	SDSS J062621.22+002934.2	J06262121+00293410	96.588379	0.49280554	L1	2002AJ....123.3409H			L1					15.925	0.094	15.209	0.121	14.86	0.123	2002AJ....123.3409H								
10485	WISE J062720.07-111428.0	J06272007-1114280	96.833626	-11.241112			T6	2011ApJS..197...19K	T6					15.487	0.052	15.441	0.075	15.432	0.181	2011ApJS..197...19K								
10486	2MASS J06283378-0959026	J06283378-0959026	97.140747	-9.9840555										13.408	0.027	11.764	0.022	11.096	0.024		highly reddened			giant				
10487	WISE J062905.13+241804.9	J06290513+2418049	97.27137	24.301361			T2 sb	2013ApJS..205....6M	T2 sb					16.34	0.13	15.47	0.15	15.13	0.15	2013ApJS..205....6M				sbinary				
10488	2MASS J06411840-4322329	J06411839-43223290	100.32663	-43.375805	L1.5	2008AJ....136.1290R			L1.5					13.751	0.026	12.941	0.034	12.451	0.029	2008AJ....136.1290R	young?							
10489	DENIS-P J0652197-253450	J06521977-25345058	103.08237	-25.580696	L0	2008MNRAS.383..831P			L0					12.759	0.023	12.02	0.021	11.516	0.021	2008MNRAS.383..831P								
10490	PSO J103.0927+41.4601	J06522225+4127362	103.09271	41.460056			T0	2013ApJ...777...84B	T0					15.48	0.06	14.46	0.05	13.89	0.05	2013ApJ...777...84B				sbinary				
10491	2MASSI J0652307+471034	J06523073+4710348	103.12804	47.176334	L4.5	2003AJ....126.2421C	L4 beta	BANYAN7	L4.5	IG				13.511	0.023	12.384	0.024	11.694	0.02	2003AJ....126.2421C				young				
10492	SDSS J065405.63+652805.4	J06540564+6528051	103.52351	65.468086			L6+/-1	2006AJ....131.2722C	L6+/-1					16.138	0.089	15.196	0.083	14.603	0.082	2006AJ....131.2722C								
10493	WISE J065609.59+420531.9	J06560959+4205319	104.03996	42.092194			T3	2011ApJS..197...19K	T3					15.446	0.049	14.874	0.049	14.831	0.096	2011ApJS..197...19K								
10494	2MASS J0656165+333758	J0656165+333758	104.06875	33.632774			M6	BUR-NP	M6					15.985	0.079	15.828	0.127	15.103	0.109	BUR-NP								
10495	LEHPM 2-461	J06591011-4747002	104.79213	-47.78339	M6.5	RUI95A	M7	BUR-NP	M6.5					13.642	0.026	13.092	0.034	12.718	0.026	2004A&A...421..763P	ESO 207-8							
10496	2MASS J07003664+3157266	J07003664+3157266	105.15266	31.95739	L3.5	THO03A			L3.5					12.923	0.023	11.947	0.016	11.317	0.023	THO03A	binary: sep=0.17 at 102.0 deg (Reid et al. 2006)			binary				
10497	V838 Mon	J07040485-0350511	106.0202	-3.8475277	M10+ I	DES02A			M10+ I		I			13.873	0.047	13.51	0.063	13.333	0.06	BRO02A	"binary with B3V companion star, sourcing Desidera & Munari (2002) and Munari et al. (2002b)"			giant companion				
10498	LEHPM 2-436	J07075333-4900574	106.97221	-49.015945	M8.5	2005A&A...440.1061L	M8	BUR-NP	M8.5					13.228	0.026	12.538	0.03	12.105	0.026	2004A&A...421..763P	ESO 207-61							
10499	2MASSW J0708213+295035	J07082132+29503500	107.08884	29.843056	L5	2000AJ....120..447K			L5					16.716	0.12	15.562	0.109	14.765	0.087	2000AJ....120..447K								
10500	2MASS J0711117+415232	J0711117+415232	107.79875	41.875553			M8	BUR-NP	M8					15.922	0.106	15.693	0.163	15.011	0.116	BUR-NP								
10501	LSPM J0713+2151	J07131565+2151087	108.31521	21.852417			d/sdM4:	BUR-NP	d/sdM4:			d/sd		14.26	0.029	13.741	0.039	13.543	0.035					subdwarf				
10502	WISE J07155238-1145329	J07155238-1145329	108.96825	-11.759139			L4pec	2014ApJ...783..122K	L4pec					14.301	0.038	13.487	0.048	12.805	0.041	2014ApJ...783..122K				blue				
10503	DENIS-P J0716478-063037	J07164790-06303696	109.19958	-6.5102501	L1+/-1	2008MNRAS.383..831P			L1+/-1					13.899	0.035	13.068	0.029	12.565	0.037	2008MNRAS.383..831P								
10504	2MASSW J0717163+570543	J07171626+5705430	109.31775	57.095276	L3	2008AJ....136.1290R	L6.5	2003IAUS..211..197W	L3					14.636	0.032	13.593	0.03	12.945	0.026	2003IAUS..211..197W								
10505	Gliese 270	J07193126+3249482	109.88025	32.830055	M0	KIR91A	M0	2010ApJS..190..100K	M0					7.184	0.02	6.541	0.034	6.376	0.02	VMN16A								
10506	WISE J07200320-0846513	J07200325-0846499	110.01354	-8.7805271	M9.5	2014arXiv1410.4288B	M9	2014ApJ...783..122K	M9.5					10.628	0.023	9.919	0.024	9.467	0.019	2014A&A...561A.113S				sbinary				
10507	2MASS J0720341-490235	J0720341-490235	110.14209	-49.043056			d/sdM7	BUR-NP	d/sdM7			d/sd		15.284	0.063	15.036	0.126	14.55	0.11	BUR-NP				subdwarf				
10508	LSPM J0721+0308	J07212276+0308490	110.34483	3.1469445			sdM5	BUR-NP	sdM5			sd		15.686	0.058	15.104	0.08	14.962	0.129					subdwarf				
10509	UGPS J072227.51-054031.2	J07222759-05403839	110.61496	-5.6773052			T9+	LUC10A	T9+					16.489	0.128	16.147	0.205			LUC10A								
10510	2MASS J07231462+5727081	J07231462+5727081	110.81091	57.452251	L1	2008AJ....136.1290R			L1					13.97	0.026	13.156	0.03	12.613	0.03	2008AJ....136.1290R								
10511	LSR 0723+0316	J07234305+0316218	110.92937	3.2727222	sdM8	LEP-NP	sdM7	BUR-NP	sdM8			sd		14.543	0.033	14.12	0.041	13.878	0.044					subdwarf				
10512	2MASS J0725509+475632	J0725509+475632	111.46208	47.942223			M5	BUR-NP	M5					15.946	0.096	15.922	0.177	15.186	0.143	BUR-NP								
10513	2MASSI J0727182+171001	J07271824+1710012	111.826	17.167	T8	2003ApJ...594..510B	T7	2006ApJ...637.1067B	T7					15.6	0.061	15.756	0.171	15.556	0.194	2002ApJ...564..421B				tstd				
10514	GJ 2060	J07285093-3015562	112.21221	-30.265612	M1	REI03A			M1					6.615	0.024	5.97	0.036	5.716	0.02		"binary, cited in REID03"			binary				
10515	2MASS J07290002-3954043	J07290002-3954043	112.25008	-39.901196			T8pec	2007AJ....134.1162L	T8pec					15.92	0.077	15.979	0.183	15.29		2007AJ....134.1162L								
10516	TYC 6542-620-1	J07315624-2608276	112.98433	-26.141001										11.565	0.026	11.359	0.025	11.319	0.024					giant				
10517	SDSS J07325801+29164400	J07325801+2916438	113.24171	29.278833	M9	2008AJ....135..785W			M9					15.758	0.054	14.985	0.054	14.579	0.07	2008AJ....135..785W								
10518	LSPM J0734+5810	J07340502+5810484	113.52091	58.180111			M:	2010ApJS..190..100K	M:					15.657	0.071	15.142	0.12	15.041	0.13									
10519	SDSS J07342570+30065792	J07342571+3006583	113.60712	30.116196	M8	2008AJ....135..785W			M8					15.129	0.041	14.383	0.056	14.081	0.059	2008AJ....135..785W								
10520	SDSS J07351959+4108503	J07351959+4108503	113.83163	41.147308	L0	2010AJ....139.1808S			L0					15.78	0.073	15.248	0.09	14.853	0.101	2010AJ....139.1808S								
10521	2MASS J07354882+2720167	J07354882+2720167	113.95342	27.337973			L1	2011ApJ...732...56G	L1					16.9						2011ApJ...732...56G	suspected spectral binary							
10522	SDSS J073922.26+661503.5	J07392203+6615039	114.84179	66.251083			T1.5+/-1	2006AJ....131.2722C	T1.5+/-1					16.823	0.128	15.998	0.098	15.831	0.183	2006AJ....131.2722C								
10523	2MASSW J0740096+321203	J07400965+32120320	115.04021	32.20089	L4.5	2000AJ....120..447K			L4.5					16.191	0.091	14.862	0.059	14.222	0.059	2000AJ....120..447K								
10524	SDSS J074149.15+235127.5	J07414920+2351275	115.455	23.857639			T5	2006ApJ...637.1067B	T5					16.158	0.101	15.838	0.185	15.847		2004AJ....127.3553K								
10525	2MASS J07415784+0531568	J07415784+0531568	115.491	5.532444			L1.5	2010ApJS..190..100K	L1.5					14.379	0.035	13.563	0.023	13.062	0.033	2010ApJS..190..100K								
10526	SDSS J074201.41+205520.5	J07420130+2055198	115.50541	20.922167			T5	2006ApJ...637.1067B	T5					16.193	0.091	15.911	0.181	15.225		2004AJ....127.3553K								
10527	WISE J07421169-1211516	J07421169-1211516	115.54871	-12.197667			WD?	2014ApJ...783..122K	WD?				WD	12.629	0.025	12.073	0.022	11.913	0.024	2014ApJ...783..122K								
10528	2MASSI J0746425+200032	J07464256+2000321	116.67733	20.008917	L0.5	2000AJ....120..447K	L1	2004AJ....127.3553K	L0.5					11.759	0.02	11.007	0.022	10.468	0.022	2000AJ....119..369R	binary: a=0.22 at 15 degrees (4/15/2000) (Reid et al. 2001)			binary				
10529	SDSS J074756.31+394732.9	J07475631+3947329	116.98463	39.792473	L0	2002AJ....123.3409H			L0					15.076	0.041	14.163	0.039	13.724	0.045	2002AJ....123.3409H				young				
10530	SDSS J074838.61+174332.9	J07483861+1743329	117.16088	17.725805	L7	2009A&A...497..619Z			L7					16.27	0.11	15.18	0.09	14.42	0.09	2009A&A...497..619Z								
10531	SDSS J07500493+3306179	J07500495+3306180	117.52063	33.105	L0	2010AJ....139.1808S			L0					16.141	0.074	15.365	0.082	15.195	0.125	2010AJ....139.1808S								
10532	SDSS J075054.74+445418.7	J07505465+4454162	117.72771	44.904503			M8 pec	2013PASP..125..809T	M8 pec					15.13	0.06	14.46	0.06	14.25	0.07	2008AJ....135..785W								
10533	DENIS-P J0751164-253043	J07511645-2530432	117.81854	-25.511999	L2.5	2008MNRAS.383..831P			L2.5					13.161	0.024	12.495	0.023	11.991	0.024	2008MNRAS.383..831P								
10534	LSPM J0752+1809	J07522108+1809283	118.08784	18.15786			sdM7	BUR-NP	sdM7			sd		15.432	0.048	14.955	0.063	14.736	0.084					subdwarf				
10535	NLTT 18549	J07522390+1612157	118.09959	16.204361	M7	2009ApJ...699..649S			M7					10.879	0.022	10.197	0.022	9.846	0.019	2002AJ....123.2806R				young				
10536	SDSS J075259.43+413634.6	J07525942+4136344	118.24759	41.609554	L0	2002AJ....123.3409H			L0					16.356	0.131	15.601	0.16	15.191		2002AJ....123.3409H								
10537	2MASSI J0753321+291711	J07533216+29171190	118.384	29.286638	L2	2000AJ....120..447K			L2					15.516	0.048	14.527	0.04	13.849	0.043	2000AJ....120..447K								
10538	2MASSI J0755480+221218	J07554795+2212169	118.94979	22.204695	T6	2003ApJ...594..510B	T5	2006ApJ...637.1067B	T5					15.728	0.064	15.669	0.145	15.753	0.207	2002ApJ...564..421B								
10539	2MASSI J0756252+124456	J07562528+12445600	119.10534	12.748889	L6	2000AJ....120..447K			L6					16.659	0.139	15.758	0.15	14.73	0.115	2000AJ....120..447K				sbinary				
10540	2MASS J07575274+0914103	J07575274+0914103	119.46974	9.2361946	L4::	2009A&A...497..619Z			L4::					15.86	0.082	14.832	0.066	14.087	0.059	2009A&A...497..619Z								
10541	HIP 38939B	J07580161-2539014	119.50671	-25.650389			T4.5	2012ApJ...755...94D	T4.5					16.12	0.08	15.8	0.12	15.86		2012ApJ...755...94D				companion				
10542	SDSS J075840.33+324723.4	J07584037+3247245	119.66821	32.790138			T2	2006ApJ...637.1067B	T2					14.947	0.044	14.111	0.042	13.879	0.057	2004AJ....127.3553K								
10543	0759+0319 Background Source	J0759+0319	119.75	3.3166666										16.034	0.075	15.539	0.101	15.415	0.173									
10544	SDSS J080048.13+465825.5	J08004815+46582560	120.20063	46.973778	L2	2002AJ....123.3409H			L2					15.513	0.07	14.549	0.058	14.315	0.078	2002AJ....123.3409H								
10545	2MASSW J0801405+462850	J08014056+4628498	120.419	46.480499	L6.5	2000AJ....120..447K			L6.5					16.275	0.134	15.452	0.142	14.536	0.1	2000AJ....120..447K								
10546	2MASS J08041429+0330474	J08041429+0330474	121.05954	3.5131667	M8.5	2008AJ....136.1290R			M8.5					13.689		12.968		12.44		2008AJ....136.1290R								
10547	SDSS J080531.84+481233.0	J08053189+4812330	121.38287	48.209167	L4	2002AJ....123.3409H	L9+/-1.5	2004AJ....127.3553K	L4					14.734	0.036	13.917	0.041	13.444	0.041	2002AJ....123.3409H				binary sbinary				
10548	WISE J080700.23+413026.8	J08070023+4130268	121.75096	41.507446			L8 pec	2013PASP..125..809T	L8 pec					15.84	0.09	14.78	0.07	14.35	0.08	2013PASP..125..809T				red				
10549	0808+0226	J0808+0226	122	2.4333334										16.486	0.15	15.762	0.153	15.496	0.239									
10550	SDSS J080959.01+443422.2	J08095903+4434216	122.49596	44.572666			L6	2006AJ....131.2722C	L6					16.437	0.114	15.184	0.098	14.417	0.059	2004AJ....127.3553K								
10551	SDSS J081058.60+142038.1	J08105860+1420381	122.74416	14.343916	M8	SCH-NP			M8					12.73				11.59		SCH-NP								
10552	SDSS J081110.30+185527.9	J08111040+1855280	122.79333	18.924444	L1	SCH-NP			L1					14.478	0.027	13.662	0.031	13.187	0.03	SCH-NP								
10553	DENIS-P J0812316-244442	J08123170-24444239	123.13208	-24.745083	L2.5+/-1	2008MNRAS.383..831P			L2.5+/-1					13.817	0.029	12.929	0.027	12.391	0.024	2008MNRAS.383..831P								
10554	0815+1041 Background Source	J0815+1041	123.75	10.683333																								
10555	SDSS J08175749+1824050	J08175749+1824050	124.48955	18.401388	L1	2010AJ....139.1808S			L1					15.09	0.04	14.29	0.04	13.82	0.03	2010AJ....139.1808S								
10556	SDSS J08181228+3310482	J08181228+3310482	124.55117	33.180058	L0	2010AJ....139.1808S			L0					15.99	0.09	15.37	0.11	15.06	0.14	2010AJ....139.1808S								
10557	2MASS J0818332-003628	J08183325-0036282	124.63855	-0.60783339	M4.5	2007AJ....133..439C			M4.5					16.604	0.157	15.36	0.098	14.472		2007AJ....133..439C								
10558	2MASS J08192194-1243593	J08192194-1243593	124.84141	-12.733138										15.549	0.05	15.193	0.096	15.145	0.18									
10559	IY Pup	J08192320-2815087	124.84666	-28.252417	M9 I	BID98A			M9 I		I			6.314	0.021	5.393	0.027	4.947	0.018	HOF36A				giant				
10560	SDSS J081946.02+165853.9	J08194602+1658539	124.94174	16.98164	M9	BUD			M9					13.789	0.024	13.104	0.029	12.624	0.021	BUD								
10561	WISE J081958.05-033528.5	J08195805-0335285	124.99187	-3.5912499			T4	2011ApJS..197...19K	T4					14.991	0.044	14.638	0.057	14.586	0.105	2011ApJS..197...19K								
10562	2MASSW J0820299+450031	J08202996+4500315	125.12482	45.008751	L5	2000AJ....120..447K			L5					16.279	0.108	15	0.087	14.218	0.066	2000AJ....120..447K								
10563	SDSS J082030.12+103737.0	J08203013+1037372	125.12553	10.627			L9.5+/-2	2006AJ....131.2722C	L9.5+/-2					16.98	0.185	16.079	0.191	15.538	0.19	2006AJ....131.2722C								
10564	WISE J08211048+6007342	J08211048+6007342	125.29368	60.126163			M7	FAH-NP	M7					15.319	0.054	14.605	0.046	14.18	0.048									
10565	WISE J082131.64+144319.2	J08213164+1443192	125.38184	14.721999			T5.5	2011ApJS..197...19K	T5.5					16.825	0.155	16.515	0.24	17.089		2011ApJS..197...19K								
10566	LSR 0822+1700	J08223369+1700199	125.64038	17.005527	usdM7.5	2003AJ....125.1598L			usdM7.5			usd		15.868	0.076	15.775	0.12	15.45	0.194					subdwarf				
