# Vega spectrum from Kurucz intensity models, resolution 500
# corrected to 10 pc distance assuming R = 2.5 Rsun
# flux units of erg/s/cm2/micron
Wavelength	Flux
0.744360	1.43661e-05
0.745107	1.43257e-05
0.745854	1.42772e-05
0.746601	1.42206e-05
0.747350	1.41641e-05
0.748099	1.41237e-05
0.748849	1.40913e-05
0.749600	1.40590e-05
0.750351	1.40186e-05
0.751103	1.39701e-05
0.751856	1.39217e-05
0.752610	1.38813e-05
0.753365	1.38489e-05
0.754120	1.38085e-05
0.754876	1.37601e-05
0.755633	1.37197e-05
0.756390	1.36793e-05
0.757149	1.36308e-05
0.757908	1.35904e-05
0.758667	1.35419e-05
0.759428	1.35015e-05
0.760189	1.34611e-05
0.760951	1.34207e-05
0.761714	1.33722e-05
0.762478	1.33318e-05
0.763242	1.32914e-05
0.764007	1.32510e-05
0.764773	1.32026e-05
0.765540	1.31622e-05
0.766307	1.31137e-05
0.767076	1.30733e-05
0.767845	1.30410e-05
0.768614	1.30006e-05
0.769385	1.29521e-05
0.770156	1.29117e-05
0.770928	1.28632e-05
0.771701	1.28228e-05
0.772475	1.27905e-05
0.773249	1.27582e-05
0.774024	1.27178e-05
0.774800	1.26693e-05
0.775577	1.26289e-05
0.776355	1.25481e-05
0.777133	1.23542e-05
0.777912	1.22895e-05
0.778692	1.24107e-05
0.779472	1.24269e-05
0.780254	1.23946e-05
0.781036	1.23542e-05
0.781819	1.23218e-05
0.782603	1.22734e-05
0.783387	1.22330e-05
0.784173	1.21926e-05
0.784959	1.21522e-05
0.785746	1.21118e-05
0.786534	1.20714e-05
0.787322	1.20229e-05
0.788111	1.19663e-05
0.788901	1.19340e-05
0.789692	1.18694e-05
0.790484	1.18532e-05
0.791276	1.18451e-05
0.792070	1.18128e-05
0.792864	1.17805e-05
0.793659	1.17320e-05
0.794454	1.16835e-05
0.795251	1.16351e-05
0.796048	1.16189e-05
0.796846	1.15947e-05
0.797645	1.15381e-05
0.798444	1.14735e-05
0.799245	1.14169e-05
0.800046	1.14088e-05
0.800848	1.14007e-05
0.801651	1.13684e-05
0.802455	1.13361e-05
0.803259	1.13038e-05
0.804064	1.12634e-05
0.804870	1.12311e-05
0.805677	1.11907e-05
0.806485	1.11583e-05
0.807294	1.11260e-05
0.808103	1.10856e-05
0.808913	1.10533e-05
0.809724	1.10210e-05
0.810536	1.09806e-05
0.811348	1.09483e-05
0.812162	1.09159e-05
0.812976	1.08755e-05
0.813791	1.08432e-05
0.814607	1.08109e-05
0.815423	1.07786e-05
0.816241	1.07382e-05
0.817059	1.07059e-05
0.817878	1.06655e-05
