mass,age,luminosity,temperature,gravity,radius,metallicity
0.00352,0.02971666,-5.435,700,3.7497,0.1303,0
0.0036,0.02432204,-5.305,750,3.7497,0.1317,0
0.00368,0.020183664,-5.184,800,3.7497,0.1332,0
0.00376,0.017021585,-5.069,850,3.7497,0.1347,0
0.00385,0.014554591,-4.959,900,3.7497,0.1362,0
0.00393,0.0125603,-4.856,950,3.7497,0.1378,0
0.00403,0.010964782,-4.756,1000,3.7497,0.1394,0
0.00423,0.008433348,-4.57,1100,3.7497,0.1428,0
0.00444,0.006714289,-4.397,1200,3.7497,0.1464,0
0.00468,0.005508077,-4.236,1300,3.7497,0.1502,0
0.00493,0.00462381,-4.084,1400,3.7497,0.1543,0
0.00521,0.003935501,-3.94,1500,3.7497,0.1586,0
0.00554,0.003411929,-3.802,1600,3.7497,0.1634,0
0.0059,0.003006076,-3.668,1700,3.7497,0.1688,0
0.00635,0.002679168,-3.538,1800,3.7497,0.175,0
0.00688,0.002409905,-3.409,1900,3.7497,0.1822,0
0.00753,0.002187762,-3.281,2000,3.7497,0.1905,0
0.00425,5.470159629,-7.779,200,4,0.1073,0
0.00435,3.758374043,-7.565,225,4,0.1086,0
0.00445,2.666858665,-7.372,250,4,0.1098,0
0.00455,1.927524913,-7.197,275,4,0.111,0
0.00465,1.409288798,-7.036,300,4,0.1122,0
0.00475,1.039920166,-6.888,325,4,0.1134,0
0.00484,0.772680585,-6.75,350,4,0.1146,0
0.00493,0.588843655,-6.623,375,4,0.1156,0
0.00501,0.46344692,-6.504,400,4,0.1165,0
0.00509,0.370680722,-6.392,425,4,0.1174,0
0.00516,0.299916252,-6.287,450,4,0.1182,0
0.00523,0.24603676,-6.187,475,4,0.119,0
0.00529,0.206538016,-6.093,500,4,0.1197,0
0.00535,0.176197605,-6.003,525,4,0.1204,0
0.00541,0.151356125,-5.917,550,4,0.1211,0
0.00546,0.132129563,-5.836,575,4,0.1217,0
0.00552,0.115611224,-5.757,600,4,0.1223,0
0.00563,0.092044957,-5.61,650,4,0.1235,0
0.00574,0.074644876,-5.473,700,4,0.1247,0
0.00585,0.06180164,-5.345,750,4,0.1259,0
0.00596,0.0519996,-5.224,800,4,0.1271,0
0.00608,0.044055486,-5.11,850,4,0.1284,0
0.00621,0.0374973,-5.002,900,4,0.1297,0
0.00634,0.032284941,-4.899,950,4,0.131,0
0.00647,0.028054336,-4.801,1000,4,0.1324,0
0.00675,0.021827299,-4.617,1100,4,0.1353,0
0.00706,0.017538805,-4.447,1200,4,0.1383,0
0.00738,0.01428894,-4.288,1300,4,0.1415,0
0.00774,0.01191242,-4.138,1400,4,0.1449,0
0.00814,0.010139114,-3.997,1500,4,0.1485,0
0.00856,0.008810489,-3.863,1600,4,0.1523,0
0.00903,0.007798301,-3.734,1700,4,0.1565,0
0.00959,0.006950243,-3.609,1800,4,0.1613,0
0.01027,0.006251727,-3.485,1900,4,0.1668,0
0.0111,0.005662393,-3.362,2000,4,0.1735,0
0.00702,13.21295634,-7.812,200,4.2504,0.1034,0
0.00715,9.120108394,-7.599,225,4.2504,0.1043,0
0.00727,6.591738952,-7.409,250,4.2504,0.1052,0
0.0074,4.83058802,-7.236,275,4.2504,0.1061,0
0.00753,3.589219346,-7.077,300,4.2504,0.1071,0
0.00767,2.636331386,-6.93,325,4.2504,0.1081,0
0.00781,1.9498446,-6.793,350,4.2504,0.109,0
0.00794,1.455459081,-6.666,375,4.2504,0.1099,0
0.00805,1.142878335,-6.548,400,4.2504,0.1107,0
0.00814,0.928966387,-6.438,425,4.2504,0.1113,0
0.00823,0.774461798,-6.334,450,4.2504,0.1119,0
0.00832,0.642687717,-6.235,475,4.2504,0.1125,0
0.00841,0.540754323,-6.142,500,4.2504,0.1132,0
0.0085,0.458141887,-6.052,525,4.2504,0.1138,0
0.00858,0.394457302,-5.967,550,4.2504,0.1143,0
0.00866,0.342767787,-5.886,575,4.2504,0.1149,0
0.00875,0.30060763,-5.808,600,4.2504,0.1154,0
0.0089,0.23659197,-5.661,650,4.2504,0.1164,0
0.00906,0.191866874,-5.525,700,4.2504,0.1174,0
0.00921,0.159955803,-5.398,750,4.2504,0.1184,0
0.00937,0.134896288,-5.278,800,4.2504,0.1195,0
0.00953,0.115345326,-5.165,850,4.2504,0.1205,0
0.0097,0.1,-5.059,900,4.2504,0.1215,0
0.00987,0.087498378,-4.957,950,4.2504,0.1226,0
0.01005,0.076913044,-4.86,1000,4.2504,0.1237,0
0.01045,0.063973484,-4.678,1100,4.2504,0.1261,0
0.01086,0.054325033,-4.509,1200,4.2504,0.1286,0
0.01131,0.050234259,-4.353,1300,4.2504,0.1313,0
0.01181,0.055847019,-4.205,1400,4.2504,0.1341,0
0.01236,0.067452803,-4.066,1500,4.2504,0.1372,0
0.01294,0.071944898,-3.934,1600,4.2504,0.1403,0
0.01354,0.063095734,-3.809,1700,4.2504,0.1436,0
0.01422,0.052119471,-3.688,1800,4.2504,0.1472,0
0.01503,0.042559841,-3.57,1900,4.2504,0.1513,0
0.01598,0.034994517,-3.454,2000,4.2504,0.156,0
0.0112,31.26079367,-7.858,200,4.4997,0.098,0
0.01138,22.85598803,-7.647,225,4.4997,0.0988,0
0.01155,16.74942876,-7.457,250,4.4997,0.0995,0
0.01173,12.27439231,-7.285,275,4.4997,0.1003,0
0.0119,9.078205302,-7.127,300,4.4997,0.101,0
0.01208,6.807693587,-6.982,325,4.4997,0.1018,0
0.01225,5.116818355,-6.847,350,4.4997,0.1025,0
0.0124,3.990249024,-6.722,375,4.4997,0.1031,0
0.01252,3.235936569,-6.605,400,4.4997,0.1036,0
0.01264,2.703958364,-6.496,425,4.4997,0.1041,0
0.01275,2.264644308,-6.393,450,4.4997,0.1046,0
0.01287,1.892343619,-6.295,475,4.4997,0.1051,0
0.01299,1.592208727,-6.202,500,4.4997,0.1056,0
0.01311,1.342764961,-6.113,525,4.4997,0.106,0
0.01323,1.158777356,-6.029,550,4.4997,0.1065,0
0.01334,1.00461579,-5.948,575,4.4997,0.107,0
0.01345,0.874983775,-5.87,600,4.4997,0.1074,0
0.01368,0.677641508,-5.724,650,4.4997,0.1083,0
0.0139,0.544502653,-5.588,700,4.4997,0.1092,0
0.01411,0.450816705,-5.462,750,4.4997,0.11,0
0.01432,0.379314985,-5.343,800,4.4997,0.1108,0
0.01453,0.324339617,-5.232,850,4.4997,0.1116,0
0.01475,0.281190083,-5.126,900,4.4997,0.1125,0
0.01497,0.246603934,-5.025,950,4.4997,0.1133,0
0.01521,0.21677041,-4.929,1000,4.4997,0.1142,0
0.01573,0.171395731,-4.749,1100,4.4997,0.1162,0
0.01628,0.138356638,-4.583,1200,4.4997,0.1182,0
0.01689,0.114551294,-4.428,1300,4.4997,0.1204,0
0.01754,0.095499259,-4.283,1400,4.4997,0.1227,0
0.01824,0.081283052,-4.146,1500,4.4997,0.1251,0
0.01901,0.07014553,-4.016,1600,4.4997,0.1277,0
0.01982,0.061517687,-3.893,1700,4.4997,0.1304,0
0.02072,0.054701596,-3.774,1800,4.4997,0.1333,0
0.02177,0.049203954,-3.659,1900,4.4997,0.1367,0
0.02293,0.044258837,-3.547,2000,4.4997,0.1403,0
0.01741,76.55966069,-7.917,200,4.7497,0.0916,0
0.01764,55.71857489,-7.706,225,4.7497,0.0922,0
0.01789,39.26449354,-7.517,250,4.7497,0.0929,0
0.01813,28.1190083,-7.346,275,4.7497,0.0935,0
0.01835,20.79696687,-7.189,300,4.7497,0.0941,0
0.01856,15.48816619,-7.045,325,4.7497,0.0946,0
0.01877,11.50800389,-6.912,350,4.7497,0.0952,0
0.01897,8.749837752,-6.787,375,4.7497,0.0956,0
0.01912,7.128530301,-6.672,400,4.7497,0.096,0
0.01927,5.902010802,-6.563,425,4.7497,0.0964,0
0.01941,4.988844875,-6.461,450,4.7497,0.0968,0
0.01957,4.207266284,-6.363,475,4.7497,0.0971,0
0.01971,3.597493352,-6.271,500,4.7497,0.0975,0
0.01986,3.104559588,-6.183,525,4.7497,0.0979,0
0.02001,2.685344446,-6.099,550,4.7497,0.0982,0
0.02016,2.333458062,-6.018,575,4.7497,0.0986,0
0.02032,2.032357011,-5.941,600,4.7497,0.099,0
0.02062,1.588546749,-5.796,650,4.7497,0.0997,0
0.02091,1.276438809,-5.661,700,4.7497,0.1004,0
0.02119,1.049542429,-5.535,750,4.7497,0.1011,0
0.02147,0.879022517,-5.417,800,4.7497,0.1018,0
0.02175,0.748169501,-5.306,850,4.7497,0.1024,0
0.02204,0.647142616,-5.201,900,4.7497,0.1031,0
0.02234,0.563637656,-5.102,950,4.7497,0.1038,0
0.02264,0.497737085,-5.006,1000,4.7497,0.1045,0
0.02329,0.392644935,-4.829,1100,4.7497,0.106,0
0.024,0.315500462,-4.664,1200,4.7497,0.1076,0
0.02478,0.258821292,-4.512,1300,4.7497,0.1093,0
0.02562,0.216271852,-4.368,1400,4.7497,0.1112,0
0.02656,0.183231442,-4.233,1500,4.7497,0.1132,0
0.02755,0.157398286,-4.105,1600,4.7497,0.1153,0
0.02862,0.137404198,-3.983,1700,4.7497,0.1175,0
0.02978,0.121338885,-3.866,1800,4.7497,0.1199,0
0.03106,0.108143395,-3.754,1900,4.7497,0.1224,0
0.03248,0.097498964,-3.646,2000,4.7497,0.1252,0
0.02689,106.9054879,-7.978,200,5,0.0854,0
0.02713,83.17637711,-7.77,225,5,0.0857,0
0.02736,65.16283941,-7.583,250,5,0.0861,0
0.02759,51.52286446,-7.414,275,5,0.0865,0
0.02782,41.0204103,-7.259,300,5,0.0868,0
0.02804,32.96097122,-7.116,325,5,0.0872,0
0.02826,26.66858665,-6.984,350,5,0.0875,0
0.02847,21.52781735,-6.861,375,5,0.0878,0
0.02867,17.61976046,-6.746,400,5,0.0881,0
0.02886,14.5881426,-6.638,425,5,0.0884,0
