DESIGNATION
J09285333-0722148
J09301445+2630250
J09594595+4712114
J10005030+3155459
J10092996+5117197
J10112218+4927153
J10121768-0344441
J10130025+2320504
J10155390+1729271
J10162955+0318375
J10285555+0050275
J10360120+0507128
J10383323+3529492
J10385685+2505402
J10394061-0655255
J10413809+3736397
J10494561+3532515
J10502599+3306051
J10505201+0648292
J10520440+1359509
J10521423+0555098
J10544197-0718326
J10552660-0249428
J10562886+0700527
J11030845+1517518
J11032023+3558117
J11052903+4331357
J11054316+1014093
J11091225-0436249
J11151240+1927124
J11152658+4105163
J11160506+0800123
J11233876+0938433
J11263757+3756237
J11273856+0358359
J11352695-3232232
J11353198+3855372
J11414471+4245072
J11421096+2642251
J11474074+0015201
J11474440+0048164
J11505787+4822395
J11530522+1855480
J12045611+1728119
J12051603+0059460
J12122112+5429231
J12141654+0037263
J12185939+1107338
J12232063+2529441
J12305549+3152121
J12331738+0901157
J12384731-0419168
J12424996+4153469
J13003350+0541081
J13101268+4745190
J13165156+1701000
J13180180+0214011
J13220965+4144432
J13295979+1022376
J13300285-0842251
J13314666+2916368
J13400879+4346380
J13412122-0907171
J13451104+2852012
J13584361-0004474
J14153253+0439312
J14170294+3142472
J14192958+0254365
J14193585-0509080
J14251160+5149535
J14321078+1600494
J14341683-1231106
J14351820+0959247
J14562809+1648342
J15100481+1921286
J15123818+4543464
J15192689-0743200
J15235112+1727569
J15235144+5828064
J15343054+1416181
J15493833+3448555
J15512179+2931062
J15574826+0901099
J16043696+2620430
J16045093+3909359
J16061363+2901553
J16072820+0557594
J16124178-1852317
J16143285+1906101
J16144378+0452085
J16191111+0140411
J16265441+1457502
J16325284+0950259
J16342040+5709439
J16342040+5709439
J16352740+3500577
J16480454+4522429
J16533915+5603272
J16541912+2537363
J16580884+2544392
J16582531+1358106
J17032384+5124219
J17093153+4340531
J17274007+1429027
J17335314+1655129
J17340562+4447082
J17362594+6820220
J17393223+2746366
J17410839+1504327
J17462934-0842362
J17530062+1655029
J17541710+0722446
J17574849+0441405
J18004543+2933566
J18024624+3731048
J18050755-0301523
J18113637+0606270
J18142511+0729266
J18161819+0131277
J18185725+6611332
J18222719+6203025
J18262459+1120575
J18343664+4007266
J18352722+4545403
J18361922+1336261
J18410977+2447143
J18410977+2447143
J18413741+3942123
J18424498+1354168
J18424666+5937499
J18424688+5937374
J18451027+0620158
J18481752+0741210
J18522033+6255372
J18550451+4259510
J19051739+4507161
J19084251+2733453
J19095098+1740074
J19143932+1918219
J19203346-0739435
J19213867+2052028
J19220206+0702310
J19264937+1643019
J19311257+3607300
J19320809-1119573
J19412775+3239512
J19435432-0546363
J19451248+4043183
J19484080+3555178
J19500252+3235012
J19510058+1024488
J19510930+4628598
J19562490+5909216
J19581651+6502184
J20010615+0016155
J20032651+2952000
J20054425+5258181
J20063105+1559171
J20074265+1859002
J20103444+0632140
J20111329+1611074
J20260528+5834224
J20294834+0941202
J20334030+6145135
J20334276+2322138
J20393775+0458192
J20403364+1529572
J20404449+1954023
J20510151+3955426
J20525817+4310240
J20531977+6209156
J20582314+4235035
J21000529+4004136
J21005978+5103147
J21012062+3314280
J21013304+4046208
J21044799-0418264
J21052221+2051341
J21054244+5015577
J21072444+1950522
J21135246+1805595
J21144685+3801137
J21172273+2053547
J21274751+5505337
J21293671+1738353
J21311859-0947263
J21374019+0137137
J21395433+2736439
J21410461+1935353
J21462206+3813047
J21464021+6648105
J21464040-0010233
J21473964+4507331
J22011310+2818248
J22032128+6729596
J22050682+0508120
J22085034+1144131
J22094029-0438267
J22094300+4102053
J22152616+6613277
J22202731+1215005
J22232904+3227334
J22251705+5924495
J22464232+1210214
J22475956+6749258
J22531672-1415489
J22563497+1633130
J22563497+1633130
J23003613+0338169
J23055131-3551130
J23220071+5659199
J23225835+3717143
J23351050-0223214
J23352946+3100584
J23414515-0558146
J23415498+4410407
J23430628+3632132
J23435310+3235388
J23461405+2826036
J23491501+1005385
J23495384+2721406
J23503159-0933320
J23565510+2305033
