# SpeX prism spectrum of mho4 from Muench et al. 2007
# Lambda	Flux
2.3608400	0.35777411
2.3636699	0.35896581
2.3665000	0.36010420
2.3693301	0.35947499
2.3721500	0.35783321
2.3749600	0.35436669
2.3777699	0.34793279
2.3805801	0.33763671
2.3833900	0.32978809
2.3861900	0.32977650
2.3889801	0.33002281
2.3917801	0.32991570
2.3945600	0.32838389
2.3973500	0.32571110
2.4001301	0.32215601
2.4029100	0.31632870
2.4056900	0.30916899
2.4084600	0.30403331
2.4112301	0.29890019
2.4139900	0.29449949
2.4167600	0.29215309
2.4195199	0.29133290
2.4222801	0.28992051
2.4250400	0.28723311
2.4277900	0.28592980
2.4305400	0.28150749
2.4332900	0.27620721
2.4360400	0.27484161
2.4387900	0.27236530
2.4415400	0.27059209
2.4442801	0.26575300
2.4470301	0.25933981
2.4497699	0.25636199
2.4525199	0.25616449
2.4552600	0.25448439
2.4580000	0.25127161
2.4607500	0.24762841
2.4634900	0.24849890
2.4662400	0.24520420
2.4689801	0.23710249
2.4717301	0.23711190
2.4744801	0.23685090
2.4772301	0.23222710
2.4799801	0.23238710
2.4827400	0.23127849
2.4855000	0.22901019
2.4882600	0.23063400
2.4910199	0.22734490
2.4937900	0.22481041
2.4965600	0.22715630
2.4993400	0.22428741
2.5021199	0.21994340
2.5049000	0.21470940
2.5076900	0.21587110
2.5104900	0.21072830
2.5132900	0.20309681
2.5161000	0.20837410
2.5189199	0.21354130
2.5217400	0.21349271
2.5245801	0.20758410
2.5274199	0.20829150
2.5302699	0.20457190
2.5331199	0.20015480
2.5359900	0.19298799
2.5388699	0.20124470
2.5417600	0.19328880
2.5446600	0.18332730
2.5475699	0.18267760
2.5504900	0.18482080
2.5534301	0.17781530
2.5563801	0.19604240
