#
# Generated by G. Mace, Wed Jul 25 15:03:13 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.7534491    1.1093E+00    2.6519E-02
   1.7572162    1.1504E+00    3.4020E-02
   1.7609770    1.1418E+00    4.6904E-02
   1.7647314    1.0451E+00    5.1450E-02
   1.7684797    1.0341E+00    4.9444E-02
   1.7722217    1.0457E+00    3.6336E-02
   1.7759573    9.9534E-01    2.8346E-02
   1.7796869    9.4905E-01    3.3203E-02
   1.7834103    9.6409E-01    4.1733E-02
   1.7871275    9.8759E-01    4.3044E-02
   1.7908386    9.2784E-01    4.6347E-02
   1.7945435    1.0070E+00    5.2078E-02
   1.7982424    1.0158E+00    5.4539E-02
   1.8019352    9.0849E-01    6.0807E-02
   1.8056220    9.9058E-01    5.8282E-02
   1.8093028    1.0399E+00    6.0426E-02
   1.8129777    9.3300E-01    6.3254E-02
   1.8166465    9.4239E-01    6.1074E-02
   1.8203094    9.4726E-01    5.9678E-02
   1.8239664    1.0315E+00    7.0911E-02
   1.8276175    1.1956E+00    8.4600E-02
   1.8312629    9.6436E-01    9.3920E-02
   1.8349024    8.4666E-01    9.0719E-02
   1.8385361    8.3789E-01    9.8611E-02
   1.8421640    8.3390E-01    1.0132E-01
   1.8457862    8.5097E-01    1.0923E-01
   1.8494028    9.1028E-01    1.1292E-01
   1.8530135    8.6716E-01    9.9503E-02
   1.8566188    8.4207E-01    8.2552E-02
   1.8602183    9.3289E-01    7.6486E-02
   1.8638122    9.6293E-01    9.2226E-02
   1.8674006    5.6311E-01    1.4297E-01
   1.8709835    3.6108E-01    1.4722E-01
   1.8745608    8.0562E-01    9.3201E-02
   1.8781327    7.6170E-01    6.6921E-02
   1.8816992    9.1984E-01    5.3292E-02
   1.8852601    8.8101E-01    5.2336E-02
   1.8888158    8.5823E-01    5.4201E-02
   1.8923659    1.0514E+00    5.9690E-02
   1.8959109    9.9801E-01    7.0983E-02
   1.8994504    1.0351E+00    8.3170E-02
   1.9029847    1.0772E+00    7.6541E-02
   1.9065137    9.2624E-01    7.0094E-02
   1.9100375    1.0161E+00    6.1263E-02
   1.9135561    1.0688E+00    5.6862E-02
   1.9170696    9.8736E-01    6.0682E-02
   1.9205778    1.0897E+00    6.6956E-02
   1.9240808    9.6061E-01    6.4139E-02
   1.9275788    8.9646E-01    5.9112E-02
   1.9310718    9.4053E-01    4.6467E-02
   1.9345596    8.4201E-01    3.9723E-02
   1.9380424    9.2233E-01    3.7229E-02
   1.9415202    8.5937E-01    3.1506E-02
   1.9449930    9.1970E-01    3.3989E-02
   1.9484609    8.3295E-01    4.0471E-02
   1.9519238    8.7342E-01    4.6904E-02
   1.9553819    8.2246E-01    4.6430E-02
   1.9588349    8.5330E-01    4.3763E-02
   1.9622831    8.2187E-01    4.1026E-02
   1.9657265    8.3726E-01    4.0630E-02
   1.9691650    7.9872E-01    3.8952E-02
   1.9725987    8.1416E-01    3.8915E-02
   1.9760276    8.6232E-01    3.4373E-02
   1.9794518    8.7087E-01    3.1165E-02
   1.9828711    8.7387E-01    2.5247E-02
   1.9862857    9.4323E-01    2.4133E-02
