#
# Generated by G. Mace, Thu Mar  1 20:10:26 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   1.2969464    8.5433E-01    1.1176E-02
   1.3012645    7.8332E-01    1.0734E-02
   1.3055822    7.4264E-01    1.0584E-02
   1.3098996    6.6324E-01    1.0851E-02
   1.3142163    6.0178E-01    1.0227E-02
   1.3185323    5.3919E-01    9.6049E-03
   1.3228476    4.6106E-01    8.9655E-03
   1.3271618    3.6292E-01    8.3661E-03
   1.3314748    2.3187E-01    7.6439E-03
   1.3357866    1.2830E-01    7.0430E-03
   1.3400968    6.1070E-02    6.8339E-03
   1.3444057    3.4079E-02    6.5012E-03
   1.3487127    3.3318E-02    7.1247E-03
   1.3530178    1.3118E-02    7.9227E-03
   1.3573210    2.1807E-02    9.3591E-03
   1.3616222    7.4654E-03    1.1720E-02
   1.3659211   -1.8110E-03    1.4266E-02
   1.3702176    1.3381E-02    1.3909E-02
   1.3745117    4.0159E-02    1.3134E-02
   1.3788031    4.1899E-02    1.2899E-02
   1.3830918   -2.8680E-03    1.3314E-02
   1.3873777    2.9313E-02    1.3215E-02
   1.3916606    2.1943E-02    1.2347E-02
   1.3959404    3.0417E-02    1.2022E-02
   1.4002171    1.6919E-02    1.3084E-02
   1.4044905    2.9886E-02    1.3600E-02
   1.4087604    1.6786E-02    1.3928E-02
   1.4130268    7.9839E-03    1.4145E-02
   1.4172896    8.1479E-03    1.3320E-02
   1.4215487    1.7422E-02    1.1920E-02
   1.4258039    3.6445E-02    1.0590E-02
   1.4300553    1.9177E-02    9.8546E-03
   1.4343026    1.2957E-02    1.0527E-02
   1.4385458    4.4769E-02    1.0318E-02
   1.4427848    2.4835E-02    9.9463E-03
   1.4470195    4.0331E-02    1.0356E-02
   1.4512498    4.2468E-02    1.1186E-02
   1.4554756    3.5023E-02    1.2377E-02
   1.4596969    4.7694E-02    1.2425E-02
   1.4639136    6.0620E-02    1.1839E-02
   1.4681255    3.9328E-02    1.1785E-02
   1.4723326    2.5053E-02    1.0670E-02
   1.4765348    5.3841E-02    1.1255E-02
   1.4807321    7.6719E-02    1.1072E-02
   1.4849243    7.0236E-02    1.1952E-02
   1.4891114    7.7284E-02    1.1526E-02
   1.4932934    7.4931E-02    1.0424E-02
   1.4974701    1.1239E-01    9.3695E-03
   1.5016416    1.0621E-01    1.2146E-02
   1.5058076    1.1074E-01    1.3547E-02
   1.5099683    1.4546E-01    1.3608E-02
   1.5141234    1.3985E-01    1.2488E-02
   1.5182731    1.5077E-01    1.0142E-02
   1.5224171    1.7775E-01    1.1473E-02
   1.5265554    1.9223E-01    1.2531E-02
   1.5306880    1.8698E-01    1.3664E-02
   1.5348150    2.4166E-01    1.2740E-02
   1.5389360    2.5278E-01    1.2763E-02
   1.5430511    2.7207E-01    1.1601E-02
   1.5471604    2.8655E-01    1.0985E-02
   1.5512637    3.3114E-01    1.0861E-02
   1.5553610    3.2712E-01    1.0553E-02
   1.5594524    3.7785E-01    1.1404E-02
   1.5635376    3.8689E-01    1.1790E-02
   1.5676167    4.2137E-01    1.1127E-02
   1.5716896    4.5841E-01    1.0278E-02
   1.5757564    4.7300E-01    9.4366E-03
   1.5798169    4.9651E-01    1.2479E-02
   1.5838712    4.8316E-01    1.3817E-02
   1.5879194    4.9216E-01    1.3828E-02
   1.5919610    4.9723E-01    1.2518E-02
   1.5959965    4.4688E-01    9.7175E-03
   1.6000255    4.1239E-01    1.1165E-02
   1.6040481    3.5027E-01    1.2214E-02
   1.6080644    2.5997E-01    1.3077E-02
   1.6120743    2.2092E-01    1.3221E-02
   1.6160777    1.9413E-01    1.2393E-02
   1.6200746    1.1305E-01    1.2596E-02
   1.6240650    1.3448E-01    1.1007E-02
   1.6280490    9.3612E-02    1.0718E-02
   1.6320266    9.7608E-02    1.0295E-02
   1.6359974    8.4771E-02    9.3580E-03
   1.6399618    8.9821E-02    1.0006E-02
   1.6439198    9.6642E-02    1.0649E-02
   1.6478711    1.0698E-01    1.1065E-02
   1.6518159    1.2106E-01    1.0800E-02
   1.6557542    1.2192E-01    9.5100E-03
   1.6596859    1.3312E-01    7.8101E-03
   1.6636109    1.0023E-01    8.6795E-03
   1.6675295    1.1228E-01    1.2242E-02
   1.6714416    8.3973E-02    1.2827E-02
   1.6753470    4.4649E-02    1.2361E-02
   1.6792458    7.2391E-02    9.5283E-03
   1.6831381    8.5234E-02    7.7072E-03
   1.6870238    1.0378E-01    1.0036E-02
   1.6909029    1.0288E-01    1.1069E-02
   1.6947756    8.4397E-02    1.1668E-02
   1.6986417    1.0073E-01    1.2423E-02
   1.7025013    7.0134E-02    1.1348E-02
   1.7063543    7.8397E-02    1.1287E-02
   1.7102008    8.3855E-02    1.0831E-02
   1.7140408    8.0471E-02    9.9738E-03
   1.7178743    9.3498E-02    9.8079E-03
   1.7217014    9.3542E-02    9.1582E-03
   1.7255219    1.1448E-01    8.8052E-03
   1.7293360    1.1461E-01    8.9109E-03
   1.7331437    7.3997E-02    8.8825E-03
   1.7369449    7.7472E-02    9.3644E-03
   1.7407397    6.6704E-02    1.0202E-02
   1.7445282    6.8270E-02    1.0220E-02
   1.7483102    6.6887E-02    9.3342E-03
   1.7520859    8.1676E-02    8.1788E-03
   1.7558553    7.6865E-02    6.8781E-03
   1.7596184    5.5056E-02    7.9280E-03
   1.7633752    6.9641E-02    1.1342E-02
   1.7671256    7.5947E-02    1.2302E-02
   1.7708699    3.7654E-02    1.2166E-02
   1.7746078    4.8471E-02    9.3519E-03
   1.7783396    4.6712E-02    7.4354E-03
   1.7820652    4.1245E-02    8.0399E-03
   1.7857846    4.0099E-02    1.0491E-02
   1.7894979    5.5906E-02    1.0594E-02
   1.7932050    3.0979E-02    1.0430E-02
   1.7969061    2.8506E-02    1.1106E-02
   1.8006011    1.9212E-02    1.1186E-02
   1.8042902    5.8518E-02    1.2005E-02
   1.8079730    1.2914E-02    1.1892E-02
   1.8116500    1.9269E-02    1.1357E-02
   1.8153211    2.6224E-02    1.1225E-02
   1.8189861    4.5305E-02    1.1270E-02
   1.8226453    6.3341E-02    1.1133E-02
   1.8262986    4.7129E-02    1.1798E-02
   1.8299459    3.8233E-02    1.1819E-02
   1.8335875    1.3821E-02    1.1605E-02
   1.8372234    2.2260E-02    1.1938E-02
   1.8408533    1.6778E-02    1.3934E-02
   1.8444777    5.1845E-02    1.5269E-02
   1.8480963    3.4575E-02    1.5896E-02
   1.8517091    5.3777E-02    1.6540E-02
   1.8553163    1.9106E-02    1.5054E-02
   1.8589178   -3.0495E-03    1.3713E-02
   1.8625139    3.8279E-02    1.1243E-02
   1.8661042    1.3078E-02    1.1068E-02
   1.8696891    3.5741E-02    1.5736E-02
   1.8732685    3.8713E-02    2.3135E-02
   1.8768424   -9.7949E-03    2.1177E-02
   1.8804107    5.8058E-02    1.6099E-02
   1.8839737    3.6016E-02    1.0767E-02
   1.8875312    5.2817E-02    9.4556E-03
   1.8910834    5.2327E-02    9.3981E-03
   1.8946302    6.4542E-02    9.7774E-03
   1.8981717    6.4769E-02    9.9877E-03
   1.9017079    6.8103E-02    1.1893E-02
   1.9052387    5.3460E-02    1.3491E-02
   1.9087645    5.6973E-02    1.2519E-02
   1.9122850    4.0576E-02    1.1072E-02
   1.9158002    5.2893E-02    1.1273E-02
   1.9193103    3.4858E-02    1.1872E-02
   1.9228152    9.6375E-02    1.3377E-02
   1.9263151    4.0681E-02    1.2765E-02
   1.9298098    1.2011E-02    1.1774E-02
   1.9332995    5.1701E-02    9.8590E-03
   1.9367841    4.1579E-02    9.2477E-03
   1.9402637    2.0639E-02    8.9197E-03
   1.9437383    2.9430E-02    8.3496E-03
   1.9472080    3.1633E-02    8.0178E-03
   1.9506727    4.6361E-02    9.0709E-03
   1.9541326    2.4415E-02    1.0593E-02
   1.9575874    6.5859E-02    1.1719E-02
   1.9610374    3.5509E-02    1.1597E-02
   1.9644824    5.9315E-02    1.0947E-02
   1.9679227    3.1717E-02    1.0929E-02
   1.9713582    3.9900E-02    1.0652E-02
   1.9747888    5.8133E-02    1.0307E-02
   1.9782146    4.7079E-02    9.1941E-03
   1.9816357    4.3088E-02    8.3750E-03
   1.9850520    4.6427E-02    6.9576E-03
