#LAM	FLX
2.01500	0.824100
2.01600	0.824700
2.01700	0.825800
2.01800	0.827300
2.01900	0.829100
2.02000	0.831400
2.02100	0.834000
2.02200	0.836500
2.02300	0.839400
2.02400	0.842100
2.02500	0.845200
2.02600	0.847600
2.02700	0.850300
2.02800	0.852800
2.02900	0.855100
2.03000	0.857100
2.03100	0.858800
2.03200	0.860300
2.03300	0.861700
2.03400	0.862400
2.03500	0.863300
2.03600	0.863700
2.03700	0.864300
2.03800	0.864700
2.03900	0.864800
2.04000	0.864600
2.04100	0.864800
2.04200	0.864400
2.04300	0.864600
2.04400	0.864000
2.04500	0.863900
2.04600	0.863700
2.04700	0.863500
2.04800	0.862500
2.04900	0.862300
2.05000	0.862000
2.05100	0.861400
2.05200	0.861100
2.05300	0.860500
2.05400	0.860200
2.05500	0.860000
2.05600	0.859900
2.05700	0.859500
2.05800	0.859600
2.05900	0.859200
2.06000	0.859500
2.06100	0.859800
2.06200	0.860000
2.06300	0.860300
2.06400	0.860500
2.06500	0.860900
2.06600	0.861600
2.06700	0.862700
2.06800	0.863400
2.06900	0.864000
2.07000	0.864800
2.07100	0.865400
2.07200	0.866200
2.07300	0.866900
2.07400	0.867600
2.07500	0.867700
2.07600	0.868200
2.07700	0.868300
2.07800	0.868600
2.07900	0.868500
2.08000	0.868300
2.08100	0.868000
2.08200	0.867700
2.08300	0.867300
2.08400	0.866100
2.08500	0.865600
2.08600	0.864600
2.08700	0.863700
2.08800	0.862900
2.08900	0.861800
2.09000	0.861000
2.09100	0.860200
2.09200	0.859500
2.09300	0.858600
2.09400	0.858100
2.09500	0.857700
2.09600	0.857100
2.09700	0.856900
2.09800	0.856300
2.09900	0.856300
2.10000	0.856300
2.10100	0.856400
2.10200	0.856800
2.10300	0.856600
2.10400	0.856900
2.10500	0.857300
2.10600	0.857600
2.10700	0.857900
2.10800	0.857900
2.10900	0.858100
2.11000	0.858200
2.11100	0.858200
2.11200	0.857900
2.11300	0.857700
2.11400	0.856700
2.11500	0.855900
2.11600	0.855300
2.11700	0.854000
2.11800	0.852900
2.11900	0.851500
2.12000	0.849900
2.12100	0.848100
2.12200	0.846500
2.12300	0.844800
2.12400	0.842600
2.12500	0.841000
2.12600	0.839500
2.12700	0.837900
2.12800	0.835800
2.12900	0.834300
2.13000	0.833100
2.13100	0.831800
2.13200	0.830900
2.13300	0.829700
2.13400	0.829200
2.13500	0.828700
2.13600	0.828600
2.13700	0.828700
2.13800	0.828700
2.13900	0.829200
2.14000	0.829900
2.14100	0.830500
2.14200	0.831500
2.14300	0.832400
2.14400	0.833500
2.14500	0.834900
2.14600	0.836400
2.14700	0.837900
2.14800	0.839100
2.14900	0.840200
2.15000	0.841600
2.15100	0.842800
2.15200	0.843800
2.15300	0.844600
2.15400	0.845400
2.15500	0.846000
2.15600	0.845900
2.15700	0.846400
2.15800	0.846400
2.15900	0.846000
2.16000	0.845200
2.16100	0.844600
2.16200	0.843400
2.16300	0.842500
2.16400	0.841200
2.16500	0.839700
2.16600	0.837700
2.16700	0.836000
2.16800	0.834200
2.16900	0.832000
2.17000	0.829700
2.17100	0.827400
2.17200	0.825300
2.17300	0.822700
2.17400	0.820500
2.17500	0.818200
2.17600	0.815700
2.17700	0.813700
2.17800	0.811100
2.17900	0.809100
2.18000	0.806700
2.18100	0.804700
2.18200	0.802500
2.18300	0.800600
2.18400	0.799000
2.18500	0.797100
2.18600	0.795100
2.18700	0.793600
2.18800	0.791800
2.18900	0.790600
2.19000	0.789000
2.19100	0.787900
2.19200	0.786500
2.19300	0.785600
2.19400	0.784200
2.19500	0.783100
2.19600	0.782400
2.19700	0.781300
2.19800	0.780800
2.19900	0.779900
2.20000	0.779100
2.20100	0.778500
2.20200	0.777800
2.20300	0.777600
2.20400	0.777100
2.20500	0.776800
2.20600	0.776200
2.20700	0.776200
2.20800	0.776000
2.20900	0.775900
2.21000	0.776200
2.21100	0.776100
2.21200	0.775900
2.21300	0.776100
2.21400	0.776400
2.21500	0.776600
2.21600	0.777200
2.21700	0.777400
2.21800	0.777800
2.21900	0.778300
2.22000	0.779100
2.22100	0.779500
2.22200	0.780200
2.22300	0.780600
2.22400	0.781500
2.22500	0.782000
2.22600	0.782600
2.22700	0.783200
2.22800	0.783600
2.22900	0.784300
2.23000	0.785000
2.23100	0.785600
2.23200	0.785700
2.23300	0.786400
2.23400	0.786800
2.23500	0.787300
2.23600	0.787600
2.23700	0.787800
2.23800	0.788000
2.23900	0.788600
2.24000	0.788800
2.24100	0.789100
2.24200	0.789300
2.24300	0.789400
2.24400	0.789600
2.24500	0.789600
2.24600	0.789500
2.24700	0.789700
2.24800	0.789700
2.24900	0.789800
2.25000	0.789400
2.25100	0.789400
2.25200	0.789500
2.25300	0.789600
2.25400	0.789700
2.25500	0.789700
2.25600	0.789800
2.25700	0.789400
2.25800	0.789400
2.25900	0.789700
2.26000	0.789600
2.26100	0.789500
2.26200	0.789500
2.26300	0.789400
2.26400	0.789200
2.26500	0.789000
2.26600	0.789100
2.26700	0.788800
2.26800	0.788300
2.26900	0.787700
2.27000	0.787200
2.27100	0.786300
2.27200	0.785300
2.27300	0.784500
2.27400	0.782900
2.27500	0.781500
2.27600	0.780200
2.27700	0.778100
2.27800	0.776100
2.27900	0.774100
2.28000	0.771300
2.28100	0.769100
2.28200	0.766300
2.28300	0.763500
2.28400	0.760900
2.28500	0.758000
