#
# Generated by G. Mace, Wed Mar 14 15:43:42 2012
#
#=========================================
# Wavelength  Flux Density         Error
#(vacuum um)  (norm f_lam)  (norm f_lam)
#=========================================
   2.1322560    3.8947E-02    1.8730E-02
   2.1354566    6.0286E-02    1.7089E-02
   2.1386526    3.8411E-02    1.6235E-02
   2.1418438    4.0035E-02    1.5035E-02
   2.1450303    2.2681E-02    1.6199E-02
   2.1482122    3.1403E-02    2.2386E-02
   2.1513894    6.7099E-02    2.6495E-02
   2.1545618    6.2315E-03    2.7663E-02
   2.1577296    2.3989E-02    2.4510E-02
   2.1608927    3.4492E-02    1.9735E-02
   2.1640511    2.0534E-02    1.7738E-02
   2.1672046    3.6774E-02    1.7575E-02
   2.1703534   -8.0562E-04    1.8097E-02
   2.1734977    2.5474E-02    1.8275E-02
   2.1766369    5.4378E-02    2.0943E-02
   2.1797717    3.3986E-02    2.2790E-02
   2.1829016    4.2052E-02    2.3394E-02
   2.1860266    2.7803E-02    2.3298E-02
   2.1891470   -9.4076E-03    2.0072E-02
   2.1922624    2.6447E-02    2.2636E-02
   2.1953731    2.3918E-02    2.4732E-02
   2.1984789    5.6837E-02    2.5145E-02
   2.2015800    8.9707E-03    2.4546E-02
   2.2046762    1.6872E-02    2.1619E-02
   2.2077675    2.7564E-02    2.1359E-02
   2.2108541   -2.2968E-02    2.4130E-02
   2.2139356   -1.7527E-03    2.4680E-02
   2.2170124    5.2623E-03    2.2733E-02
   2.2200842    2.4031E-02    2.0080E-02
   2.2231512    2.2776E-02    1.9087E-02
   2.2262132    1.4086E-02    2.0146E-02
   2.2292705   -1.2703E-02    2.2639E-02
   2.2323227    2.7323E-02    2.3082E-02
   2.2353702    1.8911E-02    2.2585E-02
   2.2384124    4.2343E-03    2.0720E-02
   2.2414498    8.4592E-03    1.9124E-02
   2.2444825    2.4065E-02    1.9628E-02
   2.2475100    4.2833E-03    2.0150E-02
   2.2505326   -7.6959E-03    2.1487E-02
   2.2535503    5.2371E-02    2.1575E-02
   2.2565629    6.0585E-03    2.1453E-02
   2.2595706    1.7511E-02    2.0612E-02
   2.2625735    1.1861E-02    2.0316E-02
   2.2655711    8.9237E-03    2.0659E-02
   2.2685640   -1.8924E-02    2.1388E-02
   2.2715518    2.9463E-02    2.1773E-02
   2.2745347    1.4244E-02    2.2101E-02
   2.2775126   -3.3416E-02    2.1714E-02
   2.2804854   -9.7501E-03    2.1601E-02
   2.2834535    4.2625E-04    2.0954E-02
   2.2864163   -1.5859E-03    2.1100E-02
   2.2893744   -2.8073E-02    2.1535E-02
   2.2923274   -3.4012E-02    2.2196E-02
   2.2952754    2.6418E-02    2.3639E-02
   2.2982187    1.5791E-02    2.3668E-02
   2.3011570    1.1830E-02    2.3706E-02
   2.3040903    2.0206E-02    2.2991E-02
   2.3070188   -9.0722E-03    2.2432E-02
   2.3099422    1.2978E-02    2.2096E-02
   2.3128610    3.2933E-02    2.3095E-02
   2.3157747    1.2397E-02    2.4263E-02
   2.3186836   -5.2193E-02    2.5330E-02
   2.3215878   -9.3359E-03    2.5660E-02
   2.3244872    5.0149E-02    2.4886E-02
   2.3273818   -2.8539E-02    2.4358E-02
   2.3302715    9.6117E-03    2.4012E-02
   2.3331568    3.7101E-02    2.4176E-02
   2.3360372    1.4432E-02    2.5192E-02
   2.3389130   -1.0246E-02    2.6537E-02
   2.3417840   -3.7277E-02    2.7267E-02
   2.3446507    3.6638E-02    2.8251E-02
   2.3475127    8.1622E-04    2.9522E-02
   2.3503702   -4.9326E-02    3.1102E-02
   2.3532233   -5.1855E-02    3.1360E-02
   2.3560719   -2.5087E-02    3.0400E-02
   2.3589163    2.0133E-05    2.8828E-02
   2.3617561    1.0356E-02    2.8050E-02
   2.3645918    1.1564E-02    2.9591E-02
   2.3674233    1.9112E-02    3.7397E-02
   2.3702507   -1.6522E-02    4.2205E-02
   2.3730738    8.6346E-03    3.9804E-02
   2.3758931    2.1399E-03    3.5722E-02
   2.3787084    4.5733E-03    3.4311E-02
   2.3815196   -6.7472E-03    3.7036E-02
   2.3843272    6.6914E-02    3.8724E-02
   2.3871310    5.9434E-02    3.8404E-02
   2.3899312   -5.3575E-02    3.7064E-02
   2.3927276    3.3029E-02    3.6085E-02
   2.3955209    1.9718E-02    3.5559E-02
   2.3983104    4.8485E-02    3.4733E-02
   2.4010968    3.3857E-02    3.6137E-02
   2.4038801    6.7991E-02    3.8891E-02
   2.4066601    2.7776E-02    4.1154E-02
   2.4094372    1.7875E-02    4.2307E-02
   2.4122114    4.9136E-02    4.6298E-02
   2.4149830   -1.0565E-02    5.2426E-02
   2.4177518   -7.1974E-04    5.3787E-02
   2.4205179   -2.8321E-02    5.0346E-02
   2.4232819   -2.6902E-02    4.4661E-02
   2.4260435    1.8926E-02    3.9692E-02
   2.4288030   -5.9801E-02    3.9834E-02
   2.4315605    8.2194E-02    5.0387E-02
   2.4343162    9.6746E-02    5.8401E-02
   2.4370701    2.2485E-04    5.4918E-02
   2.4398224    3.7033E-02    4.8892E-02
   2.4425735    1.9363E-02    5.0371E-02
   2.4453232    3.5931E-02    6.1691E-02
   2.4480720    1.1843E-01    7.5190E-02
   2.4508200    1.2062E-01    7.8792E-02
   2.4535673   -3.0497E-02    6.9097E-02
