# SpeX prism spectrum of 2m0144-0716 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.922314    1.92746e-16    9.41284e-18
     0.925842    2.12835e-16    7.50931e-18
     0.929387    2.09391e-16    1.57321e-18
     0.932949    2.34225e-16    6.83550e-18
     0.936528    2.32224e-16    7.31823e-18
     0.940123    2.44530e-16    3.90270e-18
     0.943736    2.51044e-16    9.02988e-18
     0.947365    2.54953e-16    5.51687e-18
     0.951011    2.79830e-16    6.73230e-18
     0.954672    2.63229e-16    4.91804e-18
     0.958350    2.60288e-16    2.28976e-18
     0.962043    2.59089e-16    1.64337e-17
     0.965753    2.84011e-16    1.24815e-17
     0.969477    2.92847e-16    6.42767e-18
     0.973217    3.12667e-16    5.49350e-18
     0.976972    3.31883e-16    1.89336e-18
     0.980742    3.28882e-16    3.68979e-18
     0.984527    3.31037e-16    4.26010e-18
     0.988327    2.94928e-16    1.47685e-17
     0.992140    2.61077e-16    2.97237e-18
     0.995968    2.30234e-16    7.22750e-18
     0.999810    2.33697e-16    6.16602e-18
      1.00367    2.44777e-16    2.54436e-18
      1.00754    2.62941e-16    1.31333e-18
      1.01142    2.82188e-16    4.65681e-18
      1.01531    2.89810e-16    1.09889e-17
      1.01922    2.79170e-16    2.13335e-18
      1.02315    2.91583e-16    3.15376e-18
      1.02708    2.96567e-16    1.16768e-18
      1.03103    3.18489e-16    3.10629e-18
      1.03499    3.36819e-16    2.63857e-18
      1.03896    3.53658e-16    5.99792e-18
      1.04294    3.55294e-16    8.67442e-18
      1.04693    3.60593e-16    8.26035e-19
      1.05094    3.77464e-16    1.71453e-18
      1.05496    3.79420e-16    4.30644e-18
      1.05898    3.82819e-16    1.45692e-18
      1.06302    3.93267e-16    5.39590e-18
      1.06707    4.06029e-16    1.85993e-18
      1.07113    4.23717e-16    4.57138e-18
      1.07520    4.36362e-16    9.84698e-18
      1.07928    4.45679e-16    6.77626e-18
      1.08337    4.63598e-16    4.12630e-18
      1.08747    4.61730e-16    4.79636e-18
      1.09158    4.85133e-16    3.29450e-18
      1.09569    4.70128e-16    3.30157e-18
      1.09982    5.00271e-16    6.84581e-18
      1.10395    5.02722e-16    6.28066e-18
      1.10810    4.90378e-16    8.64825e-18
      1.11225    5.05140e-16    7.70679e-18
      1.11641    5.00303e-16    5.74692e-18
      1.12058    5.04438e-16    9.79982e-18
      1.12475    5.14961e-16    2.32855e-18
      1.12893    5.08253e-16    6.38883e-18
      1.13312    4.65670e-16    3.76106e-18
      1.13732    4.74230e-16    5.21983e-18
      1.14152    4.66628e-16    2.91808e-18
      1.14573    5.01627e-16    4.96476e-18
      1.14995    5.40333e-16    4.13106e-18
      1.15417    5.55525e-16    4.15209e-18
      1.15840    5.39045e-16    3.70228e-18
      1.16263    5.34856e-16    4.47388e-18
      1.16687    5.15492e-16    3.04654e-18
      1.17111    4.98556e-16    3.87807e-18
      1.17536    4.87254e-16    1.33052e-18
      1.17962    5.00482e-16    6.72375e-18
      1.18388    5.26366e-16    5.35267e-18
      1.18814    5.39380e-16    2.30146e-18
      1.19241    5.16568e-16    3.43691e-18
      1.19668    5.06062e-16    2.70483e-18
      1.20096    5.03216e-16    3.67060e-18
      1.20524    5.02219e-16    3.17394e-18
      1.20952    5.36983e-16    5.13274e-18
      1.21381    5.68617e-16    1.19452e-18
      1.21810    5.78009e-16    3.36548e-18
      1.22239    6.09668e-16    6.77236e-18
      1.22669    6.11495e-16    3.87590e-18
      1.23099    6.22323e-16    2.79003e-18
      1.23529    5.96518e-16    1.03137e-17
      1.23960    5.75569e-16    5.62260e-18
      1.24390    5.64035e-16    6.68148e-18
      1.24821    5.59368e-16    1.15532e-18
      1.25252    5.99584e-16    3.20282e-18
      1.25683    6.32120e-16    2.62797e-18
      1.26114    6.64877e-16    1.44485e-18
      1.26546    6.82852e-16    1.17383e-17
      1.26977    6.98350e-16    1.22097e-17
      1.27409    7.02455e-16    5.23942e-18
      1.27841    7.04112e-16    3.47627e-18
      1.28272    6.94599e-16    5.08183e-18
      1.28704    6.98799e-16    3.05146e-18
      1.29136    7.08847e-16    2.30285e-18
      1.29568    7.06219e-16    4.51502e-18
      1.29999    7.06878e-16    3.97310e-18
      1.30431    7.20100e-16    3.05201e-18
      1.30863    7.09024e-16    2.18992e-18
      1.31295    7.37480e-16    6.52396e-18
      1.31726    7.30032e-16    7.57255e-18
      1.32158    7.30402e-16    4.44077e-18
      1.32589    6.97871e-16    7.73876e-18
      1.33021    6.32262e-16    8.02036e-18
      1.33452    5.53007e-16    6.60241e-18
      1.33883    4.82248e-16    9.62863e-18
      1.34314    4.51973e-16    9.86925e-18
      1.34745    4.43887e-16    1.77348e-17
      1.35175    4.28003e-16    2.44184e-17
      1.35606    4.41020e-16    2.39852e-17
      1.36036    4.21115e-16    1.88975e-17
      1.36466    4.67814e-16    1.32910e-17
      1.36895    4.25087e-16    9.51823e-18
      1.37325    4.31031e-16    2.38434e-17
      1.37754    4.37612e-16    9.69769e-18
      1.38183    4.50873e-16    1.25512e-17
      1.38612    4.64263e-16    1.26303e-17
      1.39040    4.54645e-16    9.96087e-18
      1.39468    4.53137e-16    7.23120e-18
      1.39896    4.16868e-16    3.38286e-18
      1.40323    3.96773e-16    2.46796e-18
      1.40751    4.07347e-16    1.50406e-17
      1.41177    4.01629e-16    1.06832e-17
      1.41604    3.94545e-16    5.99238e-18
      1.42030    3.93479e-16    3.55117e-18
      1.42455    3.93382e-16    2.90222e-18
      1.42881    3.92845e-16    5.77204e-18
      1.43305    3.97573e-16    2.05775e-18
      1.43730    4.03191e-16    2.44696e-18
      1.44154    4.03344e-16    7.58142e-18
      1.44577    4.17086e-16    1.03155e-17
      1.45001    4.24068e-16    2.42904e-18
      1.45423    4.36325e-16    5.24494e-18
      1.45846    4.44403e-16    2.08053e-18
      1.46267    4.49987e-16    4.88636e-18
      1.46689    4.50654e-16    3.17828e-18
      1.47110    4.63294e-16    3.91954e-18
      1.47530    4.49182e-16    3.41718e-18
      1.47950    4.60625e-16    3.37623e-18
      1.48369    4.76353e-16    6.87248e-18
      1.48788    4.64277e-16    3.31834e-18
      1.49206    4.88625e-16    8.38124e-18
      1.49624    4.97900e-16    8.11279e-18
      1.50042    5.08987e-16    3.50726e-18
      1.50458    5.16929e-16    9.49929e-19
      1.50875    5.27660e-16    1.26151e-18
      1.51290    5.38091e-16    8.86782e-19
      1.51705    5.44797e-16    1.37544e-18
      1.52120    5.62199e-16    2.02880e-18
      1.52534    5.73842e-16    2.25581e-18
      1.52947    5.83168e-16    3.05905e-18
      1.53360    5.92070e-16    2.90473e-18
      1.53772    6.10328e-16    2.25139e-18
      1.54184    6.18244e-16    3.09332e-18
      1.54595    6.29779e-16    5.93131e-18
      1.55006    6.39360e-16    2.93823e-18
      1.55416    6.42636e-16    7.92010e-18
      1.55825    6.51031e-16    2.19916e-18
      1.56234    6.55772e-16    2.45295e-18
      1.56642    6.54069e-16    1.63404e-18
      1.57049    6.64797e-16    3.25278e-18
      1.57456    6.74857e-16    1.48534e-18
      1.57862    6.67975e-16    6.70821e-18
      1.58268    6.53001e-16    3.60886e-18
      1.58673    6.35592e-16    6.59740e-18
      1.59077    6.46245e-16    4.68839e-18
      1.59481    6.58439e-16    8.82685e-19
      1.59884    6.62406e-16    3.64031e-18
      1.60287    6.64250e-16    3.81106e-18
      1.60688    6.63677e-16    2.90874e-18
      1.61090    6.44101e-16    2.59607e-18
      1.61490    6.54366e-16    4.46197e-18
      1.61890    6.52032e-16    3.64005e-18
      1.62289    6.61889e-16    2.00019e-18
      1.62688    6.54419e-16    5.28512e-18
      1.63086    6.48058e-16    4.07588e-18
      1.63483    6.60146e-16    2.72099e-18
      1.63880    6.74733e-16    3.50024e-18
      1.64276    6.69731e-16    3.55032e-18
      1.64671    6.98815e-16    1.15317e-17
      1.65066    7.02632e-16    7.74451e-18
      1.65460    7.11419e-16    8.55956e-18
      1.65853    7.00691e-16    1.41582e-18
      1.66246    7.02189e-16    4.79104e-18
      1.66638    6.94955e-16    3.70768e-18
      1.67029    7.01182e-16    6.07627e-18
      1.67420    6.92635e-16    2.88775e-18
      1.67810    7.08571e-16    5.90285e-18
      1.68199    7.12073e-16    2.34798e-18
      1.68588    7.25453e-16    2.07569e-18
      1.68976    7.16673e-16    3.33361e-18
      1.69364    7.12643e-16    4.43425e-18
      1.69751    7.20798e-16    3.71852e-18
      1.70137    7.14732e-16    2.38664e-18
      1.70522    7.15159e-16    5.78658e-18
      1.70907    7.04132e-16    6.02886e-18
      1.71291    6.97143e-16    2.08137e-18
      1.71675    6.82869e-16    2.59052e-18
      1.72058    6.68893e-16    2.90210e-18
      1.72440    6.50347e-16    3.78384e-18
      1.72822    6.34642e-16    1.72349e-18
      1.73202    6.20605e-16    3.12133e-18
      1.73583    6.13801e-16    2.55673e-18
      1.73962    6.08961e-16    4.68158e-18
      1.74341    5.99260e-16    1.64925e-18
      1.74720    5.87342e-16    2.40161e-18
      1.75098    5.72068e-16    1.97770e-18
      1.75475    5.65307e-16    2.91647e-18
      1.75851    5.47478e-16    1.57405e-18
      1.76227    5.41786e-16    7.63891e-18
      1.76602    5.30040e-16    2.60912e-18
      1.76977    5.09244e-16    4.36679e-18
      1.77351    4.96101e-16    1.72748e-18
      1.77724    4.91014e-16    3.09706e-18
      1.78097    4.70290e-16    1.48044e-18
      1.78469    4.77460e-16    2.56270e-18
      1.78841    4.55487e-16    4.03076e-18
      1.79212    4.54034e-16    3.94071e-18
      1.79582    4.53771e-16    5.09093e-18
      1.79952    4.43997e-16    6.75146e-18
      1.80321    4.43474e-16    3.35011e-18
      1.80689    4.31662e-16    6.63574e-18
      1.81057    4.45528e-16    3.99407e-18
      1.81424    4.36192e-16    1.19407e-17
      1.81791    4.44819e-16    3.03558e-18
      1.82157    4.56713e-16    1.12537e-17
      1.82523    4.49773e-16    1.57649e-17
      1.82887    4.73472e-16    1.82144e-17
      1.83252    4.30285e-16    2.51705e-17
      1.83616    4.14409e-16    1.33137e-17
      1.83979    3.96186e-16    7.42362e-18
      1.84341    4.11905e-16    2.11083e-17
      1.84703    4.10033e-16    1.81873e-17
      1.85065    3.98346e-16    1.45783e-17
      1.85426    3.96921e-16    4.97764e-18
      1.85786    3.97903e-16    8.73921e-18
      1.86146    3.73265e-16    1.54547e-17
      1.86505    3.84567e-16    1.05900e-17
      1.86864    3.88067e-16    3.02670e-17
      1.87222    3.72827e-16    7.79377e-18
      1.87579    4.07245e-16    1.92068e-17
      1.87936    3.88439e-16    2.17875e-17
      1.88293    4.25631e-16    1.69723e-17
      1.88649    4.24774e-16    6.91279e-18
      1.89004    4.29347e-16    2.55621e-18
      1.89359    4.25919e-16    4.45643e-18
      1.89713    4.50410e-16    6.94444e-18
      1.90067    4.44603e-16    1.50776e-17
      1.90420    4.60409e-16    1.62304e-17
      1.90773    4.47340e-16    1.43987e-17
      1.91125    4.51326e-16    6.66073e-18
      1.91477    4.62909e-16    1.57329e-17
      1.91828    4.52083e-16    1.10732e-17
      1.92179    4.66097e-16    8.73500e-18
      1.92529    4.46495e-16    6.34056e-18
      1.92878    4.17584e-16    4.15880e-18
      1.93227    4.15092e-16    7.59884e-18
      1.93576    4.04555e-16    3.66299e-18
      1.93924    3.94319e-16    6.86688e-18
      1.94272    3.87529e-16    3.18514e-18
      1.94619    3.87104e-16    1.05135e-17
      1.94965    3.89344e-16    6.95220e-18
      1.95312    3.80516e-16    2.79366e-18
      1.95657    3.89071e-16    5.87913e-18
      1.96002    3.84297e-16    7.00967e-18
      1.96347    3.88366e-16    6.31021e-18
      1.96691    3.90338e-16    6.38519e-18
      1.97035    3.95470e-16    3.36576e-18
      1.97378    3.72374e-16    8.65277e-18
      1.97721    3.62512e-16    2.97097e-18
      1.98063    3.68930e-16    6.34142e-18
      1.98405    3.66642e-16    3.07454e-18
      1.98746    3.70377e-16    2.16316e-18
      1.99087    3.76115e-16    2.05309e-18
      1.99427    3.79723e-16    4.05911e-18
      1.99767    3.85644e-16    1.51596e-17
      2.00107    3.79899e-16    1.09821e-17
      2.00446    3.88754e-16    6.08059e-18
      2.00784    3.88400e-16    7.87144e-18
      2.01122    3.85150e-16    7.38009e-18
      2.01460    3.85923e-16    6.66773e-18
      2.01797    4.02228e-16    1.12142e-17
      2.02133    4.03944e-16    7.95961e-18
      2.02470    4.10544e-16    6.15460e-18
      2.02805    4.00166e-16    4.89771e-18
      2.03140    4.11939e-16    6.54568e-18
      2.03475    4.14170e-16    3.43183e-18
      2.03810    4.24274e-16    2.03685e-18
      2.04144    4.17719e-16    2.26099e-18
      2.04477    4.25152e-16    1.88332e-18
      2.04810    4.30284e-16    3.47482e-18
      2.05142    4.29049e-16    3.27931e-18
      2.05475    4.35230e-16    3.38653e-18
      2.05806    4.48404e-16    4.40060e-18
      2.06137    4.44816e-16    4.21054e-18
      2.06468    4.43395e-16    3.44582e-18
      2.06798    4.48232e-16    3.17828e-18
      2.07128    4.57672e-16    2.36100e-18
      2.07458    4.55606e-16    4.09223e-18
      2.07786    4.63513e-16    3.17568e-18
      2.08115    4.70396e-16    3.09990e-18
      2.08443    4.73759e-16    2.95312e-18
      2.08771    4.79852e-16    2.46198e-18
      2.09098    4.84101e-16    2.78301e-18
      2.09424    4.88277e-16    3.40835e-18
      2.09751    4.87590e-16    3.41511e-18
      2.10076    4.87932e-16    1.50407e-18
      2.10402    4.99303e-16    4.17599e-18
      2.10726    4.99146e-16    1.94744e-18
      2.11051    5.05716e-16    3.77715e-18
      2.11375    5.12634e-16    5.21795e-18
      2.11698    5.07232e-16    3.11159e-18
      2.12021    5.17756e-16    3.58547e-18
      2.12344    5.13026e-16    1.80405e-18
      2.12666    5.16887e-16    3.56601e-18
      2.12988    5.14606e-16    2.12263e-18
      2.13309    5.24298e-16    3.16273e-18
      2.13629    5.25069e-16    4.74551e-18
      2.13950    5.21070e-16    5.53552e-18
      2.14269    5.26905e-16    2.74844e-18
      2.14589    5.23923e-16    3.05006e-18
      2.14908    5.25718e-16    4.25613e-18
      2.15226    5.22553e-16    3.06520e-18
      2.15544    5.29435e-16    2.90389e-18
      2.15861    5.25718e-16    2.41793e-18
      2.16178    5.17554e-16    2.91419e-18
      2.16495    5.25455e-16    2.37211e-18
      2.16811    5.28441e-16    3.69167e-18
      2.17126    5.25646e-16    4.55378e-18
      2.17442    5.21660e-16    2.67635e-18
      2.17756    5.24330e-16    2.15583e-18
      2.18070    5.22650e-16    3.51383e-18
      2.18384    5.18079e-16    1.74082e-18
      2.18697    5.21614e-16    1.94207e-18
      2.19010    5.15250e-16    1.88445e-18
      2.19322    5.19473e-16    3.71883e-18
      2.19634    5.16424e-16    2.99581e-18
      2.19945    5.16839e-16    4.73187e-18
      2.20255    5.13726e-16    2.62415e-18
      2.20566    5.10990e-16    1.39293e-18
      2.20875    5.12299e-16    3.90709e-18
      2.21185    5.09617e-16    2.63052e-18
      2.21493    5.08614e-16    3.22031e-18
      2.21802    5.07334e-16    2.51090e-18
      2.22109    5.01505e-16    3.57746e-18
      2.22417    5.13781e-16    1.59865e-18
      2.22723    5.04208e-16    2.83029e-18
      2.23029    5.05560e-16    2.15304e-18
      2.23335    4.97187e-16    3.04722e-18
      2.23640    4.98509e-16    3.40374e-18
      2.23945    4.98548e-16    2.11983e-18
      2.24249    4.99845e-16    3.74580e-18
      2.24553    4.99053e-16    2.41684e-18
      2.24856    4.95043e-16    2.50834e-18
      2.25159    4.88096e-16    2.25051e-18
      2.25461    4.89613e-16    4.89020e-18
      2.25763    4.93164e-16    2.91882e-18
      2.26064    4.89591e-16    2.70000e-18
      2.26364    4.78961e-16    4.05380e-18
      2.26664    4.76461e-16    4.92505e-18
      2.26964    4.75222e-16    2.72138e-18
      2.27263    4.76711e-16    3.69071e-18
      2.27561    4.66771e-16    3.17575e-18
      2.27859    4.71482e-16    2.24601e-18
      2.28157    4.71228e-16    1.92646e-18
      2.28454    4.71578e-16    1.71818e-18
      2.28750    4.73817e-16    2.81538e-18
      2.29046    4.57073e-16    3.73293e-18
      2.29341    4.04887e-16    2.45191e-18
      2.29636    3.58225e-16    2.47074e-18
      2.29931    3.48303e-16    4.05585e-18
      2.30224    3.45906e-16    1.69409e-18
      2.30518    3.57552e-16    2.41871e-18
      2.30811    3.64001e-16    2.27859e-18
      2.31103    3.65609e-16    4.07984e-18
      2.31395    3.64669e-16    3.44451e-18
      2.31686    3.63584e-16    3.11333e-18
      2.31977    3.57112e-16    3.61259e-18
      2.32267    3.43253e-16    2.25955e-18
      2.32557    3.25674e-16    2.75760e-18
      2.32846    3.24780e-16    1.91986e-18
      2.33135    3.31172e-16    1.40607e-18
      2.33423    3.37930e-16    1.86194e-18
      2.33711    3.41069e-16    2.52255e-18
      2.33998    3.38693e-16    2.11533e-18
      2.34285    3.45352e-16    3.31907e-18
      2.34571    3.47385e-16    3.38919e-18
      2.34857    3.49598e-16    4.46401e-18
      2.35142    3.38386e-16    5.34648e-18
      2.35427    3.27081e-16    3.81358e-18
      2.35712    3.17320e-16    2.26384e-18
      2.35995    3.21536e-16    2.53764e-18
      2.36279    3.23610e-16    2.58323e-18
      2.36562    3.26642e-16    3.00585e-18
      2.36845    3.27465e-16    2.49962e-18
      2.37127    3.28766e-16    3.48688e-18
      2.37409    3.26659e-16    2.63115e-18
      2.37690    3.34298e-16    2.73210e-18
      2.37971    3.22517e-16    2.52530e-18
      2.38251    3.12025e-16    3.82790e-18
      2.38532    3.16946e-16    2.55491e-18
      2.38811    3.08249e-16    2.80152e-18
      2.39091    3.15166e-16    3.60559e-18
      2.39370    3.17694e-16    1.73014e-18
      2.39648    3.09125e-16    2.52334e-18
      2.39927    3.14138e-16    1.23734e-18
      2.40205    3.10541e-16    2.95306e-18
      2.40482    3.08402e-16    2.66903e-18
      2.40760    3.00177e-16    4.00995e-18
      2.41037    3.02909e-16    4.04290e-18
      2.41313    2.96391e-16    2.85659e-18
      2.41590    2.92228e-16    2.01590e-18
      2.41866    2.95153e-16    4.48558e-18
      2.42142    2.92296e-16    3.92130e-18
      2.42418    2.86304e-16    1.83057e-18
      2.42693    2.88335e-16    3.85432e-18
      2.42969    2.85220e-16    4.05987e-18
      2.43244    2.73372e-16    4.26028e-18
      2.43519    2.67827e-16    4.10619e-18
      2.43794    2.67254e-16    3.36549e-18
      2.44068    2.67556e-16    3.51294e-18
      2.44343    2.71285e-16    5.58621e-18
      2.44617    2.65527e-16    3.29821e-18
      2.44892    2.51801e-16    2.07943e-18
      2.45166    2.44414e-16    2.53192e-18
      2.45441    2.52994e-16    8.72920e-18
      2.45715    2.51814e-16    2.34274e-18
      2.45989    2.56386e-16    5.87872e-18
      2.46264    2.50316e-16    2.15649e-18
      2.46538    2.52452e-16    6.13179e-18
      2.46813    2.41001e-16    4.93755e-18
      2.47088    2.29435e-16    1.94040e-18
      2.47362    2.34727e-16    2.67813e-18
      2.47637    2.39941e-16    2.47206e-18
      2.47913    2.35873e-16    5.86123e-18
      2.48188    2.21778e-16    4.32575e-18
      2.48464    2.29976e-16    6.57280e-18
      2.48740    2.20436e-16    4.55166e-18
      2.49016    2.19163e-16    7.98101e-18
      2.49293    2.07885e-16    1.06843e-17
      2.49570    2.16097e-16    7.73099e-18
      2.49847    2.16611e-16    3.59842e-18
      2.50125    2.38544e-16    3.89405e-18
      2.50404    2.38677e-16    2.03132e-18
      2.50683    2.20357e-16    1.27997e-17
      2.50962    2.24009e-16    2.68484e-18
      2.51242    2.20392e-16    1.41202e-17
      2.51523    2.26619e-16    1.97263e-17
      2.51804    2.19881e-16    1.54109e-17
      2.52087    2.33036e-16    1.59828e-17
      2.52369    2.08651e-16    7.96585e-18
      2.52653    1.93580e-16    1.01191e-17
      2.52938    1.67008e-16    3.70792e-17
      2.53223    2.18315e-16    1.13919e-17
      2.53510    1.11670e-16    1.87226e-17
      2.53797    2.43620e-16    1.56287e-17
      2.54086    2.56044e-16    5.25960e-18
      2.54375    1.85047e-16    3.25412e-17
      2.54666    4.13655e-16    6.94831e-17
      2.54958    1.82025e-16    2.77575e-17
      2.55251    2.24038e-16    2.61316e-17
      2.55546    1.80543e-16    1.24018e-16
      2.55842    1.37086e-16    3.60766e-17
