# SpeX prism spectrum of 2101+1756 obtained 2005 Sep 07 by Adam J. Burgasser
# Spectrum in f_lambda arbitrarily normalized
# 
# THIS SPECTRUM MAY NOT BE USED OR REPRODUCED WITHOUT EXPRESS PERMISSION FROM A. BURGASSER
# 
# Wavelength (um)    Flux (f_lambda)    Noise (f_lambda)
# -------------------------------------------------------------------------
      1.74166    3.59213e-17    1.16454e-18
      1.74545    3.68172e-17    1.19761e-18
      1.74923    3.43488e-17    2.17166e-19
      1.75300    3.24093e-17    1.73400e-18
      1.75677    3.24732e-17    7.03107e-19
      1.76053    3.43946e-17    6.21437e-19
      1.76429    3.22134e-17    1.60413e-18
      1.76804    2.96367e-17    1.56745e-18
      1.77178    3.14010e-17    1.66809e-18
      1.77551    2.71163e-17    9.75531e-19
      1.77924    2.65626e-17    5.33866e-19
      1.78297    2.69403e-17    1.79289e-18
      1.78669    2.66312e-17    8.14869e-19
      1.79040    2.51930e-17    1.55396e-18
      1.79410    2.62274e-17    1.37065e-18
      1.79780    2.89843e-17    2.55808e-18
      1.80150    2.34704e-17    1.07394e-18
      1.80518    2.39537e-17    2.08453e-18
      1.80887    2.56703e-17    1.43244e-18
      1.81254    2.61796e-17    7.32500e-19
      1.81621    2.77929e-17    4.19080e-19
      1.81988    2.50952e-17    1.12856e-18
      1.82353    2.51443e-17    1.25041e-18
      1.82718    2.91618e-17    9.36065e-19
      1.83083    2.61708e-17    1.85384e-18
      1.83447    2.63929e-17    1.26069e-18
      1.83811    2.22548e-17    1.56726e-18
      1.84173    2.23172e-17    1.60004e-18
      1.84536    2.55417e-17    2.20722e-18
      1.84897    3.04119e-17    2.33020e-18
      1.85259    1.97389e-17    3.17355e-18
      1.85619    2.27802e-17    1.27350e-18
      1.85979    1.89748e-17    2.38770e-18
      1.86339    2.21763e-17    8.69614e-19
      1.86698    2.35028e-17    1.67917e-18
      1.87056    1.90830e-17    2.41510e-18
      1.87414    1.69703e-17    4.03838e-18
      1.87771    2.16784e-17    1.57567e-18
      1.88128    2.58250e-17    1.14157e-18
      1.88484    2.60603e-17    1.62381e-18
      1.88839    2.48055e-17    8.20745e-19
      1.89195    2.37976e-17    1.10561e-18
      1.89549    2.59853e-17    4.16182e-19
      1.89903    2.80340e-17    1.10944e-18
      1.90257    2.47101e-17    1.86613e-18
      1.90610    2.36960e-17    3.22174e-18
      1.90962    3.23939e-17    1.07100e-18
      1.91314    2.89785e-17    1.38084e-18
      1.91665    2.75720e-17    1.08939e-18
      1.92016    2.92355e-17    1.40539e-18
      1.92367    2.34494e-17    1.51338e-18
      1.92716    2.75861e-17    8.35049e-19
      1.93066    2.37570e-17    4.43450e-19
      1.93415    2.19202e-17    5.60349e-19
      1.93763    2.23081e-17    9.74785e-19
      1.94111    2.17072e-17    6.04208e-19
      1.94458    2.22456e-17    6.38670e-19
      1.94805    2.25456e-17    1.29136e-18
      1.95151    2.37736e-17    1.65698e-18
      1.95497    2.25458e-17    2.04376e-18
      1.95843    2.06329e-17    9.30038e-19
      1.96187    2.38420e-17    1.19366e-18
      1.96532    2.29450e-17    7.69195e-19
      1.96876    2.52554e-17    9.57447e-19
      1.97219    2.27538e-17    1.21210e-18
      1.97562    2.37951e-17    5.96410e-19
      1.97905    2.38325e-17    1.04589e-18
      1.98247    2.45351e-17    5.95993e-19
      1.98588    2.31986e-17    1.09940e-18
      1.98929    2.50753e-17    8.49353e-19
      1.99270    2.38184e-17    9.77256e-19
      1.99610    2.38150e-17    5.09284e-19
