# SpeX prism spectrum of denis2252-1730 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.956000    2.89436e-16    2.55570e-18
     0.959683    2.93328e-16    2.74840e-18
     0.963382    3.02254e-16    5.29370e-18
     0.967097    3.22553e-16    7.22017e-18
     0.970827    3.32406e-16    8.31373e-18
     0.974573    3.42052e-16    3.80869e-18
     0.978333    3.59309e-16    6.92617e-18
     0.982109    3.60526e-16    5.85945e-18
     0.985899    3.35611e-16    2.52428e-18
     0.989704    3.05642e-16    4.94609e-18
     0.993522    2.75357e-16    3.81236e-18
     0.997356    2.78847e-16    4.02748e-18
      1.00120    2.78361e-16    4.59177e-18
      1.00506    2.88132e-16    2.87151e-18
      1.00894    3.03945e-16    4.39328e-18
      1.01283    3.24002e-16    2.95390e-18
      1.01673    3.38658e-16    3.10836e-18
      1.02064    3.44179e-16    2.65435e-18
      1.02457    3.57508e-16    4.41522e-18
      1.02850    3.64056e-16    4.47202e-18
      1.03246    3.77477e-16    3.45997e-18
      1.03642    3.88598e-16    2.05842e-18
      1.04040    4.11480e-16    6.35990e-18
      1.04438    4.29560e-16    4.63010e-18
      1.04838    4.31304e-16    3.83252e-18
      1.05239    4.41304e-16    4.85459e-18
      1.05641    4.46923e-16    4.03198e-18
      1.06044    4.56753e-16    3.66019e-18
      1.06449    4.57876e-16    3.92820e-18
      1.06854    4.77581e-16    4.15200e-18
      1.07260    4.79859e-16    5.91306e-18
      1.07667    4.91975e-16    3.75009e-18
      1.08076    5.00643e-16    4.60449e-18
      1.08485    5.04525e-16    3.72122e-18
      1.08895    4.99730e-16    4.30643e-18
      1.09306    4.91010e-16    3.63306e-18
      1.09718    4.83026e-16    3.66053e-18
      1.10131    4.84652e-16    3.72311e-18
      1.10545    4.63518e-16    2.83492e-18
      1.10960    4.48756e-16    1.36033e-18
      1.11375    4.42707e-16    6.35238e-18
      1.11791    4.39228e-16    2.19359e-18
      1.12208    4.59296e-16    3.78722e-18
      1.12626    4.60567e-16    3.50440e-18
      1.13045    4.47484e-16    5.54251e-18
      1.13464    4.24368e-16    2.62489e-18
      1.13884    4.21586e-16    3.50343e-18
      1.14304    4.33701e-16    1.92730e-18
      1.14725    4.61784e-16    4.21978e-18
      1.15147    4.75516e-16    7.18647e-18
      1.15570    4.78753e-16    6.11775e-18
      1.15993    4.60941e-16    5.40591e-18
      1.16416    4.50017e-16    4.41737e-18
      1.16840    4.33675e-16    3.49922e-18
      1.17265    4.14686e-16    2.84921e-18
      1.17690    4.35404e-16    3.46573e-18
      1.18116    4.57312e-16    1.38979e-18
      1.18542    4.84506e-16    2.35299e-18
      1.18968    4.94394e-16    2.15627e-18
      1.19395    4.81114e-16    2.18103e-18
      1.19823    4.82490e-16    3.18895e-18
      1.20251    4.83830e-16    4.53822e-18
      1.20679    5.04338e-16    5.42804e-18
      1.21107    5.25826e-16    3.43603e-18
      1.21536    5.42330e-16    3.19867e-18
      1.21965    5.59620e-16    2.94188e-18
      1.22395    5.73923e-16    2.62027e-18
      1.22825    5.82385e-16    3.15637e-18
      1.23255    5.73100e-16    3.71919e-18
      1.23685    5.46326e-16    3.46854e-18
      1.24115    5.46911e-16    4.15421e-18
      1.24546    5.31853e-16    3.63247e-18
      1.24977    5.49227e-16    1.07462e-18
      1.25408    5.75825e-16    3.73124e-18
      1.25839    6.01758e-16    4.34118e-18
      1.26270    6.27500e-16    5.03212e-18
      1.26702    6.41355e-16    2.64078e-18
      1.27133    6.54121e-16    2.02744e-18
      1.27565    6.52035e-16    5.59010e-18
      1.27997    6.41126e-16    4.20638e-18
      1.28428    6.36019e-16    3.40011e-18
      1.28860    6.31067e-16    3.70413e-18
      1.29292    6.26337e-16    3.36051e-18
      1.29724    6.16944e-16    2.21205e-18
      1.30156    6.16075e-16    2.26429e-18
      1.30587    6.15879e-16    5.35903e-18
      1.31019    6.07789e-16    2.16165e-18
      1.31451    6.09338e-16    5.76110e-18
      1.31882    5.96471e-16    5.70166e-18
      1.32314    5.75777e-16    6.62899e-18
      1.32745    5.02638e-16    6.27447e-18
      1.33177    4.16950e-16    7.40162e-18
      1.33608    3.20400e-16    4.52517e-18
      1.34039    2.68820e-16    3.68845e-18
      1.34470    2.52428e-16    8.29143e-18
      1.34900    2.42945e-16    8.54494e-18
      1.35331    2.29858e-16    8.69333e-18
      1.35761    2.29709e-16    1.07562e-17
      1.36191    2.26614e-16    6.93261e-18
      1.36621    2.10521e-16    1.11476e-17
