# sdss 03:51:05.90 48:10:48.6 T1 +/- 1.5 Chiu et al. 2006
# IRTF Spex 2005-01-21
#XAXIS   = 'Wavelength'         /                                                
#YAXIS   = 'Flux    '           /                                                
#XUNITS  = 'Microns '           /                                                
#YUNITS  = 'W m-2 um-1'         /                                                
      1.95700    2.09745e-16    6.48348e-17
      1.96045    2.39872e-16    7.12609e-17
      1.96390    2.46150e-16    4.62089e-17
      1.96734    2.13540e-16    1.70299e-17
      1.97078    2.57190e-16    2.06099e-18
      1.97421    2.29556e-16    4.19216e-17
      1.97763    2.68649e-16    2.02860e-17
      1.98106    2.47653e-16    1.87312e-17
      1.98447    2.53855e-16    8.47861e-18
      1.98789    2.70632e-16    4.51669e-18
      1.99129    2.65508e-16    1.60777e-19
      1.99470    2.86670e-16    1.30922e-17
      1.99810    2.72444e-16    5.52440e-17
      2.00149    2.92757e-16    4.22598e-17
      2.00488    2.47195e-16    8.88565e-17
      2.00826    2.26099e-16    5.61157e-17
      2.01164    2.59045e-16    4.96577e-17
      2.01502    3.54201e-16    6.40548e-17
      2.01839    3.29871e-16    6.02490e-17
      2.02175    2.63006e-16    2.60263e-17
      2.02511    2.80031e-16    4.56467e-18
      2.02847    3.32241e-16    2.20231e-17
      2.03182    2.83991e-16    5.46761e-17
      2.03517    3.18830e-16    6.02943e-18
      2.03851    2.85609e-16    1.27108e-17
      2.04185    3.56702e-16    3.74958e-18
      2.04519    3.24304e-16    2.35398e-17
      2.04851    3.55105e-16    1.09459e-17
      2.05184    3.29426e-16    6.26437e-17
      2.05516    3.09987e-16    2.16265e-18
      2.05848    3.59239e-16    5.33996e-18
      2.06179    3.68770e-16    8.74385e-18
      2.06509    3.80502e-16    1.00449e-17
      2.06840    4.06482e-16    2.90813e-17
      2.07169    3.80216e-16    4.71506e-17
      2.07499    3.64489e-16    1.72159e-17
      2.07827    3.40603e-16    2.05080e-17
      2.08156    3.71738e-16    8.48037e-18
      2.08484    3.65595e-16    6.22235e-18
      2.08811    4.14285e-16    1.15574e-17
      2.09138    3.80091e-16    1.27863e-17
      2.09465    3.89102e-16    1.30751e-17
      2.09791    3.74485e-16    1.05881e-17
      2.10117    3.71129e-16    5.32776e-18
      2.10442    3.82300e-16    1.77997e-17
      2.10767    3.83210e-16    7.14640e-18
      2.11091    4.03227e-16    3.79785e-18
      2.11415    3.97631e-16    1.32206e-17
      2.11738    3.85253e-16    5.39277e-18
      2.12061    3.85437e-16    2.63644e-17
      2.12384    4.07262e-16    5.66716e-17
      2.12706    3.71355e-16    3.67103e-17
      2.13028    3.89736e-16    4.57801e-17
      2.13349    3.71248e-16    6.34774e-17
      2.13669    3.84938e-16    5.03248e-17
      2.13990    3.72331e-16    1.48032e-17
      2.14309    3.63762e-16    2.61850e-17
      2.14629    3.56854e-16    2.59545e-18
      2.14947    4.08060e-16    2.55725e-17
      2.15266    3.65102e-16    1.55598e-17
      2.15584    3.79633e-16    4.48019e-17
      2.15901    3.63422e-16    1.81062e-17
      2.16218    4.00430e-16    1.52351e-17
      2.16534    3.75545e-16    6.82084e-18
      2.16850    3.81449e-16    2.70769e-18
      2.17166    3.72295e-16    4.75644e-18
      2.17481    3.41559e-16    1.81055e-17
      2.17795    3.28293e-16    2.14031e-17
      2.18109    3.88369e-16        0.00000
      2.18423    3.43092e-16    9.35347e-19
      2.18736    3.39080e-16    1.03982e-18
      2.19049    3.42064e-16    3.96060e-19
      2.19361    3.45727e-16    3.49833e-17
      2.19672    3.33904e-16    5.16729e-17
      2.19984    3.00472e-16    9.45137e-18
      2.20294    3.36564e-16    1.79820e-17
      2.20604    3.03421e-16    7.50356e-18
      2.20914    3.42087e-16    1.60243e-17
      2.21223    3.19805e-16    1.73091e-17
      2.21532    3.28391e-16    6.31746e-19
      2.21840    3.49744e-16    6.32302e-18
      2.22148    2.96053e-16    8.11531e-18
      2.22455    3.27256e-16    3.54428e-18
      2.22761    2.96431e-16    1.65765e-18
      2.23068    3.12418e-16    9.82968e-18
      2.23373    3.09096e-16    2.52523e-19
      2.23678    3.21858e-16    1.67784e-17
      2.23983    3.03853e-16    1.56545e-18
      2.24287    3.24639e-16    5.13174e-19
      2.24591    3.14169e-16    2.01731e-18
      2.24894    3.22766e-16    2.67619e-18
      2.25196    2.83935e-16    1.56444e-17
      2.25499    3.07978e-16    1.02537e-17
      2.25800    3.02098e-16    2.12093e-17
      2.26101    2.84211e-16    3.67954e-17
      2.26402    2.98077e-16    2.15236e-17
      2.26702    2.69828e-16    7.80786e-18
      2.27001    3.00642e-16    4.21490e-18
      2.27300    2.96683e-16    2.12140e-17
      2.27598    2.84097e-16    3.65285e-18
      2.27896    2.78114e-16    1.43390e-17
      2.28194    2.79884e-16    2.70936e-17
      2.28491    3.04735e-16    2.12902e-17
      2.28787    2.84926e-16    8.26290e-18
      2.29083    2.59401e-16    1.53911e-18
      2.29378    2.42370e-16    2.36050e-17
      2.29673    2.12445e-16    2.20848e-17
      2.29967    1.96092e-16    1.81983e-17
      2.30261    2.41246e-16    1.59836e-17
      2.30554    2.39246e-16    1.00834e-17
      2.30847    2.27965e-16    2.34380e-18
      2.31139    2.45085e-16    1.67116e-17
      2.31431    2.36655e-16    1.20463e-17
      2.31722    2.47028e-16    3.59847e-17
      2.32013    2.05968e-16    3.19131e-17
      2.32303    2.03572e-16    3.97348e-17
      2.32593    2.22488e-16    2.12347e-17
      2.32882    2.13156e-16    3.38650e-17
      2.33171    2.02595e-16    1.89854e-17
      2.33459    2.00360e-16    2.02168e-17
      2.33747    2.22228e-16    4.86206e-17
      2.34034    2.22380e-16    3.13710e-17
      2.34320    2.51573e-16    3.60614e-17
      2.34607    2.25832e-16    4.64247e-17
      2.34892    1.83288e-16    5.04505e-17
      2.35178    2.51852e-16    4.00830e-17
      2.35463    2.34266e-16    3.46854e-17
      2.35747    2.04115e-16    4.71484e-17
      2.36031    2.20969e-16    4.75053e-17
      2.36314    2.05411e-16    2.92259e-17
      2.36597    2.38455e-16    3.23406e-17
      2.36880    2.32448e-16    2.84411e-17
      2.37162    2.40907e-16    4.93512e-17
      2.37444    2.59003e-16    5.77024e-17
      2.37725    2.26810e-16    4.58001e-17
      2.38006    2.44768e-16    3.90964e-17
      2.38286    2.27927e-16    3.55715e-17
      2.38566    2.17347e-16    3.44499e-17
      2.38846    2.21878e-16    5.08972e-17
      2.39125    2.33874e-16    3.79201e-17
      2.39404    2.40518e-16    4.01974e-17
      2.39683    2.18279e-16    4.26041e-17
      2.39961    2.36955e-16    4.25895e-17
      2.40239    2.03978e-16    3.23495e-17
      2.40517    2.04534e-16    3.33359e-17
      2.40794    2.35441e-16    9.08449e-17
      2.41071    2.05945e-16    2.88855e-17
      2.41348    2.00307e-16    2.66093e-17
      2.41624    2.36461e-16    3.54561e-17
      2.41900    1.75497e-16    4.08756e-17
      2.42176    2.55577e-16    4.54624e-17
      2.42452    1.62935e-16    4.59429e-17
      2.42728    1.95279e-16    3.39063e-17
      2.43003    2.34293e-16    5.11768e-17
      2.43278    1.88595e-16    5.19209e-17
      2.43553    1.81906e-16    3.65947e-17
      2.43828    1.70224e-16    3.51493e-17
      2.44103    2.07266e-16    3.00401e-17
      2.44377    1.49372e-16    2.44549e-17
      2.44652    2.28088e-16    2.59807e-17
      2.44926    1.82430e-16    4.22567e-17
      2.45200    1.59189e-16    2.44795e-17
      2.45475    1.84690e-16    3.03188e-17
      2.45749    1.69688e-16    8.45390e-17
      2.46024    2.00110e-16    2.60899e-17
      2.46298    1.66832e-16    3.30740e-17
      2.46572    1.25047e-16    4.17080e-17
      2.46847    1.06478e-16    1.02523e-16
      2.47122    2.42142e-16    6.26914e-17
      2.47397    1.65190e-16    1.26627e-16
      2.47672    1.84003e-16    4.67484e-17
      2.47947    1.14178e-16    3.59683e-17
      2.48222    1.01282e-16    9.54428e-17
      2.48498    1.79356e-16    9.90736e-17
      2.48774    3.58169e-17    6.02515e-18
      2.49051    2.71116e-16    5.96718e-17
      2.49327    8.54618e-17    1.33409e-17
      2.49604    7.32152e-17    1.17154e-16
      2.49882    2.75560e-16    4.65467e-17
      2.50160    1.67415e-16    9.42613e-17
      2.50438   -1.61724e-17    2.15588e-16
      2.50717    2.47413e-16    4.28368e-17
      2.50997    8.06690e-17    2.75875e-16
      2.51277    6.54613e-17    3.98014e-17
      2.51558    3.73016e-16    3.04442e-16
      2.51839   -2.78230e-16    4.66948e-16
      2.52122   -1.05510e-16    1.65267e-16
      2.52405    1.04594e-16    4.07651e-16
      2.52689    2.57982e-16    5.20161e-17
