# sdss 13:58:52.84 37:47:09.4  T4.5+/-1 Chiu et al. 2006
# IRTF Spex 2005-04-08
#XUNITS  = 'Microns '           /
#YUNITS  = 'W m-2 um-1'         /
# fluxed by UFTI JHK, good match after
# revising K photometry
#
1.9307 9.2623024e-17 1.09458e-17
1.93418 7.1648824e-17 1.07877e-17
1.93767 4.59524e-17 4.31987e-18
1.94115 5.1342408e-17 2.37446e-19
1.94462 4.960176e-17 2.14247e-18
1.94809 8.3101408e-17 6.52634e-18
1.95155 8.4188936e-17 6.5222e-18
1.95501 5.0611704e-17 1.44882e-18
1.95846 7.2716696e-17 2.17671e-17
1.96191 8.6392384e-17 2.4994e-17
1.96536 5.6738344e-17 2.68469e-17
1.9688 8.8012392e-17 6.6568e-18
1.97223 7.386704e-17 4.68129e-17
1.97566 8.7331816e-17 1.02414e-17
1.97908 8.6184176e-17 2.81346e-17
1.9825 8.429876e-17 2.31976e-17
1.98592 7.2916896e-17 1.92236e-17
1.98933 9.1943176e-17 9.32564e-18
1.99273 1.0228962e-16 1.70133e-17
1.99614 1.3451984e-16 1.63046e-17
1.99953 1.0844184e-16 4.18637e-17
2.00292 1.399008e-16 3.59619e-17
2.00631 8.4924008e-17 6.36148e-17
2.00969 8.2488848e-17 6.48741e-18
2.01307 1.265212e-16 3.37383e-18
2.01644 1.2674688e-16 1.22192e-17
2.01981 1.339624e-16 1.53858e-17
2.02318 1.2328992e-16 4.43903e-17
2.02654 1.388036e-16 7.6425e-18
2.02989 1.2710464e-16 1.03338e-17
2.03324 1.558908e-16 1.2848e-17
2.03659 1.503684e-16 2.81482e-17
2.03993 1.3496912e-16 5.81541e-18
2.04326 1.578876e-16 1.46831e-17
2.04659 1.330628e-16 2.56592e-18
2.04992 1.5773056e-16 2.29744e-17
2.05325 1.7479592e-16 2.42938e-17
2.05656 1.5645968e-16 2.1803e-17
2.05988 1.6056768e-16 6.72831e-18
2.06319 1.3202488e-16 1.47658e-17
2.06649 1.6687112e-16 6.75644e-18
2.06979 1.6794544e-16 2.39851e-17
2.07309 1.8075096e-16 4.33446e-18
2.07638 1.5593552e-16 1.09862e-17
2.07967 1.3606008e-16 1.7064e-17
2.08295 1.7600232e-16 7.15223e-18
2.08623 1.5484768e-16 7.31026e-18
2.0895 1.8354232e-16 1.11293e-17
2.09277 1.7003272e-16 4.96341e-18
2.09603 1.6395912e-16 4.15832e-18
2.09929 1.8303792e-16 4.98851e-18
2.10255 1.4186536e-16 2.00488e-17
2.1058 1.728636e-16 4.25456e-18
2.10904 1.6303456e-16 1.20034e-17
2.11228 1.633112e-16 9.75227e-18
2.11552 1.4704976e-16 2.71581e-17
2.11875 1.4819584e-16 1.14711e-17
2.12198 1.6203824e-16 2.6312e-17
2.1252 1.39984e-16 5.4033e-18
2.12842 1.5484872e-16 2.53801e-18
2.13164 1.4372072e-16 7.79177e-18
2.13484 1.5220296e-16 1.3231e-17
2.13805 1.5929368e-16 1.88527e-17
2.14125 1.370772e-16 1.05937e-17
2.14444 1.491568e-16 5.71938e-18
