# SpeX prism spectrum of 2m1821+1414 obtained 10 Aug 2005 by Adam J Burgasser
# Spectrum in F_lambda normalized to prism observations
# Contact A. Burgasser for use or reproduction of this spectrum
# Wavelength (um)    Flux (normalized F_lambda)    S/N
# -------------------------------------------------------------------------
     0.813164    1.86124e-16    4.50489e-18
     0.816043    1.75507e-16    7.75667e-18
     0.818941    1.95427e-16    3.91663e-18
     0.821859    2.13262e-16    1.46086e-18
     0.824797    2.38796e-16    6.90270e-18
     0.827754    2.38718e-16    5.26826e-18
     0.830731    2.56620e-16    6.16384e-18
     0.833728    2.59062e-16    5.46319e-18
     0.836745    2.81848e-16    6.48162e-18
     0.839781    2.87695e-16    5.12811e-18
     0.842837    2.75627e-16    2.56637e-18
     0.845913    2.74995e-16    1.89636e-18
     0.849008    2.74613e-16    5.38833e-18
     0.852123    2.75521e-16    3.81883e-18
     0.855257    2.87615e-16    4.90108e-18
     0.858411    2.56860e-16    3.46559e-18
     0.861584    2.36817e-16    5.81396e-18
     0.864777    2.16071e-16    3.75855e-18
     0.867989    1.94861e-16    5.44860e-18
     0.871220    1.94175e-16    5.38038e-18
     0.874471    1.92368e-16    7.18979e-18
     0.877740    2.14423e-16    4.84203e-18
     0.881029    2.40451e-16    1.65127e-18
     0.884336    2.53419e-16    8.63638e-18
     0.887663    2.76364e-16    2.22932e-18
     0.891008    2.78706e-16    3.44070e-18
     0.894372    3.00438e-16    4.73899e-18
     0.897754    3.25526e-16    5.44123e-18
     0.901154    3.37088e-16    1.98403e-18
     0.904573    3.46104e-16    8.87256e-18
     0.908010    3.57082e-16    5.22038e-18
     0.911465    3.98875e-16    1.01148e-17
     0.914938    4.24499e-16    3.63847e-18
     0.918428    4.63625e-16    6.13088e-18
     0.921937    4.64701e-16    4.56786e-18
     0.925462    4.54427e-16    2.19077e-18
     0.929005    4.44450e-16    2.10229e-18
     0.932566    4.59454e-16    5.85803e-18
     0.936143    4.87369e-16    8.61249e-18
     0.939737    5.16508e-16    2.22405e-18
     0.943348    5.42151e-16    5.50780e-18
     0.946975    5.72058e-16    8.95989e-18
     0.950619    5.90247e-16    9.87139e-18
     0.954279    5.94835e-16    5.37903e-18
     0.957955    5.86661e-16    5.80873e-18
     0.961646    5.99045e-16    5.76539e-18
     0.965354    6.05312e-16    5.52086e-18
     0.969077    6.58863e-16    4.79324e-18
     0.972815    6.71773e-16    5.38698e-18
     0.976569    7.11376e-16    7.64834e-18
     0.980337    7.24893e-16    8.57373e-18
     0.984120    7.00324e-16    7.98744e-18
     0.987918    6.21100e-16    1.34422e-17
     0.991731    5.46863e-16    3.66744e-18
     0.995557    4.85656e-16    2.36487e-18
     0.999398    4.97732e-16    6.41617e-18
      1.00325    5.23339e-16    2.72272e-18
      1.00712    5.57028e-16    4.50508e-18
      1.01100    5.83217e-16    5.44624e-18
      1.01490    6.21576e-16    4.19947e-18
      1.01880    6.24861e-16    1.98138e-18
      1.02272    6.34088e-16    4.92564e-18
      1.02666    6.41814e-16    2.93949e-18
      1.03060    6.71418e-16    1.08281e-17
      1.03456    7.13909e-16    1.34145e-17
      1.03853    7.59001e-16    5.81792e-18
      1.04251    7.88421e-16    6.05092e-18
      1.04650    8.04938e-16    6.03630e-18
      1.05051    8.17573e-16    3.15512e-18
      1.05453    8.13453e-16    5.36784e-18
      1.05855    8.16993e-16    6.96674e-18
      1.06259    8.46900e-16    4.83063e-18
      1.06664    8.69392e-16    1.01216e-17
      1.07070    9.13186e-16    6.70151e-18
      1.07476    9.43459e-16    8.34300e-18
      1.07884    9.70100e-16    8.04814e-18
      1.08293    9.97085e-16    6.93449e-18
      1.08703    1.04016e-15    1.57697e-17
      1.09114    1.04289e-15    5.54375e-18
      1.09525    1.03298e-15    9.82615e-18
      1.09938    1.01923e-15    6.11032e-18
      1.10351    1.00952e-15    1.18802e-17
      1.10765    9.87743e-16    5.24860e-18
      1.11180    9.76041e-16    6.76324e-18
      1.11596    9.91239e-16    6.28514e-18
      1.12013    1.00227e-15    6.64967e-18
      1.12430    1.01567e-15    8.70642e-18
      1.12848    1.02063e-15    6.71756e-18
      1.13267    9.63435e-16    8.09779e-18
      1.13687    9.45520e-16    9.16651e-18
      1.14107    9.53890e-16    6.99593e-18
      1.14528    1.01019e-15    8.82205e-18
      1.14949    1.06525e-15    1.26548e-17
      1.15371    1.10343e-15    9.60566e-18
      1.15794    1.10166e-15    1.23029e-17
      1.16217    1.05690e-15    8.59425e-18
      1.16641    1.03543e-15    3.98312e-18
      1.17066    9.91225e-16    4.72101e-18
      1.17491    9.84039e-16    8.70295e-18
      1.17916    1.01738e-15    8.89052e-18
      1.18342    1.05719e-15    8.12486e-18
      1.18768    1.08821e-15    3.68786e-18
      1.19195    1.05231e-15    4.61399e-18
      1.19622    1.01820e-15    4.28307e-18
      1.20050    1.00820e-15    6.20786e-18
      1.20478    1.03513e-15    7.54543e-18
      1.20906    1.07993e-15    7.50906e-18
      1.21335    1.14325e-15    1.14603e-17
      1.21764    1.18249e-15    1.05104e-17
      1.22193    1.23819e-15    1.52455e-17
      1.22623    1.26917e-15    8.11688e-18
      1.23053    1.26878e-15    6.74038e-18
      1.23483    1.23168e-15    6.32878e-18
      1.23913    1.17760e-15    4.26647e-18
      1.24344    1.16692e-15    3.30999e-18
      1.24775    1.16235e-15    9.57687e-18
      1.25206    1.23556e-15    4.14154e-18
      1.25637    1.29471e-15    1.17633e-17
      1.26068    1.37766e-15    6.29950e-18
      1.26499    1.42101e-15    4.67131e-18
      1.26931    1.44611e-15    7.19622e-18
      1.27363    1.47878e-15    1.50543e-17
      1.27794    1.46490e-15    8.15881e-18
      1.28226    1.44235e-15    6.62720e-18
      1.28658    1.44288e-15    8.37382e-18
      1.29090    1.43432e-15    6.83084e-18
      1.29521    1.43730e-15    6.50356e-18
      1.29953    1.43587e-15    8.65212e-18
      1.30385    1.42038e-15    5.26497e-18
      1.30817    1.41974e-15    8.62543e-18
      1.31248    1.43411e-15    6.15762e-18
      1.31680    1.44481e-15    1.00632e-17
      1.32112    1.41893e-15    8.10532e-18
      1.32543    1.33946e-15    1.37868e-17
      1.32974    1.15672e-15    2.32747e-17
      1.33406    9.66777e-16    1.93209e-17
      1.33837    8.03977e-16    1.10936e-17
      1.34268    7.18492e-16    1.57999e-17
      1.34698    6.89089e-16    2.32688e-17
      1.35129    6.63018e-16    3.17986e-17
      1.35559    6.32787e-16    3.99665e-17
      1.35990    6.08922e-16    4.17090e-17
      1.36420    6.10292e-16    3.44258e-17
      1.36849    5.98304e-16    1.44323e-17
      1.37279    6.09929e-16    9.23667e-18
      1.37708    6.26642e-16    7.83849e-18
      1.38137    6.42872e-16    9.27149e-18
      1.38566    6.59500e-16    1.02603e-17
      1.38994    6.38855e-16    7.01489e-18
      1.39422    6.34965e-16    1.51422e-17
      1.39850    6.10862e-16    1.05557e-17
      1.40278    6.02663e-16    9.96685e-18
      1.40705    5.92043e-16    8.95301e-18
      1.41132    5.81251e-16    7.27652e-18
      1.41558    5.63903e-16    3.99266e-18
      1.41984    5.68888e-16    7.02416e-18
      1.42410    5.54523e-16    2.96507e-18
      1.42835    5.60534e-16    4.65368e-18
      1.43260    5.72705e-16    2.18191e-18
      1.43684    5.81114e-16    2.70554e-18
      1.44108    5.84694e-16    1.64190e-18
      1.44532    5.96481e-16    4.13897e-18
      1.44955    6.23402e-16    4.38995e-18
      1.45378    6.51815e-16    2.69983e-18
      1.45800    6.71280e-16    3.16342e-18
      1.46222    6.65959e-16    5.90209e-18
      1.46644    6.70507e-16    1.10749e-17
      1.47064    6.78370e-16    3.73786e-18
      1.47485    6.87974e-16    2.56272e-18
      1.47905    7.03911e-16    2.34175e-18
      1.48324    7.17843e-16    2.35584e-18
      1.48743    7.22182e-16    3.45731e-18
      1.49162    7.52695e-16    2.51813e-18
      1.49579    7.66076e-16    4.58940e-18
      1.49997    7.82016e-16    2.71030e-18
      1.50414    8.08345e-16    3.40090e-18
      1.50830    8.31533e-16    7.06784e-18
      1.51246    8.47346e-16    3.55858e-18
      1.51661    8.80328e-16    5.34481e-18
      1.52075    8.98287e-16    3.78404e-18
      1.52490    9.18878e-16    5.98558e-18
      1.52903    9.30372e-16    2.26148e-18
      1.53316    9.60613e-16    2.43614e-18
      1.53728    9.83924e-16    2.40496e-18
      1.54140    1.01298e-15    5.08592e-18
      1.54551    1.03342e-15    5.04782e-18
      1.54962    1.06378e-15    2.82765e-18
      1.55372    1.08660e-15    1.54192e-18
      1.55781    1.10249e-15    5.08277e-18
      1.56190    1.10607e-15    4.28930e-18
      1.56598    1.12380e-15    3.42572e-18
      1.57006    1.14842e-15    5.57080e-18
      1.57413    1.17432e-15    3.37712e-18
      1.57819    1.17268e-15    2.30703e-18
      1.58224    1.15622e-15    4.73721e-18
      1.58630    1.14832e-15    5.47781e-18
      1.59034    1.14722e-15    2.63277e-18
      1.59438    1.16966e-15    5.24246e-18
      1.59841    1.20514e-15    5.10794e-18
      1.60243    1.20735e-15    2.47266e-18
      1.60645    1.20711e-15    4.15455e-18
      1.61047    1.18714e-15    4.01333e-18
      1.61447    1.18668e-15    2.68884e-18
      1.61847    1.20950e-15    4.37653e-18
      1.62246    1.21486e-15    5.37061e-18
      1.62645    1.20485e-15    4.50160e-18
      1.63043    1.20889e-15    5.45593e-18
      1.63440    1.21501e-15    3.64068e-18
      1.63837    1.23680e-15    6.48346e-18
      1.64233    1.25482e-15    5.15508e-18
      1.64629    1.27544e-15    2.21298e-18
      1.65023    1.29342e-15    1.59428e-18
      1.65417    1.30504e-15    2.96662e-18
      1.65811    1.29989e-15    2.46806e-18
      1.66204    1.30176e-15    2.70558e-18
      1.66596    1.30194e-15    6.10617e-18
      1.66987    1.29513e-15    2.43321e-18
      1.67378    1.29828e-15    3.34206e-18
      1.67768    1.31363e-15    6.39601e-18
      1.68158    1.32795e-15    2.39868e-18
      1.68547    1.31789e-15    2.64369e-18
      1.68935    1.30653e-15    2.70120e-18
      1.69322    1.30742e-15    4.59370e-18
      1.69709    1.28668e-15    3.39615e-18
      1.70095    1.29395e-15    4.81524e-18
      1.70481    1.28133e-15    4.21149e-18
      1.70866    1.25643e-15    2.69124e-18
      1.71250    1.23144e-15    4.35200e-18
      1.71634    1.19047e-15    4.68361e-18
      1.72017    1.15504e-15    6.55953e-18
      1.72399    1.13223e-15    3.21589e-18
      1.72781    1.09872e-15    5.50993e-18
      1.73162    1.08082e-15    5.07405e-18
      1.73542    1.04480e-15    2.73630e-18
      1.73922    1.02533e-15    1.86766e-18
      1.74301    1.00296e-15    3.24834e-18
      1.74679    9.80395e-16    2.82324e-18
      1.75057    9.48580e-16    3.29034e-18
      1.75434    9.13379e-16    7.46228e-18
      1.75811    8.92031e-16    3.38683e-18
      1.76187    8.78039e-16    5.53728e-18
      1.76562    8.52400e-16    3.98034e-18
      1.76937    8.15980e-16    3.60363e-18
      1.77311    7.86064e-16    5.75895e-18
      1.77684    7.69135e-16    8.70094e-18
      1.78057    7.51642e-16    2.73348e-18
      1.78429    7.34379e-16    2.86816e-18
      1.78801    7.11357e-16    7.98586e-18
      1.79172    6.97187e-16    1.04941e-17
      1.79542    7.04170e-16    9.56038e-18
      1.79912    6.81500e-16    2.06587e-17
      1.80281    6.72513e-16    1.55105e-17
      1.80650    6.57895e-16    1.30164e-17
      1.81018    6.75214e-16    1.09436e-17
      1.81385    6.88290e-16    1.94772e-17
      1.81752    6.82850e-16    1.97255e-17
      1.82118    6.71208e-16    1.33942e-17
      1.82483    6.75750e-16    2.48607e-17
      1.82848    6.73264e-16    3.49347e-17
      1.83213    6.34681e-16    4.37141e-17
      1.83577    6.20419e-16    4.79108e-17
      1.83940    5.64470e-16    1.27987e-17
      1.84302    5.55697e-16    1.69026e-17
      1.84664    5.49705e-16    1.27014e-17
      1.85026    5.48578e-16    8.93468e-18
      1.85387    5.58959e-16    2.07353e-17
      1.85747    5.29167e-16    1.29249e-17
      1.86107    4.87451e-16    7.52168e-18
      1.86466    5.01474e-16    2.04878e-17
      1.86825    5.04132e-16    4.61597e-17
      1.87183    4.77274e-16    2.49655e-17
      1.87541    5.08555e-16    3.95013e-17
      1.87898    5.29441e-16    1.73972e-17
      1.88254    5.57613e-16    8.20680e-18
      1.88610    5.76936e-16    4.84621e-18
      1.88966    5.79685e-16    1.20010e-17
      1.89321    5.84585e-16    5.51111e-18
      1.89675    6.06546e-16    2.82053e-17
      1.90029    6.09380e-16    4.35971e-17
      1.90382    6.25982e-16    2.21900e-17
      1.90735    6.13851e-16    1.54022e-17
      1.91087    6.63775e-16    1.19063e-17
      1.91439    6.62962e-16    1.73800e-17
      1.91790    6.65731e-16    1.40117e-17
      1.92141    6.70566e-16    7.09073e-18
      1.92491    6.49191e-16    5.53455e-18
      1.92841    6.39763e-16    1.86037e-18
      1.93190    6.36041e-16    1.00071e-17
      1.93539    5.98924e-16    4.76461e-18
      1.93887    6.03083e-16    4.17424e-18
      1.94234    5.90692e-16    8.06499e-18
      1.94582    5.92552e-16    4.54712e-18
      1.94928    5.97384e-16    4.30643e-18
      1.95274    5.86520e-16    5.11549e-18
      1.95620    5.83922e-16    3.76482e-18
      1.95965    5.73448e-16    9.02584e-18
      1.96310    5.66477e-16    6.59694e-18
      1.96654    5.87979e-16    7.02552e-18
      1.96998    5.91814e-16    3.97366e-18
      1.97341    5.84443e-16    4.14206e-18
      1.97684    5.74999e-16    3.50207e-18
      1.98026    5.73780e-16    2.70528e-18
      1.98368    5.76122e-16    2.21527e-18
      1.98710    5.69953e-16    2.23852e-18
      1.99050    5.78694e-16    2.51582e-18
      1.99391    5.84247e-16    7.36384e-18
      1.99731    6.00829e-16    1.62284e-17
      2.00070    6.04871e-16    2.39372e-17
      2.00409    5.98635e-16    3.04386e-18
      2.00748    5.92666e-16    7.65210e-18
      2.01086    5.95402e-16    2.13547e-18
      2.01423    5.92014e-16    7.87753e-18
      2.01761    6.16691e-16    1.21656e-17
      2.02097    6.26752e-16    1.17576e-17
      2.02433    6.39506e-16    7.90722e-18
      2.02769    6.35444e-16    1.62302e-18
      2.03105    6.43363e-16    2.23676e-18
      2.03439    6.47834e-16    2.62360e-18
      2.03774    6.59286e-16    4.08666e-18
      2.04108    6.55432e-16    2.43367e-18
      2.04441    6.66454e-16    5.57873e-18
      2.04774    6.72503e-16    9.65505e-18
      2.05107    6.82016e-16    6.89710e-18
      2.05439    6.94339e-16    4.53753e-18
      2.05771    7.13162e-16    5.58661e-18
      2.06102    7.09722e-16    4.87666e-18
      2.06433    7.16910e-16    2.57127e-18
      2.06763    7.22562e-16    3.61564e-18
      2.07093    7.39281e-16    4.68229e-18
      2.07422    7.33286e-16    3.59483e-18
      2.07751    7.43507e-16    4.76686e-18
      2.08080    7.50543e-16    4.16638e-18
      2.08408    7.61014e-16    3.84422e-18
      2.08735    7.64321e-16    3.14802e-18
      2.09063    7.77724e-16    6.20376e-18
      2.09389    7.76794e-16    3.66039e-18
      2.09716    7.88419e-16    4.71120e-18
      2.10041    7.93554e-16    3.66989e-18
      2.10367    7.90628e-16    4.64872e-18
      2.10692    8.04803e-16    2.47180e-18
      2.11016    8.12951e-16    3.30596e-18
      2.11340    8.21076e-16    2.36547e-18
      2.11664    8.19313e-16    4.04902e-18
      2.11987    8.22003e-16    3.04332e-18
      2.12309    8.40142e-16    4.80969e-18
      2.12631    8.39957e-16    3.38499e-18
      2.12953    8.40516e-16    4.47665e-18
      2.13274    8.48266e-16    3.38116e-18
      2.13595    8.52802e-16    3.37569e-18
      2.13915    8.51534e-16    4.53114e-18
      2.14235    8.57124e-16    4.44700e-18
      2.14555    8.56507e-16    3.91447e-18
      2.14873    8.61173e-16    5.07559e-18
      2.15192    8.51411e-16    5.69099e-18
      2.15510    8.54402e-16    5.06621e-18
      2.15827    8.46104e-16    6.74331e-18
      2.16144    8.46191e-16    5.98405e-18
      2.16461    8.55272e-16    5.96545e-18
      2.16777    8.74102e-16    4.48208e-18
      2.17093    8.52832e-16    5.06096e-18
      2.17408    8.54158e-16    5.63937e-18
      2.17722    8.54868e-16    4.96380e-18
      2.18037    8.54165e-16    4.20932e-18
      2.18350    8.46911e-16    3.76219e-18
      2.18663    8.48985e-16    7.89392e-18
      2.18976    8.52416e-16    3.13316e-18
      2.19288    8.51696e-16    4.46261e-18
      2.19600    8.49380e-16    4.96153e-18
      2.19911    8.55217e-16    4.56662e-18
      2.20222    8.44995e-16    5.61013e-18
      2.20532    8.35160e-16    5.73726e-18
      2.20842    8.43697e-16    4.43761e-18
      2.21151    8.43131e-16    7.89034e-18
      2.21460    8.41936e-16    3.67097e-18
      2.21769    8.33631e-16    4.28218e-18
      2.22076    8.22938e-16    3.30480e-18
      2.22384    8.30932e-16    5.55813e-18
      2.22690    8.23251e-16    3.82524e-18
      2.22997    8.29837e-16    5.39449e-18
      2.23302    8.27163e-16    2.79762e-18
      2.23608    8.23907e-16    5.43481e-18
      2.23912    8.11413e-16    5.35791e-18
      2.24217    8.17433e-16    4.42775e-18
      2.24520    8.14522e-16    5.47668e-18
      2.24824    8.13447e-16    5.91726e-18
      2.25126    8.10390e-16    3.74156e-18
      2.25428    8.01967e-16    4.65786e-18
      2.25730    8.03665e-16    4.95649e-18
      2.26031    8.03708e-16    5.09669e-18
      2.26332    7.91923e-16    4.71492e-18
      2.26632    7.87693e-16    4.22224e-18
      2.26932    7.83051e-16    6.24742e-18
      2.27231    7.80660e-16    4.96910e-18
      2.27529    7.84671e-16    4.69571e-18
      2.27827    7.79981e-16    4.61878e-18
      2.28125    7.69129e-16    4.53869e-18
      2.28422    7.74165e-16    5.72175e-18
      2.28718    7.75230e-16    5.88618e-18
      2.29014    7.61613e-16    8.49107e-18
      2.29310    7.15466e-16    8.90911e-18
      2.29605    6.61448e-16    6.26592e-18
      2.29899    6.23677e-16    4.18684e-18
      2.30193    6.35831e-16    5.09071e-18
      2.30486    6.42897e-16    5.55115e-18
      2.30779    6.52782e-16    4.51447e-18
      2.31072    6.47479e-16    5.97279e-18
      2.31363    6.43462e-16    5.26297e-18
      2.31655    6.45669e-16    6.69902e-18
      2.31946    6.47821e-16    9.28035e-18
      2.32236    6.16539e-16    3.43633e-18
      2.32526    6.07769e-16    4.34811e-18
      2.32815    5.84642e-16    3.49032e-18
      2.33104    5.97250e-16    4.41803e-18
      2.33392    6.07104e-16    6.71198e-18
      2.33680    6.13245e-16    4.59639e-18
      2.33967    6.06687e-16    3.78604e-18
      2.34254    6.02439e-16    4.38262e-18
      2.34540    6.16264e-16    7.06304e-18
      2.34826    6.19993e-16    9.82190e-18
      2.35112    6.06858e-16    4.65214e-18
      2.35397    5.96144e-16    6.53387e-18
      2.35681    5.79937e-16    3.98945e-18
      2.35965    5.73246e-16    5.44221e-18
      2.36249    5.79547e-16    3.14736e-18
      2.36532    5.75031e-16    4.36495e-18
      2.36814    5.72446e-16    6.73536e-18
      2.37097    5.76405e-16    7.54284e-18
      2.37378    5.84185e-16    6.98130e-18
      2.37660    5.78780e-16    4.67068e-18
      2.37941    5.70608e-16    3.92901e-18
      2.38221    5.70152e-16    4.53044e-18
      2.38502    5.58510e-16    6.48861e-18
      2.38781    5.48792e-16    3.74418e-18
      2.39061    5.57737e-16    6.36293e-18
      2.39340    5.60843e-16    4.07355e-18
      2.39618    5.57303e-16    4.42920e-18
      2.39897    5.52900e-16    5.48663e-18
      2.40175    5.48820e-16    5.90637e-18
      2.40452    5.42321e-16    4.81263e-18
      2.40730    5.24801e-16    2.74651e-18
      2.41007    5.15210e-16    3.08818e-18
      2.41284    5.10250e-16    8.32017e-18
      2.41560    5.01879e-16    5.80455e-18
      2.41836    4.94178e-16    3.47719e-18
      2.42112    5.05972e-16    3.19994e-18
      2.42388    4.89919e-16    3.22675e-18
      2.42664    4.90972e-16    4.45039e-18
      2.42939    4.84736e-16    3.84163e-18
      2.43214    4.82012e-16    1.23999e-17
      2.43489    4.68727e-16    7.92629e-18
      2.43764    4.66250e-16    1.09364e-17
      2.44039    4.64324e-16    3.89826e-18
      2.44313    4.52710e-16    9.85393e-18
      2.44588    4.44930e-16    1.12269e-17
      2.44862    4.34559e-16    6.10260e-18
      2.45137    4.14683e-16    9.20740e-18
      2.45411    4.25287e-16    1.07498e-17
      2.45686    4.36613e-16    4.89437e-18
      2.45960    4.36185e-16    3.83071e-18
      2.46234    4.23496e-16    5.42143e-18
      2.46509    4.20757e-16    7.61163e-18
      2.46783    4.03320e-16    1.17937e-17
      2.47058    4.02137e-16    7.14899e-18
      2.47333    3.84705e-16    4.72151e-18
      2.47608    3.75340e-16    2.91321e-18
      2.47883    3.85546e-16    1.14297e-17
      2.48158    3.85560e-16    9.55541e-18
      2.48434    3.85328e-16    3.08932e-18
      2.48710    3.73033e-16    6.39068e-18
      2.48986    3.55938e-16    7.31623e-18
      2.49263    3.53055e-16    3.61719e-18
      2.49540    3.67342e-16    5.65234e-18
      2.49817    3.71500e-16    5.35605e-18
      2.50095    3.71824e-16    3.92335e-18
      2.50374    3.53801e-16    6.49777e-18
      2.50653    3.66781e-16    8.38734e-18
      2.50932    3.63599e-16    8.65673e-18
      2.51212    3.51402e-16    1.22433e-17
      2.51493    3.09493e-16    8.66585e-18
      2.51774    3.25138e-16    1.34651e-17
      2.52056    3.29199e-16    1.51926e-17
      2.52339    3.30115e-16    5.44381e-18
      2.52623    3.17893e-16    1.27953e-17
      2.52907    2.86245e-16    1.12281e-17
      2.53193    3.62404e-16    1.92027e-17
      2.53479    2.82576e-16    3.86946e-17
      2.53766    3.33099e-16    3.38910e-17
      2.54055    3.10316e-16    3.50331e-17
      2.54344    3.18119e-16    2.65015e-17
      2.54635    3.82730e-16    6.31252e-17
      2.54927    3.89618e-16    6.77554e-17
      2.55220    4.11272e-16    1.41032e-16
      2.55514    2.50824e-16    7.41893e-17
      2.55810    2.98103e-16    6.82361e-17
