SOURCE_KEY	NAME	RA	DEC	SDSS_RA	SDSS_RA_E	SDSS_DEC	SDSS_DEC_E	SDSS_DESIGNATION	SDSS_EPOCH	SDSS_R	SDSS_R_UNC	SDSS_I	SDSS_I_UNC	SDSS_Z	SDSS_Z_UNC	2MASS_RA	2MASS_RA_E	2MASS_DEC	2MASS_DEC_E	2MASS_DESIGNATION	2MASS_EPOCH	2MASS_J	2MASS_J_UNC	2MASS_H	2MASS_H_UNC	2MASS_KS	2MASS_KS_UNC	WISE_RA	WISE_RA_E	WISE_DEC	WISE_DEC_E	WISE_DESIGNATION	WISE_EPOCH	WISE_W1	WISE_W1_UNC	WISE_W2	WISE_W2_UNC	UKIDSS_RA	UKIDSS_RA_E	UKIDSS_DEC	UKIDSS_DEC_E	UKIDSS_DESIGNATION	UKIDSS_EPOCH	UKIDSS_Y	UKIDSS_Y_UNC	UKIDSS_J	UKIDSS_J_UNC	UKIDSS_H	UKIDSS_H_UNC	UKIDSS_K	UKIDSS_K_UNC
10398	WISE J044853.28-193548.6	72.222	-19.596834																			17.016	0.172	16.821	0.309	15.858																									
10399	2MASSI J0451009-340214	72.75383	-34.037498																			13.541	0.023	12.826	0.023	12.294	0.026																								
10400	LEHPM 2-59	73.041412	-22.752333																			15.52	0.05	15.25	0.08	14.76	0.11																								
10401	2MASSI J0453264-175154	73.360291	-17.865084																			15.142	0.035	14.06	0.035	13.466	0.035																								
10402	WISE J045746.08-020719.2	74.44175	-2.1216388																			14.897	0.04	14.198	0.046	14.022	0.055																								
10403	2MASS J04574903+3015195	74.454285	30.255417																			15.771	0.075	15.125	0.09	14.484	0.082																								
10404	WISEPC J045853.90+643451.9	74.724586	64.581085																			17.47	0.07	17.41	0.11																										
10405	WISE J04592121+1540592	74.838379	15.683111																			14.957	0.031	14.613	0.047	14.3	0.062																								
10406	WISE J050003.04-122343.2	75.012665	-12.395333																			17.782	0.496	18.132	0.121																										
10407	2MASS J05002100+0330501	75.087463	3.5139167																			13.669	0.024	12.683	0.023	12.062	0.024																								
10408	0501+0315 Background Source	75.25	3.25																			16.489	0.139	15.859		15.542	0.262																								
10409	LEHPM 2-77	75.315376	-33.685669																			16.047	0.072	15.436	0.083	15.478	0.226																								
10410	2MASS J05012406-0010452	75.35025	-0.17922223																			14.982	0.038	13.713	0.034	12.963	0.035																								
10411	2MASSI J0502134+144236	75.556038	14.710195																			14.271	0.025	13.392	0.021	12.955	0.029																								
10412	WISE J05044417+5915268	76.184044	59.257446																			15.284	0.047	14.65	0.038	14.323	0.065																								
10413	2MASS J05063725-3405090	76.653664	-34.084915																			16.361	0.125	16.061	0.187	16.217																									
10414	2MASS J05103520-4208140	77.64666	-42.137222																			16.222	0.087	16.237	0.156	15.996	0.283																								
10415	2MASS J05120636-2949540	78.026497	-29.831667																			15.463	0.057	14.156	0.048	13.285	0.042																								
10416	2MASSI J0512-2949-BS	78.026497	-29.831667																			15.463	0.057	14.156	0.048	13.285	0.042																								
10417	2MASS J05151593-0656262	78.816376	-6.9406114																			15.183	0.044	13.349	0.029	12.337	0.024																								
10418	2MASS J05160945-0445499	79.039375	-4.7638612																			15.984	0.079	15.721	0.165	15.486	0.204																								
10419	2MASS J05161597-3332046	79.066544	-33.534611																			15.879	0.056	14.801	0.052	13.987	0.047																								
10420	2MASS J05170548-4154413	79.272827	-41.911472																			13.456	0.023	12.734	0.027	12.266	0.023																								
10421	LEHPM 2-183	79.405373	-33.816471																			12.004	0.022	11.317	0.024	10.832	0.024																								
10422	2MASS J05184616-2756457	79.692337	-27.946028																			15.262	0.043	14.295	0.046	13.615	0.04																								
10423	2MASS J05185995-2828372	79.749794	-28.477001																			15.978	0.097	14.83	0.073	14.162	0.072																								
10424	WISE J052126.29+102528.4	80.358955	10.425778																			15.262		15.222	0.103	14.665																									
10425	2MASSI J0523382-140302	80.909248	-14.050611																			13.084	0.024	12.22	0.021	11.638	0.027																								
10426	WISE J052536.35+673952.6	81.401451	67.664612																			17.49	0.496	18.132	0.121																										
10427	2MASS J05262592-2615427	81.607994	-26.261862																			16.608	0.115	16.829	0.287	16.874																									
10428	2MASS J05264348-4455455	81.681168	-44.929306																			14.082	0.033	13.307	0.028	12.705	0.027																								
10429	0527-1813	81.896706	-18.227556																																																
10430	WISE J052857.68+090104.4	82.240379	9.017889																			16.26	0.11	15.44	0.12	14.97	0.11																								
10431	2MASS J05301261+6253254	82.552544	62.890392																			14.053	0.026	13.264	0.033	12.709	0.028																								
10432	0530+6253 Background Source	82.552544	62.890392																																																
10433	2MASS J05314149+6856293	82.922874	68.941475																			15.608	0.063	15.122	0.105	14.458	0.078																								
10434	2MASS J05341594-0631397	83.566422	-6.5276942																			16.081	0.089	15.43	0.123	15.031	0.126																								
10435	2MASS J0534584-151143	83.743332	-15.195278																			13.151		12.515		11.997																									
10436	2MASS J0536052+022832	84.021667	2.4755557																			15.619	0.088	15.376	0.105	14.993	0.124																								
10437	2MASS J05361998-1920396	84.083244	-19.344334																			15.768	0.075	14.693	0.071	13.854	0.062																								
10438	0536-1808	84.115128	-18.139694																																																
10439	2MASS J05363713-0328492	84.154709	-3.4803333																			14.175	0.03	13.553	0.036	13.077	0.035																								
10440	2MASS J05363776+1000232	84.157333	10.006444																			16.104	0.105	15.118	0.084	14.499	0.083																								
10441	2MASS J05381018-0554261	84.542412	-5.9072499																			15.862	0.062	14.714	0.043	14.156	0.051																								
10442	WISE J05394584-1241555	84.941002	-12.69875																			14.005	0.028	13.418	0.028	13.088	0.032																								
10443	SDSSp J053951.99-005902.0	84.966621	-0.98383337																			14.033	0.031	13.104	0.026	12.527	0.024																								
10444	Gliese 213	85.537369	12.490334																			7.124	0.021	6.627	0.018	6.389	0.016																								
10445	2MASS J05431887+6422528	85.828629	64.381332																			13.567	0.031	12.669	0.032	12.05	0.023																								
10446	2MASS J05441150-2433010	86.04792	-24.550278																			12.532	0.022	11.874	0.026	11.463	0.024																								
10447	0546-0845	86.5	-8.75																																																
10448	WISE J054601.19-095947.5	86.504951	-9.9965277																			16.18	0.09	16.27	0.22	15.47																									
10449	2MASS J05460407-0003228	86.516953	-0.056333333																			16.166	0.081	15.019	0.07	14.443	0.088																								
10450	WISE J05500794+1610519	87.533081	16.181082																			14.441	0.026	13.49	0.027	12.836	0.027																								
10451	DENIS J055146.0-443412.2B	87.941833	-44.570221																			15.794	0.08	15.198	0.101	14.869	0.109																								
10452	DENIS J055146.0-443412.2A	87.941833	-44.570221																			15.794	0.08	15.198	0.101	14.869	0.109																								
10453	WISE J05555521+0756208	88.980042	7.9391112																			15.349	0.055	14.706	0.05	14.244	0.065																								
10454	2MASS J0557410-133326	89.42083	-13.557222																			16.942	0.22	15.466	0.131	14.7	0.115																								
10455	2MASS J0557422-133315	89.425827	-13.554167																			16.154	0.097	14.678	0.072	13.844	0.069																								
10456	2MASS J05575096-1359503	89.462326	-13.997306																			12.871	0.023	12.145	0.027	11.732	0.023																								
10457	2MASS J0558370-133912	89.654167	-13.653333																			16.381	0.116	14.899	0.077	14.073	0.068																								
10458	APMPM 0559-2903	89.745461	-29.057415																			14.887	0.035	14.453	0.036	14.458	0.071																								
10459	2MASS J05591914-1404488	89.829758	-14.080222																			13.802	0.024	13.679	0.044	13.577	0.052																								
10460	2MASS J06020638+4043588	90.526588	40.733002																			15.544	0.067	15.592	0.137	15.166	0.162																								
10461	2MASS J06022216+6336391	90.592331	63.610859																			14.266	0.03	13.357	0.03	12.683	0.023																								
10462	LSR 0602+3910	90.626869	39.183113																			12.3	0.022	11.451	0.021	10.865	0.02																								
10463	0604-0701	91.090874	-7.0298615																																																
10464	2MASS J06050190-2342260	91.257919	-23.707224																			14.512	0.035	13.727	0.036	13.145	0.031																								
10465	WISE J06052422-0956060	91.350922	-9.9350004																			15.128	0.036	14.498	0.044	14.149	0.065																								
10466	WISE J060738.65+242953.5	91.911041	24.498196																			14.22	0.03	13.04	0.03	12.47	0.02																								
10467	WISE J06074213+4550370	91.925545	45.843609																			14.942	0.035	14.034	0.034	13.329	0.027																								
10468	LSPM J0607+3445	91.990959	34.756363																			15.751	0.07	15.234	0.119	15.006	0.124																								
10469	2MASS J06085283-2753583	92.220123	-27.899529																			13.595	0.028	12.897	0.026	12.371	0.026																								
10470	LHS 1826	92.490997	69.912781																			15.827	0.079	15.539	0.117	15.362	0.18																								
10471	Gliese 229A	92.644249	-21.864473																			5.104	0.037	4.393	0.254	4.166	0.232																								
10472	WISE J061135.13-041024.0	92.896378	-4.1733332																			15.489	0.055	14.645	0.048	14.221	0.07																								
10473	SIPS J0614-2019	93.549828	-20.321695																			14.783	0.028	13.901	0.024	13.375	0.037																								
10474	2MASS J0614453+650437	93.688744	65.076942																			15.759	0.077	15.157	0.099	15.159	0.153																								
10475	DENIS-P J0615493-010041	93.955589	-1.0115278																			13.754	0.027	12.984	0.023	12.541	0.026																								
10476	2MASS J06160532-4557080 (background source)	94.022171	-45.952225																			15.157		14.259		13.598																									
10477	2MASS J06195260-2903592	94.96917	-29.066444																																																
10478	LHS 217	95.311829	65.971222																			12.196	0.025	11.705	0.026	11.489	0.016																								
10479	WISE J062309.94-045624.6	95.791412	-4.940167																			17.51	0.1	17.31	0.11	17.8	0.22																								
10480	2MASS J06235243+5137023	95.96846	51.617302																			13.414	0.026	12.765	0.026	12.31	0.026																								
10481	WISE J062442.37+662625.6	96.176544	66.440445																			13.41	0.05	12.77	0.05	12.27	0.03																								
10482	2MASS J06244400-1045064	96.183334	-10.751778																			13.243	0.027	11.285	0.023	10.425	0.019																								
10483	2MASS J06244595-4521548	96.191458	-45.365194																			14.48	0.029	13.335	0.028	12.595	0.026																								
10484	SDSS J062621.22+002934.2	96.588379	0.49280554																			15.925	0.094	15.209	0.121	14.86	0.123																								
10485	WISE J062720.07-111428.0	96.833626	-11.241112																			15.487	0.052	15.441	0.075	15.432	0.181																								
10486	2MASS J06283378-0959026	97.140747	-9.9840555																			13.408	0.027	11.764	0.022	11.096	0.024																								
10487	WISE J062905.13+241804.9	97.27137	24.301361																			16.34	0.13	15.47	0.15	15.13	0.15																								
10488	2MASS J06411840-4322329	100.32663	-43.375805																			13.751	0.026	12.941	0.034	12.451	0.029																								
10489	DENIS-P J0652197-253450	103.08237	-25.580696																			12.759	0.023	12.02	0.021	11.516	0.021																								
10490	PSO J103.0927+41.4601	103.09271	41.460056																			15.48	0.06	14.46	0.05	13.89	0.05																								
10491	2MASSI J0652307+471034	103.12804	47.176334																			13.511	0.023	12.384	0.024	11.694	0.02																								
10492	SDSS J065405.63+652805.4	103.52351	65.468086																			16.138	0.089	15.196	0.083	14.603	0.082																								
10493	WISE J065609.59+420531.9	104.03996	42.092194																			15.446	0.049	14.874	0.049	14.831	0.096																								
10494	2MASS J0656165+333758	104.06875	33.632774																			15.985	0.079	15.828	0.127	15.103	0.109																								
10495	LEHPM 2-461	104.79213	-47.78339																			13.642	0.026	13.092	0.034	12.718	0.026																								
10496	2MASS J07003664+3157266	105.15266	31.95739																			12.923	0.023	11.947	0.016	11.317	0.023																								
10497	V838 Mon	106.0202	-3.8475277																			13.873	0.047	13.51	0.063	13.333	0.06																								
10498	LEHPM 2-436	106.97221	-49.015945																			13.228	0.026	12.538	0.03	12.105	0.026																								
10499	2MASSW J0708213+295035	107.08884	29.843056																			16.716	0.12	15.562	0.109	14.765	0.087																								
10500	2MASS J0711117+415232	107.79875	41.875553																			15.922	0.106	15.693	0.163	15.011	0.116																								
10501	LSPM J0713+2151	108.31521	21.852417																			14.26	0.029	13.741	0.039	13.543	0.035																								
10502	WISE J07155238-1145329	108.96825	-11.759139																			14.301	0.038	13.487	0.048	12.805	0.041																								
10503	DENIS-P J0716478-063037	109.19958	-6.5102501																			13.899	0.035	13.068	0.029	12.565	0.037																								
10504	2MASSW J0717163+570543	109.31775	57.095276																			14.636	0.032	13.593	0.03	12.945	0.026																								
10505	Gliese 270	109.88025	32.830055																			7.184	0.02	6.541	0.034	6.376	0.02																								
10506	WISE J07200320-0846513	110.01354	-8.7805271																			10.628	0.023	9.919	0.024	9.467	0.019																								
10507	2MASS J0720341-490235	110.14209	-49.043056																			15.284	0.063	15.036	0.126	14.55	0.11																								
10508	LSPM J0721+0308	110.34483	3.1469445																			15.686	0.058	15.104	0.08	14.962	0.129																								
10509	UGPS J072227.51-054031.2	110.61496	-5.6773052																			16.489	0.128	16.147	0.205																										
10510	2MASS J07231462+5727081	110.81091	57.452251																			13.97	0.026	13.156	0.03	12.613	0.03																								
10511	LSR 0723+0316	110.92937	3.2727222																			14.543	0.033	14.12	0.041	13.878	0.044																								
10512	2MASS J0725509+475632	111.46208	47.942223																			15.946	0.096	15.922	0.177	15.186	0.143																								
10513	2MASSI J0727182+171001	111.826	17.167																			15.6	0.061	15.756	0.171	15.556	0.194																								
10514	GJ 2060	112.21221	-30.265612																			6.615	0.024	5.97	0.036	5.716	0.02																								
10515	2MASS J07290002-3954043	112.25008	-39.901196																			15.92	0.077	15.979	0.183	15.29																									
10516	TYC 6542-620-1	112.98433	-26.141001																			11.565	0.026	11.359	0.025	11.319	0.024																								
10517	SDSS J07325801+29164400	113.24171	29.278833																			15.758	0.054	14.985	0.054	14.579	0.07																								
10518	LSPM J0734+5810	113.52091	58.180111																			15.657	0.071	15.142	0.12	15.041	0.13																								
10519	SDSS J07342570+30065792	113.60712	30.116196																			15.129	0.041	14.383	0.056	14.081	0.059																								
10520	SDSS J07351959+4108503	113.83163	41.147308																			15.78	0.073	15.248	0.09	14.853	0.101																								
10521	2MASS J07354882+2720167	113.95342	27.337973																			16.9																													
10522	SDSS J073922.26+661503.5	114.84179	66.251083																			16.823	0.128	15.998	0.098	15.831	0.183																								
10523	2MASSW J0740096+321203	115.04021	32.20089																			16.191	0.091	14.862	0.059	14.222	0.059																								
10524	SDSS J074149.15+235127.5	115.455	23.857639																			16.158	0.101	15.838	0.185	15.847																									
10525	2MASS J07415784+0531568	115.491	5.532444																			14.379	0.035	13.563	0.023	13.062	0.033																								
10526	SDSS J074201.41+205520.5	115.50541	20.922167																			16.193	0.091	15.911	0.181	15.225																									
10527	WISE J07421169-1211516	115.54871	-12.197667																			12.629	0.025	12.073	0.022	11.913	0.024																								
10528	2MASSI J0746425+200032	116.67733	20.008917																			11.759	0.02	11.007	0.022	10.468	0.022																								
10529	SDSS J074756.31+394732.9	116.98463	39.792473																			15.076	0.041	14.163	0.039	13.724	0.045																								
10530	SDSS J074838.61+174332.9	117.16088	17.725805																			16.27	0.11	15.18	0.09	14.42	0.09																								
10531	SDSS J07500493+3306179	117.52063	33.105																			16.141	0.074	15.365	0.082	15.195	0.125																								
10532	SDSS J075054.74+445418.7	117.72771	44.904503																			15.13	0.06	14.46	0.06	14.25	0.07																								
10533	DENIS-P J0751164-253043	117.81854	-25.511999																			13.161	0.024	12.495	0.023	11.991	0.024																								
10534	LSPM J0752+1809	118.08784	18.15786																			15.432	0.048	14.955	0.063	14.736	0.084																								
10535	NLTT 18549	118.09959	16.204361																			10.879	0.022	10.197	0.022	9.846	0.019																								
10536	SDSS J075259.43+413634.6	118.24759	41.609554																			16.356	0.131	15.601	0.16	15.191																									
10537	2MASSI J0753321+291711	118.384	29.286638																			15.516	0.048	14.527	0.04	13.849	0.043																								
10538	2MASSI J0755480+221218	118.94979	22.204695																			15.728	0.064	15.669	0.145	15.753	0.207																								
10539	2MASSI J0756252+124456	119.10534	12.748889																			16.659	0.139	15.758	0.15	14.73	0.115																								
10540	2MASS J07575274+0914103	119.46974	9.2361946																			15.86	0.082	14.832	0.066	14.087	0.059																								
10541	HIP 38939B	119.50671	-25.650389																			16.12	0.08	15.8	0.12	15.86																									
10542	SDSS J075840.33+324723.4	119.66821	32.790138																			14.947	0.044	14.111	0.042	13.879	0.057																								
10543	0759+0319 Background Source	119.75	3.3166666																			16.034	0.075	15.539	0.101	15.415	0.173																								
10544	SDSS J080048.13+465825.5	120.20063	46.973778																			15.513	0.07	14.549	0.058	14.315	0.078																								
10545	2MASSW J0801405+462850	120.419	46.480499																			16.275	0.134	15.452	0.142	14.536	0.1																								
10546	2MASS J08041429+0330474	121.05954	3.5131667																			13.689		12.968		12.44																									
10547	SDSS J080531.84+481233.0	121.38287	48.209167																			14.734	0.036	13.917	0.041	13.444	0.041																								
10548	WISE J080700.23+413026.8	121.75096	41.507446																			15.84	0.09	14.78	0.07	14.35	0.08																								
10549	0808+0226	122	2.4333334																			16.486	0.15	15.762	0.153	15.496	0.239																								
10550	SDSS J080959.01+443422.2	122.49596	44.572666																			16.437	0.114	15.184	0.098	14.417	0.059																								
10551	SDSS J081058.60+142038.1	122.74416	14.343916																			12.73				11.59																									
10552	SDSS J081110.30+185527.9	122.79333	18.924444																			14.478	0.027	13.662	0.031	13.187	0.03																								
10553	DENIS-P J0812316-244442	123.13208	-24.745083																			13.817	0.029	12.929	0.027	12.391	0.024																								
10554	0815+1041 Background Source	123.75	10.683333																																																
10555	SDSS J08175749+1824050	124.48955	18.401388																			15.09	0.04	14.29	0.04	13.82	0.03																								
10556	SDSS J08181228+3310482	124.55117	33.180058																			15.99	0.09	15.37	0.11	15.06	0.14																								
10557	2MASS J0818332-003628	124.63855	-0.60783339																			16.604	0.157	15.36	0.098	14.472																									
10558	2MASS J08192194-1243593	124.84141	-12.733138																			15.549	0.05	15.193	0.096	15.145	0.18																								
10559	IY Pup	124.84666	-28.252417																			6.314	0.021	5.393	0.027	4.947	0.018																								
10560	SDSS J081946.02+165853.9	124.94174	16.98164																			13.789	0.024	13.104	0.029	12.624	0.021																								
10561	WISE J081958.05-033528.5	124.99187	-3.5912499																			14.991	0.044	14.638	0.057	14.586	0.105																								
10562	2MASSW J0820299+450031	125.12482	45.008751																			16.279	0.108	15	0.087	14.218	0.066																								
10563	SDSS J082030.12+103737.0	125.12553	10.627																			16.98	0.185	16.079	0.191	15.538	0.19																								
10564	WISE J08211048+6007342	125.29368	60.126163																			15.319	0.054	14.605	0.046	14.18	0.048																								
10565	WISE J082131.64+144319.2	125.38184	14.721999																			16.825	0.155	16.515	0.24	17.089																									
10566	LSR 0822+1700	125.64038	17.005527																			15.868	0.076	15.775	0.12	15.45	0.194																								
10567	DENIS J0823031-491201	125.76305	-49.200333																			13.547	0.026	12.636	0.021	12.062	0.023																								
10568	2MASS J08230838+6125208	125.78487	61.422417																			14.82	0.036	13.814	0.037	13.196	0.029																								
10569	2MASS J08234818+2428577	125.95074	24.482695																			14.986	0.043	14.06	0.044	13.377	0.03																								
10570	2MASSI J0825196+211552	126.332	21.264473																			15.1	0.034	13.792	0.032	13.028	0.026																								
10571	SDSS J08264265+19392195	126.67758	19.656221																			14.777	0.032	14.009	0.034	13.581	0.034																								
10572	SSSPM 0829-1309	127.14246	-13.155499																			12.803	0.03	11.851	0.021	11.297	0.021																								
10573	2MASSW J0829066+145622	127.27767	14.939584																			14.75	0.03	13.801	0.036	13.166	0.033																								
10574	GJ 1111	127.45621	26.776333																			8.235	0.021	7.617	0.018	7.26	0.024																								
10575	2MASSW J0829570+265510	127.48775	26.919416																			17.109	0.186	15.807	0.129	14.959	0.095																								
10576	SDSSp J083008.12+482847.4	127.53438	48.480057																			15.444	0.048	14.343	0.036	13.676	0.038																								
10577	2MASS J08303256+0947150	127.63567	9.7875004																			11.89	0.022	11.165	0.021	10.756	0.023																								
10578	SDSS J083048.80+012831.1	127.70325	1.4753056																			16.289	0.111	16.14	0.213	16.358																									
10579	LHS 2023	127.71505	36.21603																			14.907	0.036	14.536	0.051	14.338	0.059																								
10580	2MASS J08315564+1025466	127.98183	10.429611																			13.621	0.029	12.963	0.024	12.45	0.028																								
10581	2MASSW J0832045-012835	128.0188	-1.4766667																			14.128	0.03	13.318	0.023	12.712	0.027																								
10582	WISE J083450.79+642526.1	128.71162	64.423912																			15.63	0.07	15.12	0.1	14.58	0.09																								
10583	SDSS J083506.16+195304.4	128.77591	19.884722																			16.094	0.075	14.889	0.057	14.319	0.049																								
10584	2MASS J08352366+1029318	128.84857	10.492167																			13.137	0.023	12.49	0.033	12.045	0.021																								
10585	2MASSI J0835425-081923	128.92732	-8.3232498																			13.169	0.024	11.938	0.024	11.136	0.021																								
10586	SDSS J08354533+2224308	128.93904	22.408611																			15.735	0.056	14.927	0.06	14.447	0.068																								
10587	2MASS J08355829+0548308	128.99287	5.8085556																			14.533	0.036	13.683	0.037	13.168	0.034																								
10588	0836+4301	129	43.016666																			16.844	0.209	16.188	0.247	15.929	0.275																								
10589	SDSS J08362199+4949315	129.09163	49.825417																			15.42	0.06	14.64	0.07	14.54	0.12																								
10590	SDSS J08364634+0526426	129.19313	5.4451666																			14.576	0.037	13.905	0.037	13.287	0.034																								
10591	SDSSp J083717.22-000018.3	129.32158	-0.004972222																			17.101	0.214	15.988	0.173	15.674																									
10592	2MASS J08391608+1253543	129.817	12.898417																			13.748	0.024	13.089	0.026	12.589	0.023																								
10593	LHS 2034	130.12396	18.402527																			11.053	0.022	10.419	0.023	10.046	0.018																								
10594	LHS 2307	130.24684	-23.456472																			7.934	0.027	7.321	0.071	7.028	0.02																								
10595	SDSS J08410685+6035063	130.27853	60.585083																			15.94	0.09	15.03	0.1	14.69	0.09																								
10596	SDSS J08430794+3141292	130.78308	31.691444																			15.99	0.1	15.22	0.12	14.65	0.11																								
10597	SDSS J08433328+1024435	130.88867	10.412083																			14.87	0.04	14.09	0.04	13.67	0.04																								
10598	0844+5532 Background Source	131	55.533333																																																
10599	SDSS J084403.46+043436.19	131.01442	4.5766945																			13.46	0.02	12.83	0.03	12.41	0.03																								
10600	LSPM J0846+1421	131.7188	14.363361																			15.759	0.07	15.181	0.106	15.315	0.143																								
10601	2MASSI J0847287-153237	131.86967	-15.543667																			13.513	0.026	12.629	0.027	12.061	0.023																								
10602	SDSS J08475148+0138110	131.96451	1.6363889																			16.23	0.13	15.12	0.1	14.41	0.08																								
10603	2MASS J08490052+0220155	132.25217	2.3376389																			12.933	0.024	12.299	0.021	11.906	0.026																								
10604	NLTT20346A	132.57993	10.945444																			11.282	0.023	10.675	0.022	10.407	0.02																								
10605	NLTT20346B	132.57993	10.945444																			11.282	0.023	10.675	0.022	10.407	0.02																								
10606	2MASSs J0850359+105716	132.6497	10.954333																			16.465	0.113	15.221	0.093	14.473	0.066																								
10607	SDSS J085116.20+181730.0	132.81779	18.291721																			16.567	0.121	15.948	0.154	14.968	0.105																								
10608	2MASS J08514509-0005360	132.93788	-0.093333334																			15.991	0.088	15.292	0.078	15.431	0.234																								
10609	WISE J08522436+5139255	133.1015	51.657085																			13.984	0.024	13.452	0.032	13.114	0.022																								
10610	SDSS J085234.90+472035.0	133.14542	47.343304																			16.182	0.109	15.419	0.146	14.718	0.116																								
10611	2MASS J08524613-0316138	133.1922	-3.2704999																			16.211	0.087	15.677	0.106	15.016	0.149																								
10612	2MASS J08533434-0329432	133.39308	-3.4953334																			15.041	0.047	14.623	0.05	14.525	0.082																								
10613	LHS 255	133.78172	1.5464444																			7.191	0.027	6.523	0.018	6.352	0.026																								
10614	2MASS J08555311-0259215	133.97128	-2.9893055																			9.389	0.023	8.489	0.034	8.017	0.02																								
10615	2MASSI J0856479+223518	134.19971	22.58839																			15.679	0.065	14.58	0.053	13.951	0.046																								
10616	SDSSp J085758.45+570851.4	134.4937	57.147614																			15.038	0.04	13.79	0.042	12.962	0.03																								
10617	SDSS J085834.42+325627.7	134.64444	32.940971																			16.453	0.115	15.382	0.101	14.756	0.095																								
10618	SDSS J08583697+2710508	134.65404	27.180777																			15.05	0.05	14.23	0.05	13.66	0.05																								
10619	2MASSI J0859254-194926	134.85509	-19.824417																			15.527	0.054	14.436	0.042	13.751	0.058																								
10620	2MASS J08593854+6341355	134.9106	63.693195																			13.701	0.029	12.89	0.03	12.387	0.026																								
10621	2MASS J08594029+1145325	134.91788	11.759027																			12.743	0.025	12.03	0.031	11.494	0.019																								
10622	LHS 2090	135.0983	21.834833																			9.436	0.02	8.836	0.023	8.437	0.021																								
10623	SDSS J09002368+2539343	135.09866	25.659527																			16.43	0.11	15.41	0.12	14.66	0.08																								
10624	SDSS J090206.90+003319.36	135.52876	0.55536115																			12.11	0.02	11.54	0.02	11.16	0.02																								
10625	SAO 98323	135.88371	14.381028																			5.636	0.03	4.812	0.034	4.483	0.017																								
10626	LSPM J0904+4638	136.09587	46.638668																			16.096	0.079	15.573	0.108	15.44	0.157																								
10627	2MASS J09054654+5623117	136.44391	56.386585																			15.395	0.052	14.284	0.041	13.73	0.037																								
10628	2MASS J09061061-1849005	136.5442	-18.816807																			14.371	0.032	13.676	0.03	13.172	0.034																								
10629	2MASSI J0908380+503208	137.15846	50.535778																			14.549	0.023	13.477	0.03	12.945	0.027																								
10630	SDSS J090900.73+652527.2	137.25354	65.424301																			16.034	0.086	15.214	0.097	15.171	0.151																								
10631	SDSS J09094813+1940439	137.45053	19.67886																			14.73	0.03	13.93	0.03	13.44	0.03																								
10632	DENIS-P J0909-0658	137.48953	-6.9718332																			13.89	0.024	13.09	0.021	12.539	0.026																								
10633	Gl 337CD	138.0612	14.994333																			15.512	0.078	14.621	0.081	14.043	0.063																								
10634	2MASS J09140317+5228504	138.51321	52.480667																			14.907	0.039	14.117	0.044	13.747	0.04																								
10635	2MASS J09153413+0422045	138.89221	4.3679166																			14.548	0.03	13.531	0.032	13.011	0.041																								
10636	2MASS J09161504+2139512	139.06267	21.664223																			13.223	0.024	12.517	0.028	12.074	0.025																								
10637	2MASS J09162684+0628393	139.11183	6.4775834																			16.253	0.139	16.286	0.255	15.711																									
10638	WISE J09165718-1121047	139.23825	-11.351306																			14.095	0.026	13.469	0.027	13.004	0.024																								
10639	2MASS J09171104-1650010	139.29601	-16.833612																			14.984	0.052	14.403	0.028	14.11	0.061																								
10640	2MASS J09175418+6028065	139.47575	60.468472																			17.2																													
10641	2MASSW J0918382+213406	139.65892	21.568279																			15.662	0.061	14.58		13.903	0.043																								
10642	2MASSW J0920122+351742	140.05095	35.29525																			15.625	0.063	14.673	0.057	13.979	0.061																								
10643	WISE J092055.40+453856.3	140.23082	45.648975																			15.22	0.05	14.16	0.05	13.73	0.05																								
10644	2MASS J09211410-2104446	140.30876	-21.079056																			12.779	0.024	12.152	0.021	11.69	0.023																								
10645	2MASS J09212898-0339410	140.37076	-3.6613889																			16.464	0.131	16.534	0.294	15.9																									
10646	2MASS J09230296-2300415	140.76233	-23.011528																			10.903	0.024	10.497	0.026	10.349	0.019																								
10647	SDSS J09230870+2340137	140.78625	23.670471																			13.85	0.03	13.16	0.03	12.81	0.02																								
10648	LSPM J0923+2654	140.94879	26.907999																			16.451	0.129	16.09	0.181	16.163																									
10649	2MASS J09243114+2143536	141.12975	21.731556																			15.679	0.057	15.08	0.086	14.837	0.082																								
10650	SDSSp J092615.38+584720.9	141.56404	58.789223																			15.897	0.065	15.307	0.095	15.45	0.186																								
10651	2MASS J09264992+5230435	141.70799	52.512085																			16.8																													
10652	2MASSW J0928397-160312	142.1655	-16.053555																			15.322	0.043	14.292	0.037	13.615	0.051																								
10653	2MASSW J0929336+342952	142.39017	34.497971																			16.601	0.125	15.44	0.103	14.644	0.104																								
10654	SDSS J093109.56+032732.5	142.78979	3.4591944																			16.615	0.138	16.273	0.243	15.738																									
10655	SDSS J09311323+2802271	142.80513	28.040861																			14.98	0.03	14.26	0.04	13.73	0.04																								
10656	SDSS J093128.22+052821.93	142.86758	5.4727502																			12.86	0.03	12.23	0.02	11.8	0.02																								
10657	SDSS J09323747+6725145	143.15613	67.420692																			15.91	0.09	15.37	0.13	14.99	0.12																								
10658	2MASS J09340617+0536234	143.52571	5.6064997																			15.574	0.062	15.142	0.067	14.761	0.127																								
10659	2MASS J09351549+0019103	143.81454	0.31952778																			16.466	0.15	16.268	0.198	16.613																									
