SOURCE_KEY	NAME	DESIGNATION	RA	DEC	DISCOVERY_REFERENCE	OPT_TYPE	OPT_TYPE_REF	NIR_TYPE	NIR_TYPE_REF	LIT_TYPE	LIT_TYPE_REF	OBJECT_TYPE	J_2MASS	J_2MASS_E	H_2MASS	H_2MASS_E	KS_2MASS	KS_2MASS_E	JK_EXCESS	COLOR_EXTREMITY	LUMINOSITY_CLASS	METALLICITY_CLASS	GRAVITY_CLASS_OPTICAL	GRAVITY_CLASS_OPTICAL_REF	GRAVITY_CLASS_NIR	GRAVITY_CLASS_NIR_REF	CLUSTER	CLUSTER_REF	LIBRARY	BINARY	BINARY_REF	SBINARY	SBINARY_REF	COMPANION_NAME	COMPANION_REF	SIMBAD_OTYPE	SIMBAD_NAME	SIMBAD_SPT	SIMBAD_SPT_REF	SIMBAD_SEP	PARALLAX	PARALLAX_E	PARALLEX_REF	DISTANCE_PHOT	DISTANCE_PHOT_E	DISTANCE	DISTANCE_E	MU	MU_E	MU_RA	MU_DEC	MU_REF	VTAN	VTAN_E	RV	RV_E	RV_REF	VSINI	VSINI_E	VSINI_REF	NOTE
10663	2MASS J09384022-2748184	J09384022-2748184	144.66759	-27.805111	2010ApJS..190..100K			M7.5	2010ApJS..190..100K	M7.5	2010ApJS..190..100K	VLM	12.992	0.022	12.326	0.021	11.878	0.021	0.03						INT-G	SPL										brownD*	2MASS J09384022-2748184	M8:	2008AJ....136.1290R									439.73	26.25	-408	-164	2009AJ....137....1F									
10664	SDSS J09385888+0443439	J09385888+0443439	144.74533	4.7288613	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0	2010AJ....139.1808S	VLM	15.24	0.05	14.5	0.05	14	0.07	0.08						FLD-G	SPL										brownD*	2MASS J09385888+0443438	L0	2010MNRAS.404.1817Z									39.85	15.56	-12	-38	2010MNRAS.404.1817Z									
10665	2MASS J09393548-2448279	J09393548-2448279	144.89783	-24.807749	TIN05A			T8	2006ApJ...637.1067B	T8	2006ApJ...637.1067B	VLM	15.98	0.106	15.797	0.15	16.556		-0.81	BLUE									binary	Y						brownD*	2MASS J09393548-2448279	T8	2009AJ....137....1F		196	10.4	2012ApJ...752...56F			5.102	0.271	1171.92	8.06	558.1	-1030.5	2012ApJ...752...56F	28.34142733	1.51641758							
10666	2MASS J09395909-3817217	J09395909-3817217	144.9962	-38.28936	2010ApJS..190..100K			M7:	2010ApJS..190..100K	M7:	2010ApJS..190..100K	VLM	15.09	0.042	14.47	0.043	14.075	0.062	-0.17						VL-G	SPL										Star	2MASS J09395909-3817217	M7:	2010ApJS..190..100K									460	60.21	-390.1	243.76	2010ApJS..190..100K									
10667	SDSS J09404788+2946530	J09404788+2946530	145.19951	29.781389	2010AJ....139.1808S	L1	2010AJ....139.1808S			L1	2010AJ....139.1808S	VLM	15.29	0.07	14.34	0.06	13.92	0.05	0.13						FLD-G	SPL										brownD*	2MASS J09404793+2946534	L1	2010AJ....139.1808S									148.13	32.31	-125.3	-79	2010AJ....139.1808S									
10668	2MASS J0941115+425403	J09411157+4254031	145.2982	42.900864	2007AJ....133..439C	M5	2007AJ....133..439C			M5	2007AJ....133..439C	VLM	16.711	0.175	15.491	0.136	14.639		-0.03																	brownD*	2MASSI J0941115+425403	M5																							
10669	SDSS J09413492+1009421	J09413492+1009421	145.39549	10.161695	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0	2010AJ....139.1808S	VLM	14.58	0.02	13.78	0.03	13.37	0.04	0.04						INT-G	SPL										brownD*	2MASS J09413492+1009428	L0	2008AJ....135..785W									280.85	22.63	-57	-275	2010MNRAS.404.1817Z									
10670	2MASSW J0944027+313132	J09440279+3131328	146.01163	31.525778	2000AJ....120..447K	L2	2000AJ....120..447K			L2	2000AJ....120..447K	VLM	15.495	0.048	14.629	0.047	14.007	0.042	0.13						FLD-G	SPL										brownD*	2MASSW J0944027+313132	L2V	2000AJ....120..447K									54.2	20.62	43	-33	2008MNRAS.384.1399J									
10671	2MASS 09474477+0224327	J09474477+0224327	146.93654	2.4090834	2008AJ....136.1290R	M8:	2008AJ....136.1290R			M8:	2008AJ....136.1290R	VLM	13.174	0.026	12.485	0.024	12.079	0.027	-0.01						INT-G	SPL																																			
10672	2MASS J09490860-1545485	J09490860-1545485	147.28583	-15.763473	TIN05A			T2	2006ApJ...637.1067B	T2	2006ApJ...637.1067B	VLM	16.149	0.117	15.262	0.114	15.227	0.168	-0.19										binary	Y						brownD*	2MASS J09490860-1545485	T2	2006ApJ...637.1067B		55.3	6.6	2012ApJ...752...56F			18.083	2.158	98.5	4.1	-98.1	8.9	2012ApJ...752...56F	8.443105145	1.067233253							
10673	LSPM J0949+1746	J09491734+1746558	147.32225	17.782166				sdM4	BURGASSER-NP	sdM4	BURGASSER-NP	VLM	15.26	0.056	14.728	0.079	14.579	0.087				sd							subdwarf							PM*	NLTT 22677	M2V	2011AJ....141...97W									355.88		-173	-311	2005AJ....129.1483L			-22		2011AJ....141...97W				
10674	LHS 2195	J09492223+0806450	147.34262	8.1125002	2008AJ....136.1290R	M8.5	2008AJ....136.1290R			M8.5	2008AJ....136.1290R	VLM	12.305	0.023	11.633	0.025	11.206	0.029	0						FLD-G	SPL										brownD*	2MASS J09492223+0806450	M8.5	2008AJ....136.1290R		60.32	1.67	2014AJ....147...94D			16.578	0.459	900.21	20.02	63	-898	2007AJ....133.2258S	70.73909351	2.512314117							
10675	LSPM J0950+0540	J09500427+0540582	147.51779	5.6828332				esdM/wd?	BURGASSER-NP	esdM/wd?	BURGASSER-NP	VLM	15.969	0.104	15.613	0.147	15.321	0.188											subdwarf							low-mass*	NLTT 22718	M3	2008AJ....135..785W									202.77		-83	-185	2005AJ....129.1483L			70		2008AJ....135..785W				
10676	LP 261-75A	J09510459+3558098	147.76913	35.969391		M4.5	2006PASP..118..671R			M4.5	2006PASP..118..671R	VLM	10.577	0.021	9.96	0.019	9.69	0.019									AB Doradus	2015ApJS..219...33G	binary	Y																															
10677	LP 261-75B	J09510549+3558021	147.77287	35.967251	2000AJ....120..447K	L6	2000AJ....120..447K			L6	2000AJ....120..447K	VLM	17.225	0.209	15.895	0.138	15.138	0.134	0.22						INT-G	SPL	AB Doradus	2015ApJS..219...33G	binary companion	Y				LP 261-75A	2000AJ....120..447K																										"likely a common proper motion companion to LP 261-75. Separation=13.3. See Burgasser, Kirkpatrick, and Lowrance (2005)."
10678	2MASS J09524622+0620410	J09524622+0620410	148.1926	6.3447223	2015AJ....149..158S	M8	2015AJ....149..158S			M8	2015AJ....149..158S	VLM	12.453	0.024	11.832	0.022	11.458	0.024	-0.11						INT-G	SPL										Star	SDSS J095246.20+062041.0	M8	2014PASP..126..642S																						
10679	WISE J095259.29+195508.1	J09525929+1955081	148.24704	19.918917	2011ApJS..197...19K			T6	2011ApJS..197...19K	T6	2011ApJS..197...19K	VLM	17.293	0.179	17.166		16.447		-0.11																	brownD*	EQ J0952+1955	T6	2011ApJS..197...19K									82.22	28.28	-62	-54	2011ApJS..197...19K									
10680	2MASS J09532126-1014205	J09532126-1014205	148.33858	-10.239028	2007AJ....133..439C	L0	2007AJ....133..439C			L0	2007AJ....133..439C	VLM	13.469	0.028	12.644	0.027	12.142	0.022	0.1						INT-G	OTHER	TW Hydrae/Carina	2015ApJS..219...33G	young							brownD*	2MASSI J0953212-101420	L0	2009AJ....137....1F									101.12	26.87	-48	-89	2009AJ....137....1F									
10681	NLTT 22851A	J09532422+0527009	148.35092	5.4502497	2005AJ....129.1483L	M4				M4		VLM	13.18	0.029	12.567	0.031	12.291	0.03											companion					NLTT 22851B	2010MNRAS.404.1817Z																										
10682	NLTT 22851B	J09532455+0526583	148.35229	5.4495277	2010MNRAS.404.1817Z	M9.5	2010MNRAS.404.1817Z			M9.5	2010MNRAS.404.1817Z	VLM	15.666	0.089	14.96	0.065	14.386	0.081	-0.07						FLD-G	SPL			companion					NLTT 22851A	2010MNRAS.404.1817Z																										
10683	LSPM J0956+1759	J09560397+1759447	149.01654	17.99575				sdM4	BURGASSER-NP	sdM4	BURGASSER-NP	VLM	15.46	0.056	14.939	0.081	14.751	0.102				sd							subdwarf							PM*	LP 429-3	M3V	2011AJ....141...97W									376.62		-192	-324	2005AJ....129.1483L			253		2011AJ....141...97W				
10684	GSC 05479-01188	J09563294-1001201	149.13724	-10.02225		M8 III				M8 III		GIANT	7.241	0.023	6.399	0.042	5.749	0.2			III				INT-G	SPL			giant							Star	GSC 05479-01188	M8III																							
10685	WISE J095729.41+462413.5	J09572941+4624135	149.37253	46.403614	2014ApJ...787..126L			L5 pec (red)	2014ApJ...787..126L	L5 pec (red)	2014ApJ...787..126L	VLM	16.25	0.11	16.25	0.11	16.25	0.11	0.31	RED					FLD-G	SPL			red							brownD*	2MASS J09572983+4624177	L6	2015AJ....150..182K																						
10686	SDSS J100319.17-010508.15	J10031917-01050815	150.82988	-1.0855833	2008AJ....135..785W	M7	2008AJ....135..785W			M7	2008AJ....135..785W	VLM	12.33	0.02	11.67	0.02	11.24	0.02	-0.06						FLD-G	SPL										brownD*	LP 609-24	M7Ve	2002ApJ...575..484G									537.94	59.91	-522	130	2005A&A...435..363D			31		2011AJ....141...97W				
10687	G 196-3B	J10042066+5022596	151.08609	50.383221	1998Sci...282.1309R	L3beta	2009AJ....137.3345C	L4 gamma	2015ApJS..219...33G	L3beta	2009AJ....137.3345C	VLM	14.831	0.046	13.648	0.043	12.778	0.034	0.32	RED			gamma		LOW-G	OTHER			companion young					G 196-3A	1998Sci...282.1309R	brownD*	G 196-3B	L2	2009AJ....137....1F									227.85	42.72	-133	-185	2008MNRAS.384.1399J									located 16.2 at 210 deg from G 196-3 (1/25/1998) (Rebolo et al. 1998)
10688	G 196-3A	J10042148+5023135	151.08951	50.387085		M3 Ve				M3 Ve		VLM	8.081	0.026	7.413	0.016	7.199	0.016											young																																
10689	LHS 5166A	J10043879-3335113	151.16162	-33.586472	1979nlcs.book.....L	M4.5	SEI05A			M4.5	SEI05A	VLM	9.849	0.024	9.303	0.023	9.026	0.021											companion					LHS 5166B	2002ApJ...575..484G																										
10690	LHS 5166B	J10043929-33351889	151.16371	-33.588554	2002ApJ...575..484G	L4	2002ApJ...575..484G			L4	2002ApJ...575..484G	VLM	14.48	0.035	13.49	0.036	12.924	0.024	0.19						FLD-G	SPL			companion					LHS 5166A	2002ApJ...575..484G																										
10691	2MASS J1006406+215253	J1006406+215253	151.66917	21.88139	BURGASSER-NP			M5	BURGASSER-NP	M5	BURGASSER-NP	VLM	15.997	0.077	15.84	0.156	15.503	0.166	-0.04																																										
10692	SDSS J100711.74+193056.2	J10071185+1930563	151.79938	19.515638	2006AJ....131.2722C			L8+/-1.5	2006AJ....131.2722C	L8+/-1.5	2006AJ....131.2722C	VLM	16.871	0.157	15.755	0.149	14.997	0.101	0.09																	brownD*	2MASS J10071185+1930563	L9	2014AJ....147...34S									263.62	21.93	-263	-18	2009AJ....137....1F									
10693	2MASS J10073369-4555147	J10073369-4555147	151.89038	-45.92075	2007AJ....134.1162L			T5	2007AJ....134.1162L	T5	2007AJ....134.1162L	VLM	15.653	0.068	15.686	0.122	15.56	0.229	0.45	RED																brownD*	2MASS J10073369-4555147	T5	2009AJ....137....1F		71	5.2	2012ApJ...752...56F			14.085	1.032	738.62	4.95	-723.5	148.7	2012ApJ...752...56F	49.31088778	3.626600076							
10694	2MASS J1008297+205714	J1008297+205714	152.12375	20.95389	BURGASSER-NP			M5	BURGASSER-NP	M5	BURGASSER-NP	VLM	15.969	0.085	15.236	0.111	15.417	0.186	0.09																	Star	SDSS J100829.72+205714.7	M6V	2011AJ....141...97W																-4		2011AJ....141...97W				
10695	WISE J100926.40+354137.5	J10092640+3541375	152.36	35.693752	2013PASP..125..809T			M8	2013PASP..125..809T	M8	2013PASP..125..809T	VLM	15.11	0.04	14.47	0.05	14.13	0.07	-0.02						INT-G	SPL										low-mass*	2MASS J10092633+3541415	M8	2013PASP..125..809T									337.34	14.14	70	-330	2013PASP..125..809T									
10696	2MASSI J1010148-040649	J10101480-0406499	152.56168	-4.1138611	2003AJ....126.2421C	L6	2003AJ....126.2421C			L6	2003AJ....126.2421C	VLM	15.508	0.059	14.385	0.037	13.619	0.046	-0.03						FLD-G	SPL										brownD*	2MASS J10101480-0406499	L6	2014AJ....147...34S		59.8	8.1	2012ApJ...752...56F			16.722	2.265	321.62	20.62	-321	20	2008MNRAS.384.1399J	25.49315068	3.820209171							
10697	2MASS J1010500+001754	J1010500+001754	152.70834	0.29833332	BURGASSER-NP			M6	BURGASSER-NP	M6	BURGASSER-NP	VLM	15.745	0.072	15.062	0.084	15.091	0.153	-0.02						FLD-G	SPL																																			
10698	2MASS J1012087+030245	J1012087+030245	153.03624	3.0458333	BURGASSER-NP			M7:	BURGASSER-NP	M7:	BURGASSER-NP	VLM	15.989	0.1	15.77	0.156	16.482		-0.1						VL-G	SPL										low-mass*	2MASS J10120876+0302459	M8V	2011AJ....141...97W																-7		2011AJ....141...97W				
10699	Gliese 382	J10121791-0344435	153.07463	-3.7454166	1956AJ.....61..201V	M2	2009ApJ...704..975J			M2	2009ApJ...704..975J	VLM	5.888	0.021	5.258	0.016	5.015	0.02																		RSCVn	V* AN Sex	M2.0V			127.08	1.9	2007A&A...474..653V			7.869	0.118	287.26	1.82	-151.09	-244.31	2007A&A...474..653V	10.71443001	0.17404978	8.04	0.05	2013A&A...552A..64S	2.9		2010MNRAS.407.1657H	
10700	SSSPM 1013-1356	J10130734-1356204	153.28058	-13.939	2004A&A...425..519S	sdM9.5	2004A&A...425..519S			sdM9.5	2004A&A...425..519S	VLM	14.621	0.032	14.382	0.049	14.398	0.078	-0.5	BLUE		sd			INT-G	SPL			subdwarf							brownD*	SSSPM J1013-1356	sdM9.5	2004A&A...425..519S		20.28	1.96	2012ApJ...752...56F			49.31	4.766	1028.12	8.06	66	-1026	2009AJ....137....1F	240.3003805	23.30061937							
10701	2MASS J10142075-4018329	J10142075-4018329	153.58646	-40.309139								VLM	14.882	0.041	14.095	0.039	13.682	0.045																		Candidate_brownD*	2MASS J10142075-4018329																								
10702	LSPM J1015+4758	J10153992+4758285	153.91634	47.974583				sdM6	BURGASSER-NP	sdM6	BURGASSER-NP	VLM	14.488	0.029	14.058	0.037	13.773	0.052				sd							subdwarf							PM*	LP 167-20											414.56		-388	-146	2005AJ....129.1483L									
10703	LHS 2243	J10163470+2751497	154.14458	27.863806	1995AJ....109..797K	M8 V	1995AJ....109..797K			M8 V	1995AJ....109..797K	VLM	11.987	0.015	11.331	0.02	10.955	0.016	-0.05						FLD-G	SPL										brownD*	LP 315-53	M8V	2011ApJS..197...19K									459.64	109.79	-157	-432	2007AJ....133.2258S			25		2011AJ....141...97W				
10704	2MASSI J1017075+130839	J10170754+1308398	154.28142	13.144389	2003AJ....126.2421C	L2:	2003AJ....126.2421C	L1	2003IAUS..211..197W	L2:	2003AJ....126.2421C	VLM	14.096	0.024	13.284	0.027	12.71	0.023	0.09						FLD-G	SPL			binary	Y						brownD*	2MASS J10170754+1308398	L3	2010MNRAS.404.1817Z									112.06	25.06	61	-94	2008MNRAS.384.1399J									binary: sep=0.104+/-0.0028 at 92.6+/-1.2 deg on 2001 April 16 (Bouy et al. 2003)
10705	LSPM J1017+4654	J10171562+4654066	154.31509	46.901836				sdM6	BURGASSER-NP	sdM6	BURGASSER-NP	VLM	15.507	0.064	15.04	0.093	14.967	0.167				sd							subdwarf							PM*	LP 167-24											256.2		56	-250	2005AJ....129.1483L									
10706	TWA 22AB	J10172689-5354265	154.36205	-53.907364		M5	ZUC04A			M5	ZUC04A	VLM	8.554	0.021	8.085	0.046	7.689	0.021	0.03						VL-G	OTHER	TW Hydrae		twa young																																low mass X-ray binary
10707	SDSS J10174251+4310579	J10174251+4310579	154.42714	43.182751	2010AJ....139.1808S	L1	2010AJ....139.1808S			L1	2010AJ....139.1808S	VLM	15.55	0.07	14.89	0.08	14.52	0.1	0.06						FLD-G	SPL										brownD*	2MASS J10174252+4310584	L1	2010AJ....139.1808S									126.33	36.44	-32.4	-122.1	2010AJ....139.1808S									
10708	2MASSW J1018588-290953	J10185879-29095349	154.74496	-29.164833	2002ApJ...575..484G	L1	2002ApJ...575..484G			L1	2002ApJ...575..484G	VLM	14.213	0.03	13.418	0.024	12.796	0.023	0.07						FLD-G	SPL										brownD*	2MASS J10185879-2909535	L1	2008AJ....136.1290R		35.3	3.2	2012ApJ...752...56F			28.329	2.568	333.49	25.81	-323	-83	2008MNRAS.390.1517C	44.7807308	5.337356776							
10709	WISE J101905.62+652954.2	J10190562+6529542	154.77342	65.498383	2011ApJS..197...19K			T6	2011ApJS..197...19K	T6	2011ApJS..197...19K	VLM	16.554	0.149	16.328		17.016		0.05																	brownD*	EQ J1019+6529	T6	2011ApJS..197...19K									152.07	27.59	-66	137	2011ApJS..197...19K									
10710	DENIS J1019245-270717	J10192447-2707171	154.85196	-27.121416	2007MNRAS.374..445K	L0.5	2010A&A...517A..53M			L0.5	2010A&A...517A..53M	VLM	13.526	0.03	12.906	0.023	12.471	0.022	-0.26						FLD-G	SPL										PM*	2MASS J10192447-2707171	M9.5	2007MNRAS.374..445K									582.45	44.05	-582	23	2005A&A...435..363D									
10711	SDSS J102109.69-030420.1	J10210969-0304197	155.29037	-3.0721388	2000ApJ...536L..35L	T3.5	2008ApJ...689.1295K	T3	2006ApJ...637.1067B	T3	2006ApJ...637.1067B	VLM	16.253	0.091	15.346	0.101	15.126	0.173	0.2										binary	Y		Y				brownD*	WISEP J102109.57-030421.5	T1+T4	2014AJ....148....6G		34.4	4.6	2012ApJ...752...56F			29.07	3.887	183.29	4.24	-171	-66	2009AJ....137....1F	25.2563245	3.427521324							binary: sep=0.172+/-0.005 at 244.6+/-0.8 deg on 2004 May 22 (Burgasser et al. 2006)
10712	2MASS 10213232-2044069	J10213232-2044069	155.38467	-20.73525	2008AJ....136.1290R	M9	2008AJ....136.1290R			M9	2008AJ....136.1290R	VLM	13.193	0.024	12.492	0.022	12.068	0.026	0						FLD-G	SPL										brownD*	2MASS J10213232-2044069	M9	2008AJ....136.1290R									342.67	16.97	-339	-50	2007ApJ...667..520C									
10713	2MASS J10220489+0200477	J10220489+0200477	155.52037	2.0132501	2008AJ....136.1290R	L0	2008AJ....136.1290R			L0	2008AJ....136.1290R	VLM	14.1	0.032	13.398	0.032	12.899	0.032	0.11						FLD-G	SPL										brownD*	2MASS J10220489+0200477	L0	2010AJ....139.1808S		26.4	11.5	2012ApJ...752...56F			37.879	16.5	433.97	24.08	-173	-398	2008MNRAS.384.1399J	77.91796959	34.21586377							
10714	HD 89744B	J10221489+4114266	155.56204	41.240723	2001AJ....122.1989W	L0	2001AJ....122.1989W			L0	2001AJ....122.1989W	VLM	14.901	0.037	14.022	0.033	13.608	0.039	-0.01						FLD-G	SPL			companion					HD 89744A		brownD*	HD 89744B	L0.5	2014AJ....147...34S		25.65	0.7	2012ApJ...752...56F			38.986	1.064	183.46	0.78	-120.2	-138.6	2009AJ....137....1F	33.90276547	0.936411336							located 63.1 from HD 89744A (Wilson et al. 2001)
10715	2MASS J10224821+5825453	J10224821+5825453	155.70087	58.429253	2008AJ....136.1290R	L1beta	2009AJ....137.3345C			L1beta	2009AJ....137.3345C	VLM	13.499	0.026	12.642	0.032	12.16	0.025	0.09				beta		INT-G	OTHER			young							brownD*	2MASS J10224821+5825453	L1	2009AJ....137....1F									859.42	80.53	-363	-779	2007AJ....133.2258S			5.87	0	2009yCat.2294....0A				
10716	WISE J10230404+1556164	J10230404+1556164	155.76683	15.937889	2014ApJ...783..122K			M8pec	2014ApJ...783..122K	M8pec	2014ApJ...783..122K	VLM	13.94	0.024	13.39	0.027	12.97	0.024	-0.24						INT-G	SPL										PM*	WISE J102304.05+155616.7											609.9	14.14	-134	-595	2014ApJ...781....4L									
10717	SDSS J102552.43+321234.0	J10255227+3212349	156.4678	32.209694	2006AJ....131.2722C			L7.5+/-2.5	2006AJ....131.2722C	L7.5+/-2.5	2006AJ....131.2722C	VLM	16.89	0.05	15.59	0.17	15.07	0.18	0.11																	brownD*	2MASS J10255227+3212349	L9	2014AJ....147...34S									454.35	17.03	393	-228	2009AJ....137....1F									
10718	J1025+3212 Background Source	J10255227+3212349	156.4678	32.209694	LOOPER-NP							OTHER																																																	wrong target?
10719	DENIS1027-1820	J10274625-1820533	156.9427	-18.348139	LOOPER-NP							VLM	15.078	0.043	14.366	0.054	13.893	0.049																																											
10720	LHS 2272	J10285555+0050275	157.23145	0.84097219	ROS26A	M2.5	2009ApJ...704..975J			M2.5	2009ApJ...704..975J	VLM	6.176	0.021	5.605	0.033	5.311	0.023																		PM*	BD+01 2447	M2.5V			141.5	2.22	2007A&A...474..653V			7.067	0.111	946.5	2.79	-603.75	-728.94	2007A&A...474..653V	31.70617217	0.506129343	8.34	0.1	2002ApJS..141..503N				
10721	2MASSI J1029216+162652	J10292165+1626526	157.34021	16.447943	2000AJ....120..447K	L2.5	2000AJ....120..447K			L2.5	2000AJ....120..447K	VLM	14.294	0.027	13.331	0.027	12.623	0.021	0.35	RED					FLD-G	SPL										brownD*	2MASSI J1029216+162652	L2.5	2000AJ....120..447K									499.98	22.67	359	-348	2008MNRAS.384.1399J									
10722	ULAS J102940.52+093514.6	J10294051+0935141	157.41879	9.5872498	2013MNRAS.433..457B			T8	2013PASP..125..809T	T8	2013PASP..125..809T	VLM	17.32	0.01	17.63	0.02			0.31	RED																RotV*	ULAS J102940.52+093514.6	T8	2013PASP..125..809T																						
10723	SDSS J103026.78+021306.4	J10302678+0213057	157.61157	2.21825	2004AJ....127.3553K			L9.5+/-1	2004AJ....127.3553K	L9.5+/-1	2004AJ....127.3553K	VLM	16.889		16.175	0.189	15.079		0																	Star	SDSS J103026.78+021306.4	L9.5	2004AJ....127.3553K		24.8	10.6	2012ApJ...752...56F			40.323	17.235	79.65	7.15	50	62	2012ApJ...752...56F	15.22328044	6.648703947							
10724	2MASS J10315064+3349595	J10315064+3349595	157.961	33.833195	2010ApJS..190..100K			L2	2010ApJS..190..100K	L2	2010ApJS..190..100K	VLM	15.923	0.076	14.838	0.067	14.364	0.054	0.26						FLD-G	SPL										brownD*	2MASS J10315064+3349595	L2	2010ApJS..190..100K									240	129.63	-189.12	147.76	2010ApJS..190..100K									
10725	2MASS J10321505-3828077	J10321505-3828077	158.06271	-38.468807	LOOPER-NP			M4	LOOPER-NP	M4	LOOPER-NP	VLM	11.84	0.03	11.28	0.03	10.99	0.03																																											
10726	QSO B1030-2757	J10323607-2813268	158.1503	-28.224112	1990ApJS...72..567G	Quasar		Quasar	2009MNRAS.399..683J	Quasar	2009MNRAS.399..683J	QSO	14.681	0.052	13.907	0.045	12.681	0.034																		QSO	QSO B1030-2757																								
10727	2MASS J10325882-3742210	J10325882-3742210	158.2451	-37.705833	LOOPER-NP			M4	LOOPER-NP	M4	LOOPER-NP	VLM	12.54	0.03	11.95	0.03	11.62	0.03																																											
10728	SDSS J10330910+1216259	J10330910+1216259	158.28793	12.273861	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0	2010AJ....139.1808S	VLM	15.07	0.04	14.44	0.05	13.95	0.05	0.15						INT-G	SPL										brownD*	2MASS J10330903+1216265	M9V	2011AJ....141...97W									209.93	37.73	178	-111.3	2010AJ....139.1808S									
10729	SDSS J103321.92+400549.5	J10332186+4005499	158.34108	40.097195	2006AJ....131.2722C			L6	2006AJ....131.2722C	L6	2006AJ....131.2722C	VLM	16.644	0.162	15.874	0.181	15.408		-0.44	BLUE					FLD-G	SPL			blue							brownD*	2MASS J10332186+4005499	L6	2006AJ....131.2722C									243.02	22.2	154	-188	2009AJ....137....1F									
10730	2MASS J10334372-3337056	J10334372-3337056	158.43216	-33.618221	2010ApJS..190..100K			M5.5	2010ApJS..190..100K	M5.5	2010ApJS..190..100K	VLM	16.362	0.062	15.85	0.088	15.536	0.101	0.01																	Star	2MASS J10334372-3337056	M5.5	2010ApJS..190..100K									490	309.43	-364.14	-327.87	2010ApJS..190..100K									
10731	SDSS J10340567+0350163	J10340567+0350163	158.52364	3.8378611	2010AJ....139.1808S	L0	2010AJ....139.1808S			L0	2010AJ....139.1808S	VLM	14.7	0.04	14.02	0.04	13.63	0.05	0.08						INT-G	SPL										brownD*	2MASS J10340564+0350164	L0	2010AJ....139.1808S																						
10732	2MASSW J1035245+250745	J10352455+2507450	158.85229	25.129168	2000AJ....120..447K	L1	2000AJ....120..447K			L1	2000AJ....120..447K	VLM	14.758	0.028	13.911	0.031	13.286	0.028	0.07						FLD-G	SPL										brownD*	2MASSW J1035246+250745	L1V	2000AJ....120..447K									326.72	28.6	-181	-272	2008MNRAS.384.1399J									
10733	WISE J103602.80+030615.6	J10360280+0306156	159.01167	3.1041665	2014ApJ...787..126L			L4 pec (blue)	2014ApJ...787..126L	L4 pec (blue)	2014ApJ...787..126L	VLM	15.97	0.1	15.97	0.1	15.97	0.1	0.07						INT-G	SPL			blue							IR	2MASS J10360307+0306160																								
10734	2MASSW J1036530-344138	J10365305-3441380	159.22105	-34.69389	2002ApJ...575..484G	L6	2002ApJ...575..484G			L6	2002ApJ...575..484G	VLM	15.622	0.048	14.446	0.035	13.798	0.043	-0.04																	brownD*	2MASS J10365305-3441380	L9	2014AJ....147...34S		61.5	9.1	2012ApJ...752...56F			16.26	2.406	447.22	31.62	-33	-446	2008MNRAS.390.1517C	34.46860065	5.652666798							
10735	2MASS J10371046-3505015	J10371046-3505015	159.29359	-35.083748	LOOPER-NP			M3.5	LOOPER-NP	M3.5	LOOPER-NP	VLM	11.668	0.023	11.113	0.024	10.803	0.021																		IR	2MASS J10371046-3505015																								
10736	CD-28 8316	J10373935-2935336	159.41397	-29.592667								GIANT	9.78	0.03	9.23	0.02	9.09	0.02																		Star	CD-28 8316	K0III	2006A&A...460..695T									9.02	4.18	2	-8.8	2000A&A...355L..27H			-27.1		2006A&A...460..695T	10	2	2006A&A...460..695T	
10737	WISE J103907.73-160002.9	J10390773-1600029	159.78221	-16.000805	2013ApJS..205....6M			T7.5	2013ApJS..205....6M	T7.5	2013ApJS..205....6M	VLM	17.26	0.12	17.19	0.2	17.13		0.13																	brownD*	WISE J103907.73-160002.9	T7.5	2014yCat.5144....0M																						
10738	SDSS J103931.35+325625.5	J10393137+3256263	159.88071	32.940639	2006AJ....131.2722C			T1	2006AJ....131.2722C	T1	2006AJ....131.2722C	VLM	16.405	0.148	15.335	0.111	15.151	0.159	0.33	RED									sbinary			Y				brownD*	2MASS J10393137+3256263	T1	2006AJ....131.2722C									38.6	70.94	31	-23	2009AJ....137....1F									
10739	2MASS J10430758+2225236	J10430758+2225236	160.78159	22.423222	2007AJ....133..439C	L8	2007AJ....133..439C			L8	2007AJ....133..439C	VLM	15.965	0.065	14.725	0.04	13.991	0.041	0.53	RED																brownD*	2MASSI J1043075+222523	L8.5	2014AJ....147...34S									140.29		-139	-19	2007AJ....133.2258S									
10740	SDSS J104335.08+121314.1	J10433508+1213149	160.89616	12.220805	2006AJ....131.2722C			L9	2010ApJS..190..100K	L9	2010ApJS..190..100K	VLM	15.997	0.088	14.969	0.077	14.258	0.066	0.08																	brownD*	2MASS J10433508+1213149	L9	2014AJ....147...34S		68.5	10.6	2012ApJ...752...56F			14.599	2.259	235.64	6.42	26	-234.2	2012ApJ...752...56F	16.30551637	2.562002393							
10741	2MASS J10440642-3712425A	J10440642-3712425	161.02675	-37.211807	LOOPER-NP			M4.5	LOOPER-NP	M4.5	LOOPER-NP	VLM	13.65	0.05	13.15	0.06	12.72	0.05																																											
