mass,age,temperature,luminosity,radius,gravity,metallicity,chemistry,eos
0.004,0.010608184,1005.918228,-4.7380128,0.14102619,3.74187621,0,eq,SVCH
0.004,0.013433993,946.9676298,-4.86170624,0.13800856,3.76066286,0,eq,SVCH
0.004,0.017012543,888.141163,-4.99048539,0.13527784,3.77802144,0,eq,SVCH
0.004,0.021544347,832.7473941,-5.11838451,0.13280811,3.79402603,0,eq,SVCH
0.004,0.027283334,779.7205491,-5.24734081,0.13058147,3.80871169,0,eq,SVCH
0.004,0.034551073,729.6196957,-5.37634004,0.1285503,3.82232857,0,eq,SVCH
0.004,0.043754794,680.0942706,-5.51098665,0.12670848,3.83486341,0,eq,SVCH
0.004,0.055410203,632.1964969,-5.64928946,0.1250507,3.8463023,0,eq,SVCH
0.004,0.070170383,589.9083417,-5.77994787,0.12356314,3.85669659,0,eq,SVCH
0.004,0.088862382,555.9255234,-5.89293719,0.12215905,3.86662323,0,eq,SVCH
0.004,0.112533558,521.1308,-6.01469243,0.12083341,3.8761002,0,eq,SVCH
0.004,0.142510267,487.8557476,-6.13821061,0.11960196,3.88499788,0,eq,SVCH
0.004,0.180472177,456.5404414,-6.26189043,0.11844748,3.89342264,0,eq,SVCH
0.004,0.228546386,429.0819109,-6.37765353,0.11736241,3.90141635,0,eq,SVCH
0.004,0.289426612,402.7269922,-6.49540928,0.11633253,3.909072,0,eq,SVCH
0.004,0.366524124,381.4564578,-6.59712785,0.11534032,3.91651201,0,eq,SVCH
0.004,0.464158883,359.9400171,-6.70528759,0.11437074,3.92384441,0,eq,SVCH
0.004,0.587801607,343.0534761,-6.79595918,0.11342998,3.93101857,0,eq,SVCH
0.004,0.744380301,329.2384397,-6.8748123,0.11246088,3.93847148,0,eq,SVCH
0.004,0.942668455,314.1665552,-6.9638789,0.11147181,3.9461443,0,eq,SVCH
0.004,1.19377664,298.4461052,-7.06080181,0.11048286,3.95388448,0,eq,SVCH
0.004,1.51177507,284.1478765,-7.153851,0.10949735,3.96166707,0,eq,SVCH
0.004,1.91448198,268.7531229,-7.25840076,0.1085215,3.96944267,0,eq,SVCH
