mass,age,temperature,luminosity,radius,gravity,metallicity
0.004,0.366524124,374.88133646,-6.62222437,0.11601729,3.91142885,0.0
0.004,0.464158883,353.08194449,-6.73341214,0.11507453,3.9185159,0.0
0.004,0.587801607,338.65011191,-6.81298995,0.11413882,3.92560762,0.0
0.004,0.744380301,323.8311575,-6.89816061,0.11316485,3.93305113,0.0
0.004,0.942668455,307.61517094,-6.99499533,0.11218022,3.94064181,0.0
0.004,1.19377664,292.12073182,-7.09230904,0.11121018,3.94818523,0.0
0.004,1.51177507,276.35828441,-7.19621052,0.11025031,3.95571465,0.0
0.004,1.91448198,259.82109392,-7.31074185,0.10932194,3.96305958,0.0
0.004,2.42446202,246.33387048,-7.41044215,0.10843327,3.97014911,0.0
0.004,3.07029063,236.13763418,-7.49118582,0.10752249,3.97747562,0.0
0.004,3.88815518,225.35251353,-7.57991932,0.10659653,3.98498813,0.0
0.004,4.92388263,213.46973079,-7.68160454,0.10566758,3.99259068,0.0
0.005,0.001,1921.13367142,-3.29875103,0.20274059,3.52350506,0.0
0.005,0.00126638017,1860.34692777,-3.4010742,0.19217598,3.56998724,0.0
0.005,0.00160371874,1798.75745829,-3.50334626,0.18272623,3.61378358,0.0
0.005,0.00203091762,1694.80600911,-3.64606652,0.17464663,3.65306479,0.0
0.005,0.00257191381,1622.17159227,-3.75807275,0.16757384,3.68897289,0.0
0.005,0.00325702066,1540.2309263,-3.88222046,0.16111982,3.72308783,0.0
0.005,0.00412462638,1448.95012277,-4.01949288,0.15544325,3.7542417,0.0
0.005,0.00522334507,1356.16667218,-4.16231303,0.15053727,3.78209799,0.0
0.005,0.00661474064,1270.46128445,-4.30116906,0.14619005,3.80754916,0.0
0.005,0.0083767764,1188.4994076,-4.43964309,0.14243396,3.83015782,0.0
0.005,0.0106081836,1110.07663583,-4.57843256,0.13916005,3.85035629,0.0
0.005,0.0134339933,1038.07990901,-4.71315729,0.13626569,3.86861205,0.0
0.005,0.0170125428,970.10603681,-4.84732501,0.13370145,3.88511242,0.0
0.005,0.0215443469,906.01487481,-4.98096598,0.13142468,3.90003099,0.0
0.005,0.0272833338,846.13686623,-5.11322832,0.12940432,3.91348743,0.0
0.005,0.0345510729,789.57162406,-5.24557072,0.12760239,3.92566671,0.0
0.005,0.0437547938,739.353131,-5.37099078,0.1259629,3.93689949,0.0
0.005,0.0554102033,689.8735192,-5.50171912,0.1244628,3.9473055,0.0
0.005,0.0701703829,643.01276467,-5.63350422,0.12309736,3.95688713,0.0
0.005,0.0888623816,599.41443796,-5.76419691,0.12186406,3.96563321,0.0
0.005,0.112533558,567.23541027,-5.8683737,0.12070228,3.97395352,0.0
0.005,0.142510267,534.99319592,-5.97813652,0.11958162,3.98205539,0.0
0.005,0.180472177,501.92203349,-6.09678731,0.11851185,3.98986072,0.0
0.005,0.228546386,471.76144374,-6.2120031,0.11748459,3.99742257,0.0
0.005,0.289426612,442.37659149,-6.33102712,0.1165019,4.00471835,0.0
0.005,0.366524124,415.76459135,-6.44588093,0.1155572,4.01179031,0.0
0.005,0.464158883,391.38154641,-6.55767529,0.11465334,4.0186108,0.0
0.005,0.587801607,369.54224962,-6.66415214,0.11376847,4.0253405,0.0
0.005,0.744380301,348.3467519,-6.77334094,0.11290987,4.03192052,0.0
0.005,0.942668455,334.64744306,-6.84977863,0.11203764,4.03865641,0.0
0.005,1.19377664,319.31198016,-6.93829476,0.11113469,4.04568504,0.0
0.005,1.51177507,302.8221453,-7.0375148,0.11022811,4.0527996,0.0
0.005,1.91448198,287.48079827,-7.13491039,0.1093333,4.05987933,0.0
0.005,2.42446202,271.48816196,-7.2413899,0.10845075,4.06691911,0.0
0.005,3.07029063,255.54311878,-7.35337235,0.10759864,4.07377071,0.0
0.005,3.88815518,243.79814023,-7.44184265,0.10676798,4.08050218,0.0
0.005,4.92388263,233.61091911,-7.52298238,0.10591109,4.08750139,0.0
0.005,6.23550734,222.73924054,-7.61299578,0.10503607,4.0947073,0.0
0.005,7.89652287,209.52202848,-7.72643232,0.1041702,4.10189721,0.0
0.006,0.001,2062.97186221,-3.12942392,0.2136606,3.55711736,0.0
0.006,0.00126638017,2005.52810836,-3.2292492,0.20153299,3.60787475,0.0
0.006,0.00160371874,1932.60417225,-3.34079617,0.19087067,3.65508752,0.0
0.006,0.00203091762,1863.98853444,-3.44718847,0.18152659,3.69868532,0.0
0.006,0.00257191381,1796.35415064,-3.5529362,0.17305087,3.74021988,0.0
0.006,0.00325702066,1695.80138935,-3.69094462,0.16565302,3.77816875,0.0
0.006,0.00412462638,1610.28019475,-3.81593326,0.15909771,3.81323773,0.0
0.006,0.00522334507,1527.64185161,-3.93952083,0.15333067,3.84530825,0.0
0.006,0.00661474064,1426.16001357,-4.0881851,0.14825386,3.87455401,0.0
0.006,0.0083767764,1330.26432594,-4.23533611,0.14383881,3.90081365,0.0
0.006,0.0106081836,1242.60885836,-4.37687702,0.14006368,3.92391554,0.0
0.006,0.0134339933,1158.24428557,-4.51941025,0.13681368,3.94430704,0.0
0.006,0.0170125428,1078.42796398,-4.66173576,0.13396526,3.96258189,0.0
0.006,0.0215443469,1005.71242356,-4.79945398,0.13144832,3.97905551,0.0
0.006,0.0272833338,940.01016993,-4.93164634,0.12922293,3.99388647,0.0
0.006,0.0345510729,876.84611109,-5.06584803,0.12725336,4.00722731,0.0
0.006,0.0437547938,816.89209389,-5.20088004,0.12550905,4.01921604,0.0
0.006,0.0554102033,763.75015816,-5.32867081,0.12393319,4.0301905,0.0
0.006,0.0701703829,712.82568363,-5.45875457,0.122487,4.04038576,0.0
0.006,0.0888623816,665.23077195,-5.58821951,0.12116892,4.04978329,0.0
0.006,0.112533558,621.31574667,-5.71546411,0.11996998,4.05842049,0.0
0.006,0.142510267,584.62852949,-5.82922212,0.11886677,4.06644485,0.0
0.006,0.180472177,552.59951594,-5.93493634,0.11779879,4.07428393,0.0
0.006,0.228546386,520.40225636,-6.04688987,0.11676108,4.08196942,0.0
0.006,0.289426612,488.24752969,-6.16517592,0.11576223,4.08943178,0.0
0.006,0.366524124,457.27660993,-6.28617802,0.11480879,4.09661527,0.0
0.006,0.464158883,429.74132672,-6.40095889,0.11390274,4.10349726,0.0
