age,mass,temperature,luminosity,radius,gravity,core_logt,core_logrho,li_frac,be_frac,b_frac,metallicity,y
10,0.1,3200,-2.931,0.112517986,5.336565404,6.649,2.736,0,0,0.00035,-1.3,0.25
10,0.1,3107,-2.967,0.114532374,5.321152775,6.648,2.713,0,0,0.00079,-1,0.25
10,0.1,2943,-3.033,0.118417266,5.29217924,6.646,2.67,0,0,0.00282,-0.5,0.25
10,0.1,2814,-3.069,0.124172662,5.250957319,6.659,2.607,0,0,0.00038,0,0.275
10,0.11,3565,-2.686,0.12028777,5.319959041,6.691,2.693,0,0,0,-2,0.25
10,0.11,3405,-2.745,0.123165468,5.299424066,6.687,2.663,0,0,0,-1.5,0.25
10,0.11,3343,-2.769,0.124172662,5.292350004,6.686,2.651,0,0,0,-1.3,0.25
10,0.11,3245,-2.808,0.126043165,5.279363383,6.683,2.631,0,0,0,-1,0.25
10,0.11,3072,-2.879,0.129640288,5.254922014,6.679,2.593,0,0,0,-0.5,0.25
10,0.11,2922,-2.929,0.135251799,5.218115888,6.688,2.538,0,0,0,0,0.275
10,0.15,3852,-2.306,0.159568345,5.209207077,6.773,2.463,0,0,0,-2,0.25
10,0.15,3691,-2.366,0.162014388,5.195993388,6.768,2.443,0,0,0,-1.5,0.25
10,0.15,3624,-2.392,0.163165468,5.18984406,6.766,2.433,0,0,0,-1.3,0.25
10,0.15,3505,-2.439,0.165323741,5.178430112,6.762,2.416,0,0,0,-1,0.25
10,0.15,3314,-2.517,0.169064748,5.158994436,6.756,2.386,0,0,0,-0.5,0.25
10,0.15,3153,-2.577,0.174388489,5.13206493,6.76,2.346,0,0,0,0,0.275
10,0.2,4004,-2.02,0.205323741,5.11516096,6.82,2.263,0,0,0,-2,0.25
10,0.2,3845,-2.082,0.207338129,5.106680944,6.816,2.25,0,0,0,-1.5,0.25
10,0.2,3780,-2.107,0.208201439,5.103071844,6.815,2.244,0,0,0,-1.3,0.25
10,0.2,3674,-2.15,0.209784173,5.096493858,6.812,2.234,0,0,0,-1,0.25
10,0.2,3455,-2.241,0.213669065,5.080555999,6.806,2.211,0,0,0,-0.5,0.25
10,0.2,3295,-2.302,0.219136691,5.058609099,6.81,2.177,0,0,0,0,0.275
10,0.3,4172,-1.665,0.284604317,5.007647591,6.875,2.02,0,0,0,-2,0.25
10,0.3,4008,-1.724,0.288057554,4.997172019,6.87,2.004,0,0,0,-1.5,0.25
10,0.3,3945,-1.747,0.289352518,4.993276024,6.868,1.998,0,0,0,-1.3,0.25
10,0.3,3841,-1.787,0.291654676,4.986392668,6.865,1.988,0,0,0,-1,0.25
10,0.3,3645,-1.865,0.296115108,4.973209424,6.86,1.969,0,0,0,-0.5,0.25
10,0.3,3436,-1.945,0.303884892,4.950712337,6.863,1.935,0,0,0,0,0.275
10,0.35,4231,-1.541,0.319136691,4.975123871,6.897,1.941,0,0,0,-2,0.25
10,0.35,4059,-1.602,0.323309353,4.96384081,6.891,1.924,0,0,0,-1.5,0.25
10,0.35,3994,-1.627,0.324460432,4.960753862,6.89,1.919,0,0,0,-1.3,0.25
10,0.35,3893,-1.665,0.32647482,4.955377963,6.891,1.926,0,0,0,-1,0.25
10,0.35,3697,-1.742,0.331654676,4.941705095,6.883,1.895,0,0,0,-0.5,0.25
10,0.35,3475,-1.822,0.342446043,4.913893041,6.882,1.85,0,0,0,0,0.275
10,0.4,4304,-1.421,0.353956835,4.943168687,6.925,1.972,0,0,0.69667,-2,0.25
10,0.4,4134,-1.471,0.362158273,4.923272471,6.917,1.964,0,0,0.96333,-1.5,0.25
10,0.4,4067,-1.492,0.365035971,4.916397967,6.914,1.96,0,0,0.97667,-1.3,0.25
10,0.4,3959,-1.53,0.369208633,4.906525598,6.909,1.95,0,0,0.98333,-1,0.25
10,0.4,3759,-1.609,0.37381295,4.895760608,6.899,1.919,0,0,0.94667,-0.5,0.25
10,0.4,3524,-1.707,0.379856115,4.881831048,6.897,1.859,0,0,0.13533,0,0.275
10,0.5,4623,-1.083,0.45294964,4.825879467,6.977,2.021,0,0.956,1,-2,0.25
10,0.5,4462,-1.116,0.467913669,4.797647841,6.971,2.013,0.00107,0.992,1,-1.5,0.25
10,0.5,4377,-1.139,0.47352518,4.78729315,6.968,2.008,0.00166,0.993,1,-1.3,0.25
10,0.5,4235,-1.185,0.479856115,4.775757238,6.96,1.995,0.00014,0.988,1,-1,0.25
10,0.5,3968,-1.298,0.479568345,4.776278287,6.944,1.954,0,0.849,1,-0.5,0.25
10,0.5,3654,-1.454,0.472661871,4.788878167,6.93,1.88,0,0,1,0,0.275
10,0.6,5292,-0.676,0.552086331,4.733146562,7.052,2.116,0.852,1,1,-2,0.25
10,0.6,5167,-0.702,0.561726619,4.718110543,7.047,2.108,0.902,1,1,-1.5,0.25
10,0.6,5068,-0.727,0.567482014,4.709256348,7.042,2.1,0.868,1,1,-1.3,0.25
10,0.6,4867,-0.782,0.577410072,4.694191841,7.031,2.079,0.754,1,1,-1,0.25
10,0.6,4406,-0.935,0.591223022,4.673657878,7.004,2.02,0.112,0.996,1,-0.5,0.25
10,0.6,3914,-1.156,0.58057554,4.689443083,6.976,1.921,0,0.702,1,0,0.275
10,0.7,5914,-0.265,0.709640288,4.582030814,7.143,2.312,0.989,1,1,-2,0.25
10,0.7,5792,-0.296,0.71352518,4.577288734,7.135,2.292,0.992,1,1,-1.5,0.25
10,0.7,5686,-0.326,0.715107914,4.575364173,7.128,2.273,0.986,1,1,-1.3,0.25
10,0.7,5478,-0.392,0.714676259,4.57588863,7.113,2.234,0.967,1,1,-1,0.25
10,0.7,4962,-0.569,0.709784173,4.581854719,7.075,2.136,0.746,1,1,-0.5,0.25
10,0.7,4284,-0.841,0.696546763,4.598206785,7.031,1.992,0,0.968,1,0,0.275
10,0.8,6688,0.334,1.105323741,4.255120292,7.314,3.021,0.999,1,1,-2,0.25
10,0.8,6483,0.266,1.087338129,4.269370053,7.296,2.926,0.999,1,1,-1.5,0.25
10,0.8,6315,0.199,1.060863309,4.29078043,7.268,2.841,0.998,1,1,-1.3,0.25
10,0.8,6055,0.077,1.003309353,4.339229567,7.235,2.676,0.994,1,1,-1,0.25
10,0.8,5490,-0.19,0.897697842,4.435838926,7.164,2.359,0.941,1,1,-0.5,0.25
10,0.8,4762,-0.515,0.820863309,4.5135576,7.097,2.111,0.00085,0.969,1,0,0.275
