mass,age,temperature,luminosity,radius,gravity,metallicity,enrichment
0.06265430301504897,0.047977,2887.659,-2.698824,0.17871005974146575,4.730720530430865,-0.15,-0.05
0.06265430301504897,0.054221,2872.71,-2.738729,0.17246659929109812,4.761608530430865,-0.15,-0.05
0.06265430301504897,0.061333,2853.063,-2.781441,0.16646004204791026,4.792398530430865,-0.15,-0.05
0.06265430301504897,0.069453,2830.233,-2.826025,0.16069264526051377,4.823026530430865,-0.15,-0.05
0.06265430301504897,0.078767,2805.501,-2.87179,0.15514472002133778,4.853544530430865,-0.15,-0.05
0.06265430301504897,0.089498,2777.413,-2.919664,0.1498097226544533,4.883938530430865,-0.15,-0.05
0.06265430301504897,0.10192,2745.871,-2.969755,0.14468216538343412,4.914188530430865,-0.15,-0.05
0.06265430301504897,0.11637,2709.685,-3.022845,0.1397632528942699,4.944232530430865,-0.15,-0.05
0.06265430301504897,0.13329,2669.909,-3.078391,0.1350407993443559,4.974088530430865,-0.15,-0.05
0.06265430301504897,0.15326,2626.833,-3.13635,0.13050104820197142,5.003790530430865,-0.15,-0.05
0.06265430301504897,0.17696,2587.363,-3.19258,0.12608081282818565,5.033720530430865,-0.15,-0.05
0.06265430301504897,0.20521,2539.012,-3.255323,0.12180412603859339,5.063694530430865,-0.15,-0.05
0.06265430301504897,0.23899,2482.161,-3.324194,0.11773240073353686,5.093226530430865,-0.15,-0.05
0.06265430301504897,0.27951,2415.884,-3.399845,0.11391423553363764,5.121862530430865,-0.15,-0.05
0.06265430301504897,0.32127,2352.61,-3.470132,0.11078654024712586,5.146044530430865,-0.15,-0.05
0.06265430301504897,0.35968,2297.689,-3.529972,0.10841390806692264,5.164848530430865,-0.15,-0.05
0.06265430301504897,0.3973,2248.033,-3.583794,0.10645130748105772,5.180716530430865,-0.15,-0.05
0.06265430301504897,0.44244,2192.86,-3.643175,0.10448260690996708,5.1969305304308655,-0.15,-0.05
0.06265430301504897,0.49579,2135.001,-3.70581,0.10255385732755125,5.2131145304308655,-0.15,-0.05
0.06265430301504897,0.54415,2077.997,-3.765324,0.10108832488629318,5.225616530430865,-0.15,-0.05
0.06265430301504897,0.59001,2010.897,-3.832293,0.0999371591800803,5.235564530430865,-0.15,-0.05
0.06265430301504897,0.63085,1942.627,-3.89974,0.09908410708342577,5.243010530430865,-0.15,-0.05
0.06265430301504897,0.66562,1893.72,-3.949603,0.0984509701283682,5.248578530430865,-0.15,-0.05
0.06265430301504897,0.69751,1868.57,-3.977568,0.09791539945519043,5.253316530430865,-0.15,-0.05
0.06265430301504897,0.73578,1840.119,-4.009451,0.09732759680750307,5.258546530430865,-0.15,-0.05
0.06265430301504897,0.7817,1807.46,-4.046258,0.0966912111009561,5.264244530430865,-0.15,-0.05
0.06265430301504897,0.8368,1775.553,-4.083401,0.09600326426505978,5.270446530430865,-0.15,-0.05
0.06265430301504897,0.90293,1740.848,-4.124376,0.09526711202577579,5.277132530430865,-0.15,-0.05
0.06265430301504897,0.98227,1703.458,-4.169225,0.09448829230086085,5.284262530430865,-0.15,-0.05
0.06265430301504897,1.0775,1557.792,-4.330138,0.09387825318911786,5.289888530430865,-0.15,-0.05
